method	step	tau	zvf	pcd	opp_esc16	fired	failure_class
grpo	0	0.9	0.6875	0.0390625	4.5177092319245356	0	C_FN_DRIFT
grpo	1	0.9	0.5	0.0908203125	7.625662122220966	0	C_FN_DRIFT
grpo	2	0.9	0.6875	0.052734375	4.743790292398467	0	C_FN_DRIFT
grpo	3	0.9	0.75	0.037109375	3.743820825976591	0	C_FN_DRIFT
grpo	4	0.9	0.6875	0.0576171875	4.85183478342927	0	C_FN_DRIFT
grpo	5	0.9	0.6875	0.056640625	4.753782370810791	0	C_FN_DRIFT
grpo	6	0.9	0.8125	0.033203125	2.871368270969375	0	C_FN_DRIFT
grpo	7	0.9	0.6875	0.0478515625	4.635745801367664	0	C_FN_DRIFT
grpo	8	0.9	0.5625	0.0732421875	6.624669182917506	0	C_FN_DRIFT
grpo	9	0.9	0.6875	0.0517578125	4.743278555957675	0	C_FN_DRIFT
grpo	10	0.9	0.6875	0.0517578125	4.743278555957674	0	C_FN_DRIFT
grpo	11	0.9	0.6875	0.056640625	4.75378237081079	0	C_FN_DRIFT
grpo	12	0.9	0.8125	0.0380859375	2.9794127620001776	0	C_FN_DRIFT
grpo	13	0.9	0.5625	0.0693359375	6.517136428327495	0	C_FN_DRIFT
grpo	14	0.9	0.75	0.041015625	3.753812904388915	0	C_FN_DRIFT
grpo	15	0.9	0.75	0.0517578125	3.8808180793627822	0	C_FN_DRIFT
grpo	16	0.9	0.625	0.07421875	5.860261118941092	0	C_FN_DRIFT
grpo	17	0.9	0.5	0.0859375	7.615158307367849	0	C_FN_DRIFT
grpo	18	0.9	0.5625	0.0947265625	6.9682750763937715	0	C_FN_DRIFT
grpo	19	0.9	0.625	0.056640625	5.5266473038771515	0	C_FN_DRIFT
grpo	20	0.9	0.625	0.072265625	5.851292513410352	0	C_FN_DRIFT
grpo	21	0.9	0.75	0.04296875	3.7627815099196544	0	C_FN_DRIFT
grpo	22	0.9	0.75	0.0478515625	3.8708260009504585	0	C_FN_DRIFT
grpo	23	0.9	0.875	0.0185546875	1.8719105409882912	0	C_FN_DRIFT
grpo	24	0.9	0.8125	0.0205078125	2.6457989469362366	0	C_FN_DRIFT
grpo	25	0.9	0.5625	0.0771484375	6.63466126132983	0	C_FN_DRIFT
grpo	26	0.9	0.8125	0.025390625	2.75384343796704	0	C_FN_DRIFT
grpo	27	0.9	0.9375	0.015625	0.9999697224218665	1	A_HIT
grpo	28	0.9	0.8125	0.0283203125	2.763323779938571	0	C_FN_DRIFT
grpo	29	0.9	0.8125	0.029296875	2.7638355163793635	0	C_FN_DRIFT
grpo	30	0.9	0.8125	0.025390625	2.753843437967039	0	C_FN_DRIFT
grpo	31	0.9	0.75	0.0322265625	3.6357763349457883	0	C_FN_DRIFT
grpo	32	0.9	0.6875	0.060546875	4.861315125400801	0	C_FN_DRIFT
grpo	33	0.9	0.6875	0.046875	4.6352340649268715	0	C_FN_DRIFT
