method	step	zvf_obs	n_degenerate	boundary_rate	Gstar_optimal	zvf_at_optimal	zvf_at_G16	zvf_at_G32	zvf_at_G64	salvageable	Gstar_eq_G16	Gstar_eq_G32	Gstar_eq_G64
grpo	0	0.6875	11	0.6875	64	0.6875	0.7176	0.691	0.6875	0	0	0	1
grpo	1	0.5	8	0.5	64	0.5	0.5234	0.5026	0.5	0	0	0	1
grpo	2	0.6875	11	0.6875	64	0.6875	0.7035	0.6893	0.6875	0	0	0	1
grpo	3	0.75	12	0.75	64	0.75	0.766	0.7518	0.75	0	0	0	1
grpo	4	0.6875	11	0.6875	64	0.6875	0.6968	0.6884	0.6875	0	0	0	1
grpo	5	0.6875	11	0.6875	64	0.6875	0.7029	0.6892	0.6875	0	0	0	1
grpo	6	0.8125	13	0.8125	64	0.8125	0.8205	0.8134	0.8125	0	0	0	1
grpo	7	0.6875	11	0.6875	64	0.6875	0.7103	0.6901	0.6875	0	0	0	1
grpo	8	0.5625	9	0.5625	64	0.5625	0.586	0.5651	0.5625	0	0	0	1
grpo	9	0.6875	11	0.6875	64	0.6875	0.7035	0.6893	0.6875	0	0	0	1
grpo	10	0.6875	11	0.6875	64	0.6875	0.7035	0.6893	0.6875	0	0	0	1
grpo	11	0.6875	11	0.6875	64	0.6875	0.7029	0.6892	0.6875	0	0	0	1
grpo	12	0.8125	13	0.8125	64	0.8125	0.8138	0.8125	0.8125	0	0	0	1
grpo	13	0.5625	9	0.5625	64	0.5625	0.5927	0.566	0.5625	0	0	0	1
grpo	14	0.75	12	0.75	64	0.75	0.7654	0.7517	0.75	0	0	0	1
grpo	15	0.75	12	0.75	64	0.75	0.7574	0.7509	0.75	0	0	0	1
grpo	16	0.625	10	0.625	64	0.625	0.6337	0.6259	0.625	0	0	0	1
grpo	17	0.5	8	0.5	64	0.5	0.5241	0.5026	0.5	0	0	0	1
grpo	18	0.5625	9	0.5625	64	0.5625	0.5645	0.5625	0.5625	0	0	0	1
grpo	19	0.625	10	0.625	64	0.625	0.6546	0.6285	0.625	0	0	0	1
grpo	20	0.625	10	0.625	64	0.625	0.6343	0.6259	0.625	0	0	0	1
grpo	21	0.75	12	0.75	64	0.75	0.7648	0.7517	0.75	0	0	0	1
grpo	22	0.75	12	0.75	64	0.75	0.7581	0.7509	0.75	0	0	0	1
grpo	23	0.875	14	0.875	64	0.875	0.883	0.8759	0.875	0	0	0	1
grpo	24	0.8125	13	0.8125	64	0.8125	0.8346	0.8151	0.8125	0	0	0	1
grpo	25	0.5625	9	0.5625	64	0.5625	0.5853	0.5651	0.5625	0	0	0	1
grpo	26	0.8125	13	0.8125	64	0.8125	0.8279	0.8142	0.8125	0	0	0	1
grpo	27	0.9375	15	0.9375	64	0.9375	0.9375	0.9375	0.9375	1	0	0	1
grpo	28	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
grpo	29	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
grpo	30	0.8125	13	0.8125	64	0.8125	0.8279	0.8142	0.8125	0	0	0	1
grpo	31	0.75	12	0.75	64	0.75	0.7728	0.7526	0.75	0	0	0	1
grpo	32	0.6875	11	0.6875	64	0.6875	0.6962	0.6884	0.6875	0	0	0	1
grpo	33	0.6875	11	0.6875	64	0.6875	0.7103	0.6901	0.6875	0	0	0	1
grpo	34	0.875	14	0.875	64	0.875	0.883	0.8759	0.875	0	0	0	1
grpo	35	0.9375	15	0.9375	64	0.9375	0.9381	0.9375	0.9375	0	0	0	1
grpo	36	0.8125	13	0.8125	64	0.8125	0.8273	0.8142	0.8125	0	0	0	1
grpo	37	0.75	12	0.75	64	0.75	0.7586	0.7509	0.75	0	0	0	1
grpo	38	0.6875	11	0.6875	64	0.6875	0.7035	0.6893	0.6875	0	0	0	1
grpo	39	0.75	12	0.75	64	0.75	0.7581	0.7509	0.75	0	0	0	1
aero	0	0.6875	11	0.6875	64	0.6875	0.7171	0.691	0.6875	0	0	0	1
aero	1	0.6875	11	0.6875	64	0.6875	0.6882	0.6875	0.6875	0	0	0	1
aero	2	0.8125	13	0.8125	64	0.8125	0.8346	0.8151	0.8125	0	0	0	1
aero	3	0.6875	11	0.6875	64	0.6875	0.6962	0.6884	0.6875	0	0	0	1
aero	4	0.75	12	0.75	64	0.75	0.7506	0.75	0.75	0	0	0	1
aero	5	0.5625	9	0.5625	64	0.5625	0.5866	0.5651	0.5625	0	0	0	1
aero	6	0.75	12	0.75	64	0.75	0.7519	0.75	0.75	0	0	0	1
aero	7	0.625	10	0.625	64	0.625	0.6472	0.6276	0.625	0	0	0	1
aero	8	0.6875	11	0.6875	64	0.6875	0.6882	0.6875	0.6875	0	0	0	1
aero	9	0.625	10	0.625	64	0.625	0.6411	0.6268	0.625	0	0	0	1
aero	10	0.75	12	0.75	64	0.75	0.7593	0.7509	0.75	0	0	0	1
aero	11	0.5625	9	0.5625	64	0.5625	0.5724	0.5634	0.5625	0	0	0	1
