seed	tau	rule	n_fired	n_salvaged	salvage_rate	total_G	baseline_G	savings	mean_delta_z
42	0.55	STATIC_G16	6	0	0	168	120	-0.4	0.0875
42	0.55	DUALFORMER_d4	6	0	0	168	120	-0.4	0.0875
42	0.55	DUALFORMER_d8	6	0	0	168	120	-0.4	0.0875
42	0.55	ADAPTIVE_GSTAR	6	6	1	200	120	-0.666667	0.120313
179	0.55	STATIC_G16	10	0	0	200	120	-0.666667	0.14375
179	0.55	DUALFORMER_d4	10	0	0	200	120	-0.666667	0.14375
179	0.55	DUALFORMER_d8	10	0	0	200	120	-0.666667	0.14375
179	0.55	ADAPTIVE_GSTAR	10	10	1	264	120	-1.2	0.209375
316	0.55	STATIC_G16	9	0	0	192	120	-0.6	0.128125
316	0.55	DUALFORMER_d4	9	0	0	192	120	-0.6	0.128125
316	0.55	DUALFORMER_d8	9	0	0	192	120	-0.6	0.128125
316	0.55	ADAPTIVE_GSTAR	9	9	1	256	120	-1.13333	0.19375
453	0.55	STATIC_G16	10	0	0	200	120	-0.666667	0.132292
453	0.55	DUALFORMER_d4	10	0	0	200	120	-0.666667	0.132292
453	0.55	DUALFORMER_d8	10	0	0	200	120	-0.666667	0.132292
453	0.55	ADAPTIVE_GSTAR	10	9	0.9	328	120	-1.73333	0.242457
590	0.55	STATIC_G16	10	0	0	200	120	-0.666667	0.130208
590	0.55	DUALFORMER_d4	10	0	0	200	120	-0.666667	0.130208
590	0.55	DUALFORMER_d8	10	0	0	200	120	-0.666667	0.130208
590	0.55	ADAPTIVE_GSTAR	10	8	0.8	344	120	-1.86667	0.235696
42	0.65	STATIC_G16	2	0	0	136	120	-0.133333	0.025
42	0.65	DUALFORMER_d4	2	0	0	136	120	-0.133333	0.025
42	0.65	DUALFORMER_d8	2	0	0	136	120	-0.133333	0.025
42	0.65	ADAPTIVE_GSTAR	2	2	1	168	120	-0.4	0.0578125
179	0.65	STATIC_G16	4	0	0	152	120	-0.266667	0.05
179	0.65	DUALFORMER_d4	4	0	0	152	120	-0.266667	0.05
179	0.65	DUALFORMER_d8	4	0	0	152	120	-0.266667	0.05
179	0.65	ADAPTIVE_GSTAR	4	4	1	216	120	-0.8	0.115625
316	0.65	STATIC_G16	4	0	0	152	120	-0.266667	0.05
316	0.65	DUALFORMER_d4	4	0	0	152	120	-0.266667	0.05
316	0.65	DUALFORMER_d8	4	0	0	152	120	-0.266667	0.05
316	0.65	ADAPTIVE_GSTAR	4	4	1	216	120	-0.8	0.115625
453	0.65	STATIC_G16	6	0	0	168	120	-0.4	0.0697917
453	0.65	DUALFORMER_d4	6	0	0	168	120	-0.4	0.0697917
453	0.65	DUALFORMER_d8	6	0	0	168	120	-0.4	0.0697917
453	0.65	ADAPTIVE_GSTAR	6	5	0.833333	296	120	-1.46667	0.179957
590	0.65	STATIC_G16	5	0	0	160	120	-0.333333	0.0520833
590	0.65	DUALFORMER_d4	5	0	0	160	120	-0.333333	0.0520833
590	0.65	DUALFORMER_d8	5	0	0	160	120	-0.333333	0.0520833
590	0.65	ADAPTIVE_GSTAR	5	3	0.6	304	120	-1.53333	0.157571
42	0.7	STATIC_G16	2	0	0	136	120	-0.133333	0.025
42	0.7	DUALFORMER_d4	2	0	0	136	120	-0.133333	0.025
42	0.7	DUALFORMER_d8	2	0	0	136	120	-0.133333	0.025
42	0.7	ADAPTIVE_GSTAR	2	2	1	168	120	-0.4	0.0578125
179	0.7	STATIC_G16	4	0	0	152	120	-0.266667	0.05
179	0.7	DUALFORMER_d4	4	0	0	152	120	-0.266667	0.05
179	0.7	DUALFORMER_d8	4	0	0	152	120	-0.266667	0.05
179	0.7	ADAPTIVE_GSTAR	4	4	1	216	120	-0.8	0.115625
316	0.7	STATIC_G16	4	0	0	152	120	-0.266667	0.05
316	0.7	DUALFORMER_d4	4	0	0	152	120	-0.266667	0.05
316	0.7	DUALFORMER_d8	4	0	0	152	120	-0.266667	0.05
316	0.7	ADAPTIVE_GSTAR	4	4	1	216	120	-0.8	0.115625
453	0.7	STATIC_G16	6	0	0	168	120	-0.4	0.0697917
453	0.7	DUALFORMER_d4	6	0	0	168	120	-0.4	0.0697917
453	0.7	DUALFORMER_d8	6	0	0	168	120	-0.4	0.0697917
453	0.7	ADAPTIVE_GSTAR	6	5	0.833333	296	120	-1.46667	0.179957
590	0.7	STATIC_G16	5	0	0	160	120	-0.333333	0.0520833
590	0.7	DUALFORMER_d4	5	0	0	160	120	-0.333333	0.0520833
590	0.7	DUALFORMER_d8	5	0	0	160	120	-0.333333	0.0520833
590	0.7	ADAPTIVE_GSTAR	5	3	0.6	304	120	-1.53333	0.157571
