seed	step	zvf_obs	reward	mean_len	p0_inverted	predicted_zvf_G16	predicted_zvf_G32	predicted_zvf_G64	Gstar	zvf_at_Gstar	salvageable	Gstar_eq_G16	Gstar_eq_G32	Gstar_eq_G64
42	1	0.25	0.296875	249.953	0.159104	0.0624998	0.00390622	1.52586e-05	16	0.0624998	1	1	0	0
42	2	0.625	0.078125	256	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
42	3	0.625	0.125	255.594	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
42	4	0.375	0.390625	244.562	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
42	5	0.5	0.25	253.766	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
42	6	0.5	0.171875	252.531	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
42	7	0.625	0.546875	240.531	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
42	8	0.5	0.234375	245.047	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
42	9	0.75	0.21875	251.234	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
42	10	0.25	0.140625	255.141	0.159104	0.0624998	0.00390622	1.52586e-05	16	0.0624998	1	1	0	0
42	11	0.75	0.34375	245.406	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
42	12	0.25	0.265625	255.281	0.159104	0.0624998	0.00390622	1.52586e-05	16	0.0624998	1	1	0	0
42	13	0.625	0.078125	255.984	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
42	14	0.25	0.609375	242.406	0.159104	0.0624998	0.00390622	1.52586e-05	16	0.0624998	1	1	0	0
42	15	0.5	0.703125	232.766	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
179	1	0.75	0.09375	253.906	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
