method	controller	total_rollouts	baseline_rollouts	mean_cost_ratio	total_contrast_intent	total_contrast_magnitude	total_baseline_contrast_magnitude	total_contrast_restored	mean_contrast_restored_per_step	mean_net_per_step	n_steps
aero	ADAPTIVE_PP	6552	5120	1.2797	179	170.4927	149.9989	20.4938	0.5123	0.3725	40
aero	ADAPTIVE_PP_ORACLE	15144	5120	2.9578	179	178.9864	149.9989	28.9875	0.7247	-0.2542	40
aero	DUALFORMER_PP	4858	5120	0.9488	179	148.2337	149.9989	-1.7652	-0.0441	-0.0185	40
aero	STATIC_G16	10240	5120	2.0	179	170.4927	149.9989	20.4938	0.5123	0.0123	40
aero	STATIC_G8	5120	5120	1.0	179	149.9989	149.9989	0.0	0.0	0.0	40
areal	ADAPTIVE_PP	6624	5120	1.2937	188	177.6581	153.9507	23.7074	0.5927	0.4458	40
areal	ADAPTIVE_PP_ORACLE	15648	5120	3.0562	188	187.9832	153.9507	34.0325	0.8508	-0.1773	40
areal	DUALFORMER_PP	4840	5120	0.9453	188	145.2119	153.9507	-8.7388	-0.2185	-0.1911	40
areal	STATIC_G16	10240	5120	2.0	188	177.6581	153.9507	23.7074	0.5927	0.0927	40
areal	STATIC_G8	5120	5120	1.0	188	153.9507	153.9507	0.0	0.0	0.0	40
gift	ADAPTIVE_PP	6296	5120	1.2297	147	139.5205	121.7687	17.7518	0.4438	0.329	40
gift	ADAPTIVE_PP_ORACLE	13352	5120	2.6078	147	146.988	121.7687	25.2193	0.6305	-0.1734	40
gift	DUALFORMER_PP	4458	5120	0.8707	147	120.1812	121.7687	-1.5875	-0.0397	0.025	40
gift	STATIC_G16	10240	5120	2.0	147	139.5205	121.7687	17.7518	0.4438	-0.0562	40
gift	STATIC_G8	5120	5120	1.0	147	121.7687	121.7687	0.0	0.0	0.0	40
grpo	ADAPTIVE_PP	6552	5120	1.2797	179	169.6165	147.2027	22.4138	0.5603	0.4205	40
grpo	ADAPTIVE_PP_ORACLE	15144	5120	2.9578	179	178.985	147.2027	31.7823	0.7946	-0.1843	40
grpo	DUALFORMER_PP	4698	5120	0.9176	179	143.3539	147.2027	-3.8488	-0.0962	-0.055	40
grpo	STATIC_G16	10240	5120	2.0	179	169.6165	147.2027	22.4138	0.5603	0.0603	40
grpo	STATIC_G8	5120	5120	1.0	179	147.2027	147.2027	0.0	0.0	0.0	40
