method	step	controller	rollouts_used	contrast_intent	contrast_magnitude	baseline_contrast_magnitude	contrast_restored	cost_ratio
aero	0	ADAPTIVE_PP	168	5	4.5271	3.6019	0.9252	1.3125
aero	0	ADAPTIVE_PP_ORACLE	408	5	4.9992	3.6019	1.3973	3.1875
aero	0	DUALFORMER_PP	140	5	3.7989	3.6019	0.197	1.0938
aero	0	STATIC_G16	256	5	4.5271	3.6019	0.9252	2.0
aero	0	STATIC_G8	128	5	3.6019	3.6019	0.0	1.0
aero	1	ADAPTIVE_PP	168	5	4.9885	4.821	0.1675	1.3125
aero	1	ADAPTIVE_PP_ORACLE	408	5	5.0	4.821	0.179	3.1875
aero	1	DUALFORMER_PP	124	5	4.8984	4.821	0.0774	0.9688
aero	1	STATIC_G16	256	5	4.9885	4.821	0.1675	2.0
aero	1	STATIC_G8	128	5	4.821	4.821	0.0	1.0
aero	2	ADAPTIVE_PP	152	3	2.6457	1.9692	0.6765	1.1875
aero	2	ADAPTIVE_PP_ORACLE	296	3	2.9994	1.9692	1.0302	2.3125
aero	2	DUALFORMER_PP	96	3	1.8133	1.9692	-0.1559	0.75
aero	2	STATIC_G16	256	3	2.6457	1.9692	0.6765	2.0
aero	2	STATIC_G8	128	3	1.9692	1.9692	0.0	1.0
aero	3	ADAPTIVE_PP	168	5	4.8609	4.4088	0.4521	1.3125
aero	3	ADAPTIVE_PP_ORACLE	408	5	4.9998	4.4088	0.591	3.1875
aero	3	DUALFORMER_PP	158	5	4.3124	4.4088	-0.0964	1.2344
aero	3	STATIC_G16	256	5	4.8609	4.4088	0.4521	2.0
aero	3	STATIC_G8	128	5	4.4088	4.4088	0.0	1.0
aero	4	ADAPTIVE_PP	160	4	3.99	3.8765	0.1135	1.25
aero	4	ADAPTIVE_PP_ORACLE	352	4	4.0	3.8765	0.1235	2.75
aero	4	DUALFORMER_PP	110	4	3.8999	3.8765	0.0234	0.8594
aero	4	STATIC_G16	256	4	3.99	3.8765	0.1135	2.0
aero	4	STATIC_G8	128	4	3.8765	3.8765	0.0	1.0
aero	5	ADAPTIVE_PP	184	7	6.6152	5.6452	0.97	1.4375
aero	5	ADAPTIVE_PP_ORACLE	520	7	6.9994	5.6452	1.3542	4.0625
aero	5	DUALFORMER_PP	226	7	6.1855	5.6452	0.5403	1.7656
aero	5	STATIC_G16	256	7	6.6152	5.6452	0.97	2.0
aero	5	STATIC_G8	128	7	5.6452	5.6452	0.0	1.0
aero	6	ADAPTIVE_PP	160	4	3.9695	3.676	0.2935	1.25
aero	6	ADAPTIVE_PP_ORACLE	352	4	4.0	3.676	0.324	2.75
aero	6	DUALFORMER_PP	172	4	3.8992	3.676	0.2232	1.3438
aero	6	STATIC_G16	256	4	3.9695	3.676	0.2935	2.0
aero	6	STATIC_G8	128	4	3.676	3.676	0.0	1.0
aero	7	ADAPTIVE_PP	176	6	5.6447	4.914	0.7307	1.375
aero	7	ADAPTIVE_PP_ORACLE	464	6	5.9994	4.914	1.0854	3.625
aero	7	DUALFORMER_PP	184	6	4.8128	4.914	-0.1012	1.4375
aero	7	STATIC_G16	256	6	5.6447	4.914	0.7307	2.0
aero	7	STATIC_G8	128	6	4.914	4.914	0.0	1.0
aero	8	ADAPTIVE_PP	168	5	4.989	4.8369	0.1521	1.3125
aero	8	ADAPTIVE_PP_ORACLE	408	5	5.0	4.8369	0.1631	3.1875
aero	8	DUALFORMER_PP	180	5	4.9999	4.8369	0.163	1.4062
aero	8	STATIC_G16	256	5	4.989	4.8369	0.1521	2.0
aero	8	STATIC_G8	128	5	4.8369	4.8369	0.0	1.0
aero	9	ADAPTIVE_PP	176	6	5.7428	5.0652	0.6776	1.375
aero	9	ADAPTIVE_PP_ORACLE	464	6	5.9996	5.0652	0.9344	3.625
aero	9	DUALFORMER_PP	116	6	4.7265	5.0652	-0.3387	0.9062
aero	9	STATIC_G16	256	6	5.7428	5.0652	0.6776	2.0
aero	9	STATIC_G8	128	6	5.0652	5.0652	0.0	1.0
aero	10	ADAPTIVE_PP	160	4	3.8519	3.3561	0.4958	1.25
aero	10	ADAPTIVE_PP_ORACLE	352	4	3.9998	3.3561	0.6437	2.75
aero	10	DUALFORMER_PP	106	4	3.2133	3.3561	-0.1428	0.8281
aero	10	STATIC_G16	256	4	3.8519	3.3561	0.4958	2.0
aero	10	STATIC_G8	128	4	3.3561	3.3561	0.0	1.0
aero	11	ADAPTIVE_PP	184	7	6.8419	6.2404	0.6015	1.4375
aero	11	ADAPTIVE_PP_ORACLE	520	7	6.9998	6.2404	0.7594	4.0625
aero	11	DUALFORMER_PP	162	7	6.7857	6.2404	0.5453	1.2656
aero	11	STATIC_G16	256	7	6.8419	6.2404	0.6015	2.0
aero	11	STATIC_G8	128	7	6.2404	6.2404	0.0	1.0
aero	12	ADAPTIVE_PP	168	5	4.8609	4.4088	0.4521	1.3125
aero	12	ADAPTIVE_PP_ORACLE	408	5	4.9998	4.4088	0.591	3.1875
aero	12	DUALFORMER_PP	114	5	4.3129	4.4088	-0.0959	0.8906
aero	12	STATIC_G16	256	5	4.8609	4.4088	0.4521	2.0
aero	12	STATIC_G8	128	5	4.4088	4.4088	0.0	1.0
aero	13	ADAPTIVE_PP	184	7	6.9795	6.7449	0.2346	1.4375
aero	13	ADAPTIVE_PP_ORACLE	520	7	7.0	6.7449	0.2551	4.0625
aero	13	DUALFORMER_PP	184	7	6.8998	6.7449	0.1549	1.4375
aero	13	STATIC_G16	256	7	6.9795	6.7449	0.2346	2.0
aero	13	STATIC_G8	128	7	6.7449	6.7449	0.0	1.0
