method	controller	cost_ratio	retention	mean_g
grpo	STATIC_G4	0.5000	0.7458	4.00
grpo	STATIC_G8	1.0000	1.0000	8.00
grpo	STATIC_G16	2.0000	1.1594	16.00
grpo	DUALFORMER_STEP	1.3000	1.0168	10.40
grpo	UNIFIED_STEP_C4	1.5000	1.0841	12.00
aero	STATIC_G4	0.5000	0.7571	4.00
aero	STATIC_G8	1.0000	1.0000	8.00
aero	STATIC_G16	2.0000	1.1467	16.00
aero	DUALFORMER_STEP	1.3000	1.0104	10.40
aero	UNIFIED_STEP_C4	1.4750	1.0742	11.80
gift	STATIC_G4	0.5000	0.7340	4.00
gift	STATIC_G8	1.0000	0.9750	8.00
gift	STATIC_G16	2.0000	1.1259	16.00
gift	DUALFORMER_STEP	2.0500	1.0540	16.40
gift	UNIFIED_STEP_C4	1.6500	1.0649	13.20
areal	STATIC_G4	0.5000	0.7478	4.00
areal	STATIC_G8	1.0000	1.0000	8.00
areal	STATIC_G16	2.0000	1.1602	16.00
areal	DUALFORMER_STEP	1.3750	1.0293	11.00
areal	UNIFIED_STEP_C4	1.4250	1.0645	11.40
