zvf_tau	method	c6_pct_oracle_captured	c6_total_extras	c6_total_dy	c6_pareto_wins_total	pareto_set
0.55	aero	-3.66843857619915	1204	-0.2992895538218502	1	C0_fixed_G8;C5_isog_y090
0.55	areal	48.89683192585241	1168	4.530262487359583	1	C0_fixed_G8;C2_dualformer;C5_isog_y090;C6_calibrated
0.55	gift	4.035691247200177	988	0.28322416921405724	1	C0_fixed_G8;C5_isog_y090
0.55	grpo	-0.48061721410041947	1080	-0.04259385855098363	1	C0_fixed_G8;C2_dualformer;C5_isog_y090
0.65	aero	4.881944174499325	700	0.3982934056055363	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.65	areal	26.961175819398104	814	2.4979369545851458	4	C0_fixed_G8;C2_dualformer;C5_isog_y090;C6_calibrated
0.65	gift	17.02775540425126	588	1.1950051633149683	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.65	grpo	10.914222111855818	806	0.9672538127801503	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.7	aero	9.885164638133048	420	0.8064811370148892	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.7	areal	1.7994124956843487	338	0.1667145008667713	4	C0_fixed_G8;C2_dualformer;C5_isog_y090;C6_calibrated
0.7	gift	9.262211881142166	438	0.6500205552000548	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.7	grpo	11.617386359786307	440	1.0295705122985372	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.75	aero	9.885164638133048	420	0.8064811370148892	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.75	areal	1.7994124956843487	338	0.1667145008667713	4	C0_fixed_G8;C2_dualformer;C5_isog_y090;C6_calibrated
0.75	gift	9.262211881142166	438	0.6500205552000548	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.75	grpo	11.617386359786307	440	1.0295705122985372	4	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.85	aero	0.3034484020595537	46	0.024756837268474663	1	C0_fixed_G8;C5_isog_y090;C6_calibrated
0.85	areal	-6.191461205619058	38	-0.5736352098289685	1	C0_fixed_G8;C2_dualformer;C5_isog_y090
0.85	gift	-4.646855292209161	126	-0.32611556459056446	1	C0_fixed_G8;C5_isog_y090
0.85	grpo	-12.259278120943835	14	-1.0864570450269988	1	C0_fixed_G8;C2_dualformer;C5_isog_y090
