method	step	tau	G_N	zvf_step	n_boundary_prompts	n_total_prompts	mean_restored_step
grpo	0	0.55	12	0.6875	11	16	0.0398
grpo	2	0.55	12	0.6875	11	16	0.0268
grpo	3	0.55	12	0.75	12	16	0.0263
grpo	4	0.55	12	0.6875	11	16	0.0222
grpo	5	0.55	12	0.6875	11	16	0.023
grpo	6	0.55	12	0.8125	13	16	0.0144
grpo	7	0.55	12	0.6875	11	16	0.0314
grpo	8	0.55	12	0.5625	9	16	0.0377
grpo	9	0.55	12	0.6875	11	16	0.0276
grpo	10	0.55	12	0.6875	11	16	0.0276
grpo	11	0.55	12	0.6875	11	16	0.023
grpo	12	0.55	12	0.8125	13	16	0.0098
grpo	13	0.55	12	0.5625	9	16	0.0415
grpo	14	0.55	12	0.75	12	16	0.0225
grpo	15	0.55	12	0.75	12	16	0.0119
grpo	16	0.55	12	0.625	10	16	0.0212
grpo	18	0.55	12	0.5625	9	16	0.0171
grpo	19	0.55	12	0.625	10	16	0.0381
grpo	20	0.55	12	0.625	10	16	0.0234
grpo	21	0.55	12	0.75	12	16	0.0203
grpo	22	0.55	12	0.75	12	16	0.0157
grpo	23	0.55	12	0.875	14	16	0.0132
grpo	24	0.55	12	0.8125	13	16	0.0267
grpo	25	0.55	12	0.5625	9	16	0.0339
grpo	26	0.55	12	0.8125	13	16	0.0221
grpo	27	0.55	12	0.9375	15	16	0.0005
grpo	28	0.55	12	0.8125	13	16	0.019
grpo	29	0.55	12	0.8125	13	16	0.0182
grpo	30	0.55	12	0.8125	13	16	0.0221
grpo	31	0.55	12	0.75	12	16	0.0309
grpo	32	0.55	12	0.6875	11	16	0.0192
grpo	33	0.55	12	0.6875	11	16	0.0322
grpo	34	0.55	12	0.875	14	16	0.0132
grpo	35	0.55	12	0.9375	15	16	0.0043
grpo	36	0.55	12	0.8125	13	16	0.019
grpo	37	0.55	12	0.75	12	16	0.0179
grpo	38	0.55	12	0.6875	11	16	0.0276
grpo	39	0.55	12	0.75	12	16	0.0157
grpo	0	0.55	16	0.6875	11	16	0.062
grpo	2	0.55	16	0.6875	11	16	0.0399
grpo	3	0.55	16	0.75	12	16	0.0395
