method	step	k_p	p_hat	is_boundary	tau_fired	static_G_N	restored_static	eff_static	optimal_G_N	restored_optimal	eff_optimal	savings_rollouts	savings_frac	prompt_idx
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	3	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	3
grpo	3	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	3	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	6
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	3	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	3	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	13
grpo	3	2	0.25	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	14
grpo	3	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	6	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	6	2	0.25	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	4
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	6	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	6
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	6	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	6	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	14
grpo	6	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	12	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	2
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	12	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	10
grpo	12	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	11
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	12	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	14	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	0
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	14	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	8
grpo	14	4	0.5	0	0.7	16	0.007781982421875	0.007781982421875	12	0.00732421875	0.0146484375	4	0.25	9
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	14	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	11
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	14	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	14	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	15	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	1
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	15	1	0.125	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	4
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	15	3	0.375	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	6
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	15	4	0.5	0	0.7	16	0.007781982421875	0.007781982421875	12	0.00732421875	0.0146484375	4	0.25	10
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	15	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	21	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	0
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	21	3	0.375	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	7
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	21	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	21	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	12
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	21	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	14
grpo	21	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	22	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	1
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	22	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	3
grpo	22	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	4
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	22	1	0.125	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	8
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	22	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	23	2	0.25	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	6
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	23	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	10
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	23	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	23	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	24	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	0
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	24	1	0.125	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	4
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	24	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	12
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	24	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	26	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	26	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	4
grpo	26	2	0.25	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	5
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	26	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	7
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	26	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	27	4	0.5	0	0.7	16	0.007781982421875	0.007781982421875	12	0.00732421875	0.0146484375	4	0.25	14
grpo	27	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	28	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	0
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	28	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	12
grpo	28	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	28	5	0.625	0	0.7	16	0.023131876420841024	0.023131876420841024	12	0.02011368327657692	0.04022736655315384	4	0.25	14
grpo	28	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	29	4	0.5	0	0.7	16	0.007781982421875	0.007781982421875	12	0.00732421875	0.0146484375	4	0.25	4
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	29	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	9
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	29	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	13
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	29	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	30	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	10
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	30	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	13
grpo	30	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	30	2	0.25	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	15
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	31	1	0.125	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	1
grpo	31	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	2
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	31	7	0.875	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	12
grpo	31	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	13
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	31	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	34	1	0.125	0	0.7	16	0.22554188838920908	0.22554188838920908	12	0.1421917373954784	0.2843834747909568	4	0.25	6
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	34	2	0.25	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	9
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
