method	step	zvf_step	n_boundary	n_contrast	kbar	smoothed	naive	ag	df	ap
grpo	0	0.6875	11	5	3.2000	0.5200	0.2400	0	1	0
grpo	1	0.5000	8	8	5.1250	0.5396	0.2302	0	1	0
grpo	2	0.6875	11	5	5.2000	0.5450	0.2275	0	1	0
grpo	3	0.7500	12	4	5.5000	0.5703	0.2148	1	1	0
grpo	4	0.6875	11	5	4.6000	0.5112	0.2444	0	1	0
grpo	5	0.6875	11	5	3.2000	0.5200	0.2400	0	1	0
grpo	6	0.8125	13	3	4.6667	0.5139	0.2431	1	1	0
grpo	7	0.6875	11	5	3.8000	0.5012	0.2494	0	1	0
grpo	8	0.5625	9	7	3.0000	0.5312	0.2344	0	1	0
grpo	9	0.6875	11	5	5.0000	0.5312	0.2344	0	1	0
grpo	10	0.6875	11	5	5.0000	0.5312	0.2344	0	1	0
grpo	11	0.6875	11	5	5.6000	0.5800	0.2100	0	1	0
grpo	12	0.8125	13	3	5.6667	0.5868	0.2066	1	1	0
grpo	13	0.5625	9	7	5.5714	0.5772	0.2114	0	1	0
grpo	14	0.7500	12	4	6.0000	0.6250	0.1875	1	1	0
grpo	15	0.7500	12	4	3.2500	0.5176	0.2412	1	1	0
grpo	16	0.6250	10	6	5.0000	0.5312	0.2344	0	1	0
grpo	17	0.5000	8	8	5.5000	0.5703	0.2148	0	1	0
grpo	18	0.5625	9	7	5.0000	0.5312	0.2344	0	1	0
grpo	19	0.6250	10	6	4.6667	0.5139	0.2431	0	1	0
grpo	20	0.6250	10	6	4.3333	0.5035	0.2483	0	1	0
grpo	21	0.7500	12	4	5.5000	0.5703	0.2148	1	1	0
grpo	22	0.7500	12	4	4.2500	0.5020	0.2490	1	1	0
grpo	23	0.8750	14	2	4.5000	0.5078	0.2461	1	1	0
grpo	24	0.8125	13	3	5.0000	0.5312	0.2344	1	1	0
grpo	25	0.5625	9	7	4.1429	0.5006	0.2497	0	1	0
grpo	26	0.8125	13	3	5.3333	0.5556	0.2222	1	1	0
