method	policy	step	G_t	cost_t	obs_zvf	proj_zvf	proj_contrast
grpo	BASE	0	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	1	8	1.0	0.5	0.7797	0.2203
grpo	BASE	2	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	3	8	1.0	0.75	0.7797	0.2203
grpo	BASE	4	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	5	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	6	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	7	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	8	8	1.0	0.5625	0.7797	0.2203
grpo	BASE	9	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	10	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	11	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	12	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	13	8	1.0	0.5625	0.7797	0.2203
grpo	BASE	14	8	1.0	0.75	0.7797	0.2203
grpo	BASE	15	8	1.0	0.75	0.7797	0.2203
grpo	BASE	16	8	1.0	0.625	0.7797	0.2203
grpo	BASE	17	8	1.0	0.5	0.7797	0.2203
grpo	BASE	18	8	1.0	0.5625	0.7797	0.2203
grpo	BASE	19	8	1.0	0.625	0.7797	0.2203
grpo	BASE	20	8	1.0	0.625	0.7797	0.2203
grpo	BASE	21	8	1.0	0.75	0.7797	0.2203
grpo	BASE	22	8	1.0	0.75	0.7797	0.2203
grpo	BASE	23	8	1.0	0.875	0.7797	0.2203
grpo	BASE	24	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	25	8	1.0	0.5625	0.7797	0.2203
grpo	BASE	26	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	27	8	1.0	0.9375	0.7797	0.2203
grpo	BASE	28	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	29	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	30	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	31	8	1.0	0.75	0.7797	0.2203
grpo	BASE	32	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	33	8	1.0	0.6875	0.7797	0.2203
grpo	BASE	34	8	1.0	0.875	0.7797	0.2203
grpo	BASE	35	8	1.0	0.9375	0.7797	0.2203
grpo	BASE	36	8	1.0	0.8125	0.7797	0.2203
grpo	BASE	37	8	1.0	0.75	0.7797	0.2203
