method	step	emp_gu_8	emp_gu_16	emp_gu_32	emp_gu_64	chosen_g	chosen_gu	n_fires	emp_gu_raised_by_chosen
grpo	0	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
grpo	1	0.5	0.875	1.0	1.0	16	0.875	8	0.375
grpo	2	0.3125	0.75	1.0	1.0	16	0.75	11	0.4375
grpo	3	0.25	0.75	1.0	1.0	16	0.75	12	0.5
grpo	4	0.3125	0.5	0.5	1.0	16	0.5	11	0.1875
grpo	5	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
grpo	6	0.1875	0.625	0.75	1.0	16	0.625	13	0.4375
grpo	7	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
grpo	8	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
grpo	9	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
grpo	10	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
grpo	11	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
grpo	12	0.1875	0.25	0.5	1.0	16	0.25	13	0.0625
grpo	13	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
grpo	14	0.25	0.5	0.75	1.0	16	0.5	12	0.25
grpo	15	0.25	0.5	0.75	1.0	16	0.5	12	0.25
grpo	16	0.375	0.625	1.0	1.0	16	0.625	10	0.25
grpo	17	0.5	0.75	1.0	1.0	16	0.75	8	0.25
grpo	18	0.4375	0.875	1.0	1.0	16	0.875	9	0.4375
grpo	19	0.375	0.875	1.0	1.0	16	0.875	10	0.5
grpo	20	0.375	0.5	0.75	1.0	16	0.5	10	0.125
grpo	21	0.25	0.625	1.0	1.0	16	0.625	12	0.375
grpo	22	0.25	0.5	0.75	1.0	16	0.5	12	0.25
grpo	23	0.125	0.375	0.75	1.0	16	0.375	14	0.25
grpo	24	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
grpo	25	0.4375	0.625	1.0	1.0	16	0.625	9	0.1875
grpo	26	0.1875	0.375	0.5	0.5	16	0.375	13	0.1875
grpo	27	0.0625	0.125	0.25	0.5	16	0.125	15	0.0625
grpo	28	0.1875	0.375	0.5	1.0	16	0.375	13	0.1875
grpo	29	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
