method	step	prompt_idx	k	p_hat	controller	G_prime	yield_base	yield_ctrl	delta_yield
grpo	0	0	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	0	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	0	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	0	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	0	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	0	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	0	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	0	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	0	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	1	6	0.75	C0_fixed	8	0.8999	0.8999	0.0
grpo	0	1	6	0.75	C1_zvf_triage	8	0.8999	0.8999	0.0
grpo	0	1	6	0.75	C2_dualformer	8	0.8999	0.8999	0.0
grpo	0	1	6	0.75	C3_hybrid	8	0.8999	0.8999	0.0
grpo	0	1	6	0.75	C4_bayesian	16	0.8999	0.99	0.0901
grpo	0	1	6	0.75	C5_iso_g_0.50	4	0.8999	0.6797	-0.2202
grpo	0	1	6	0.75	C5_iso_g_0.70	6	0.8999	0.8218	-0.0781
grpo	0	1	6	0.75	C5_iso_g_0.90	10	0.8999	0.9437	0.0438
grpo	0	1	6	0.75	C5_iso_g_0.95	12	0.8999	0.9683	0.0685
grpo	0	2	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	2	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	2	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	2	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	2	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	2	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	2	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	2	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	2	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	3	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	3	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	3	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	4	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	4	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	4	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	5	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	5	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	5	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	6	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	6	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	6	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	7	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	7	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	7	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C0_fixed	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C1_zvf_triage	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C2_dualformer	2	0.0	0.0	0.0
grpo	0	8	8	1.0	C3_hybrid	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C4_bayesian	16	0.0	0.0	0.0
grpo	0	8	8	1.0	C5_iso_g_0.50	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C5_iso_g_0.70	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C5_iso_g_0.90	8	0.0	0.0	0.0
grpo	0	8	8	1.0	C5_iso_g_0.95	8	0.0	0.0	0.0
grpo	0	9	1	0.125	C0_fixed	8	0.6564	0.6564	0.0
grpo	0	9	1	0.125	C1_zvf_triage	8	0.6564	0.6564	0.0
grpo	0	9	1	0.125	C2_dualformer	16	0.6564	0.8819	0.2255
grpo	0	9	1	0.125	C3_hybrid	8	0.6564	0.6564	0.0
grpo	0	9	1	0.125	C4_bayesian	16	0.6564	0.8819	0.2255
grpo	0	9	1	0.125	C5_iso_g_0.50	6	0.6564	0.5512	-0.1052
grpo	0	9	1	0.125	C5_iso_g_0.70	10	0.6564	0.7369	0.0805
