method	controller	threshold	eta_min	n_fires	extra_rollouts	sum_zvf_drop	mean_zvf_drop_per_fire	boot_ci_lo	boot_ci_hi	sum_restore_prompts	zvf_drop_per_1k_rollouts
grpo	zvf_triage	0.50	0.0	40	5120	1.4009	0.035	0.0304	0.0395	169.62	4.3779
grpo	zvf_triage	0.55	0.0	38	4864	1.2848	0.0338	0.0292	0.0385	154.38	4.2263
grpo	zvf_triage	0.60	0.0	34	4352	1.0914	0.0321	0.0276	0.0365	127.63	4.0124
grpo	zvf_triage	0.65	0.0	31	3968	0.9695	0.0313	0.0267	0.0359	110.39	3.9092
grpo	zvf_triage	0.70	0.0	20	2560	0.5187	0.0259	0.0208	0.0309	58.41	3.2418
grpo	zvf_triage	0.75	0.0	20	2560	0.5187	0.0259	0.0208	0.0309	58.41	3.2418
grpo	zvf_triage	0.80	0.0	12	1536	0.2774	0.0231	0.0163	0.0295	28.03	2.8891
grpo	zvf_triage	0.85	0.0	4	512	0.0456	0.0114	0.0031	0.0197	5.73	1.4242
grpo	zvf_triage	0.90	0.0	2	256	0.0061	0.0031	0.0005	0.0056	1.99	0.3824
grpo	zvf_then_drop	0.50	0.005	39	4992	1.4004	0.0359	0.0315	0.0405	168.62	4.4886
grpo	zvf_then_drop	0.50	0.010	38	4864	1.3948	0.0367	0.0325	0.0409	167.63	4.5882
grpo	zvf_then_drop	0.50	0.020	34	4352	1.3252	0.039	0.035	0.0432	157.02	4.8719
grpo	zvf_then_drop	0.50	0.030	24	3072	1.0662	0.0444	0.0405	0.0486	116.57	5.5533
grpo	zvf_then_drop	0.50	0.050	7	896	0.4091	0.0584	0.0553	0.0614	45.06	7.3056
grpo	zvf_then_drop	0.50	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.50	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.50	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.50	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.55	0.005	37	4736	1.2843	0.0347	0.0305	0.039	153.38	4.3389
grpo	zvf_then_drop	0.55	0.010	36	4608	1.2787	0.0355	0.0315	0.0397	152.39	4.4398
grpo	zvf_then_drop	0.55	0.020	32	4096	1.209	0.0378	0.0339	0.042	141.78	4.7228
grpo	zvf_then_drop	0.55	0.030	22	2816	0.9501	0.0432	0.0392	0.0475	101.33	5.3984
grpo	zvf_then_drop	0.55	0.050	5	640	0.293	0.0586	0.0545	0.0622	29.82	7.3246
grpo	zvf_then_drop	0.55	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.55	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.55	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.55	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.60	0.005	33	4224	1.0909	0.0331	0.0289	0.0373	126.63	4.1322
grpo	zvf_then_drop	0.60	0.010	32	4096	1.0853	0.0339	0.0301	0.038	125.64	4.2393
grpo	zvf_then_drop	0.60	0.020	28	3584	1.0156	0.0363	0.0327	0.0401	115.04	4.534
grpo	zvf_then_drop	0.60	0.030	19	2432	0.7784	0.041	0.0374	0.0452	81.55	5.1212
grpo	zvf_then_drop	0.60	0.050	2	256	0.1213	0.0606	0.0593	0.062	10.04	7.5809
grpo	zvf_then_drop	0.60	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.60	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.60	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.60	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.65	0.005	30	3840	0.969	0.0323	0.0282	0.0365	109.39	4.0375
grpo	zvf_then_drop	0.65	0.010	29	3712	0.9634	0.0332	0.0294	0.0373	108.4	4.1524
grpo	zvf_then_drop	0.65	0.020	25	3200	0.8937	0.0357	0.0321	0.0395	97.8	4.4686
grpo	zvf_then_drop	0.65	0.030	17	2176	0.6862	0.0404	0.037	0.0443	70.17	5.0457
grpo	zvf_then_drop	0.65	0.050	1	128	0.062	0.062	0.062	0.062	4.52	7.7521
grpo	zvf_then_drop	0.65	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.65	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.65	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.65	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.70	0.005	19	2432	0.5182	0.0273	0.0228	0.0315	57.41	3.4092
grpo	zvf_then_drop	0.70	0.010	18	2304	0.5126	0.0285	0.0244	0.0326	56.42	3.5595
grpo	zvf_then_drop	0.70	0.020	14	1792	0.4429	0.0316	0.0279	0.0356	45.82	3.9547
grpo	zvf_then_drop	0.70	0.030	7	896	0.2627	0.0375	0.0336	0.0419	23.05	4.6912
grpo	zvf_then_drop	0.70	0.050	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.70	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.70	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.70	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.70	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.75	0.005	19	2432	0.5182	0.0273	0.0228	0.0315	57.41	3.4092
grpo	zvf_then_drop	0.75	0.010	18	2304	0.5126	0.0285	0.0244	0.0326	56.42	3.5595
grpo	zvf_then_drop	0.75	0.020	14	1792	0.4429	0.0316	0.0279	0.0356	45.82	3.9547
grpo	zvf_then_drop	0.75	0.030	7	896	0.2627	0.0375	0.0336	0.0419	23.05	4.6912
grpo	zvf_then_drop	0.75	0.050	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.75	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.75	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.75	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.75	0.200	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.80	0.005	11	1408	0.2769	0.0252	0.0192	0.0309	27.03	3.1462
grpo	zvf_then_drop	0.80	0.010	10	1280	0.2712	0.0271	0.0219	0.0322	26.04	3.3904
grpo	zvf_then_drop	0.80	0.020	7	896	0.2191	0.0313	0.0271	0.0357	19.32	3.9119
grpo	zvf_then_drop	0.80	0.030	3	384	0.1099	0.0366	0.0338	0.0423	8.15	4.5807
grpo	zvf_then_drop	0.80	0.050	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.80	0.080	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.80	0.100	0	0	0.0	0.0	0.0	0.0	0.0	0.0
grpo	zvf_then_drop	0.80	0.150	0	0	0.0	0.0	0.0	0.0	0.0	0.0
