seed	step	zvf_g8	zvf_restored_pred	contrast_restored	fire_triage_0.70	fire_bayes_0.60
42	1	0.2500	0.1906	+0.0594	1	0
42	2	0.6250	0.5656	+0.0594	1	0
42	3	0.6250	0.5656	+0.0594	1	0
42	4	0.3750	0.3156	+0.0594	1	0
42	5	0.5000	0.4406	+0.0594	1	0
42	6	0.5000	0.4406	+0.0594	1	0
42	7	0.6250	0.5656	+0.0594	1	0
42	8	0.5000	0.4406	+0.0594	1	0
42	9	0.7500	0.6906	+0.0594	0	0
42	10	0.2500	0.1906	+0.0594	1	0
42	11	0.7500	0.6906	+0.0594	0	0
42	12	0.2500	0.1906	+0.0594	1	0
42	13	0.6250	0.5656	+0.0594	1	0
42	14	0.2500	0.1906	+0.0594	1	0
42	15	0.5000	0.4406	+0.0594	1	0
179	1	0.7500	0.6906	+0.0594	0	0
179	2	0.5000	0.4406	+0.0594	1	0
179	3	0.7500	0.6906	+0.0594	0	0
179	4	0.5000	0.4406	+0.0594	1	0
179	5	0.6250	0.5656	+0.0594	1	0
179	6	0.6250	0.5656	+0.0594	1	0
179	7	0.5000	0.4406	+0.0594	1	0
179	8	0.7500	0.6906	+0.0594	0	0
179	9	0.5000	0.4406	+0.0594	1	0
179	10	0.7500	0.6906	+0.0594	0	0
179	11	0.6250	0.5656	+0.0594	1	0
179	12	0.6250	0.5656	+0.0594	1	0
179	13	0.6250	0.5656	+0.0594	1	0
179	14	0.6250	0.5656	+0.0594	1	0
179	15	0.3750	0.3156	+0.0594	1	0
316	1	0.5000	0.4406	+0.0594	1	0
316	2	0.6250	0.5656	+0.0594	1	0
316	3	0.5000	0.4406	+0.0594	1	0
316	4	0.3750	0.3156	+0.0594	1	0
316	5	0.6250	0.5656	+0.0594	1	0
316	6	0.7500	0.6906	+0.0594	0	0
316	7	0.7500	0.6906	+0.0594	0	0
316	8	0.7500	0.6906	+0.0594	0	0
316	9	0.5000	0.4406	+0.0594	1	0
316	10	0.7500	0.6906	+0.0594	0	0
316	11	0.5000	0.4406	+0.0594	1	0
316	12	0.6250	0.5656	+0.0594	1	0
316	13	0.6250	0.5656	+0.0594	1	0
316	14	0.3750	0.3156	+0.0594	1	0
316	15	0.6250	0.5656	+0.0594	1	0
453	1	0.7500	0.6906	+0.0594	0	0
453	2	0.7500	0.6906	+0.0594	0	0
453	3	0.6250	0.5656	+0.0594	1	0
453	4	0.7500	0.6906	+0.0594	0	0
453	5	0.7500	0.6906	+0.0594	0	0
453	6	0.5000	0.4406	+0.0594	1	0
453	7	0.6250	0.5656	+0.0594	1	0
453	8	0.3750	0.3156	+0.0594	1	0
453	9	0.6250	0.5656	+0.0594	1	0
453	10	0.7500	0.6906	+0.0594	0	0
453	11	0.5000	0.4406	+0.0594	1	0
453	12	0.8750	0.8156	+0.0594	0	0
453	13	0.5000	0.4406	+0.0594	1	0
453	14	0.5000	0.4406	+0.0594	1	0
453	15	0.6250	0.5656	+0.0594	1	0
590	1	0.8750	0.8156	+0.0594	0	0
590	2	0.5000	0.4406	+0.0594	1	0
590	3	0.6250	0.5656	+0.0594	1	0
590	4	0.5000	0.4406	+0.0594	1	0
590	5	0.7500	0.6906	+0.0594	0	0
590	6	0.6250	0.5656	+0.0594	1	0
590	7	0.8750	0.8156	+0.0594	0	0
590	8	0.6250	0.5656	+0.0594	1	0
590	9	0.2500	0.1906	+0.0594	1	0
590	10	0.6250	0.5656	+0.0594	1	0
590	11	0.7500	0.6906	+0.0594	0	0
590	12	0.3750	0.3156	+0.0594	1	0
590	13	0.6250	0.5656	+0.0594	1	0
590	14	0.7500	0.6906	+0.0594	0	0
590	15	0.3750	0.3156	+0.0594	1	0
