method	tau	n_fires	n_saves	n_at_risk_g8	n_recovered_g16	n_wasted_g16	cost_ratio	saved_per_fire
grpo	0.03	126	51	126	51	75	1.196875	0.40476190476190477
grpo	0.05	126	51	126	51	75	1.196875	0.40476190476190477
grpo	0.08	126	51	126	51	75	1.196875	0.40476190476190477
grpo	0.1	75	0	75	0	75	1.1171875	0.0
grpo	0.12	75	0	75	0	75	1.1171875	0.0
aero	0.03	114	46	114	46	68	1.178125	0.40350877192982454
aero	0.05	114	46	114	46	68	1.178125	0.40350877192982454
aero	0.08	114	46	114	46	68	1.178125	0.40350877192982454
aero	0.1	68	0	68	0	68	1.10625	0.0
aero	0.12	68	0	68	0	68	1.10625	0.0
areal	0.03	124	40	124	40	84	1.19375	0.3225806451612903
areal	0.05	124	40	124	40	84	1.19375	0.3225806451612903
areal	0.08	124	40	124	40	84	1.19375	0.3225806451612903
areal	0.1	84	0	84	0	84	1.13125	0.0
areal	0.12	84	0	84	0	84	1.13125	0.0
gift	0.03	98	38	98	38	60	1.153125	0.3877551020408163
gift	0.05	98	38	98	38	60	1.153125	0.3877551020408163
gift	0.08	98	38	98	38	60	1.153125	0.3877551020408163
gift	0.1	60	0	60	0	60	1.09375	0.0
gift	0.12	60	0	60	0	60	1.09375	0.0
