method	step	n_prompts	rollouts_optimal_g	rollouts_fixed_g8	cost_ratio	mean_contrast_restored	mean_contrast_lost_to_gstar	n_at_g8	n_at_g10	n_at_g12	n_at_g16	n_at_g24
grpo	0	16	98	128	0.7656	-0.142215	0.142215	11	0	0	0	0
grpo	1	16	80	128	0.625	-0.239952	0.239952	8	0	0	0	0
grpo	2	16	98	128	0.7656	-0.151076	0.151076	11	0	0	0	0
grpo	3	16	104	128	0.8125	-0.120314	0.120314	12	0	0	0	0
grpo	4	16	98	128	0.7656	-0.156528	0.156528	11	0	0	0	0
grpo	5	16	98	128	0.7656	-0.149033	0.149033	11	0	0	0	0
grpo	6	16	110	128	0.8594	-0.091881	0.091881	13	0	0	0	0
grpo	7	16	98	128	0.7656	-0.145624	0.145624	11	0	0	0	0
grpo	8	16	86	128	0.6719	-0.211114	0.211114	9	0	0	0	0
grpo	9	16	98	128	0.7656	-0.152038	0.152038	11	0	0	0	0
grpo	10	16	98	128	0.7656	-0.152038	0.152038	11	0	0	0	0
grpo	11	16	98	128	0.7656	-0.149033	0.149033	11	0	0	0	0
grpo	12	16	110	128	0.8594	-0.097332	0.097332	13	0	0	0	0
grpo	13	16	86	128	0.6719	-0.2047	0.2047	9	0	0	0	0
grpo	14	16	104	128	0.8125	-0.118271	0.118271	12	0	0	0	0
grpo	15	16	104	128	0.8125	-0.121561	0.121561	12	0	0	0	0
grpo	16	16	92	128	0.7188	-0.188132	0.188132	10	0	0	0	0
grpo	17	16	80	128	0.625	-0.242956	0.242956	8	0	0	0	0
grpo	18	16	86	128	0.6719	-0.224346	0.224346	9	0	0	0	0
grpo	19	16	92	128	0.7188	-0.172857	0.172857	10	0	0	0	0
grpo	20	16	92	128	0.7188	-0.188251	0.188251	10	0	0	0	0
grpo	21	16	104	128	0.8125	-0.118152	0.118152	12	0	0	0	0
grpo	22	16	104	128	0.8125	-0.123604	0.123604	12	0	0	0	0
grpo	23	16	116	128	0.9062	-0.060157	0.060157	14	0	0	0	0
grpo	24	16	110	128	0.8594	-0.082058	0.082058	13	0	0	0	0
grpo	25	16	86	128	0.6719	-0.209071	0.209071	9	0	0	0	0
grpo	26	16	110	128	0.8594	-0.08751	0.08751	13	0	0	0	0
grpo	27	16	122	128	0.9531	-0.030762	0.030762	15	0	0	0	0
grpo	28	16	110	128	0.8594	-0.086429	0.086429	13	0	0	0	0
grpo	29	16	110	128	0.8594	-0.085467	0.085467	13	0	0	0	0
grpo	30	16	110	128	0.8594	-0.08751	0.08751	13	0	0	0	0
grpo	31	16	104	128	0.8125	-0.114862	0.114862	12	0	0	0	0
grpo	32	16	98	128	0.7656	-0.155447	0.155447	11	0	0	0	0
grpo	33	16	98	128	0.7656	-0.146586	0.146586	11	0	0	0	0
grpo	34	16	116	128	0.9062	-0.060157	0.060157	14	0	0	0	0
grpo	35	16	122	128	0.9531	-0.032804	0.032804	15	0	0	0	0
grpo	36	16	110	128	0.8594	-0.086429	0.086429	13	0	0	0	0
grpo	37	16	104	128	0.8125	-0.123723	0.123723	12	0	0	0	0
grpo	38	16	98	128	0.7656	-0.152038	0.152038	11	0	0	0	0
grpo	39	16	104	128	0.8125	-0.123604	0.123604	12	0	0	0	0
aero	0	16	98	128	0.7656	-0.141134	0.141134	11	0	0	0	0
aero	1	16	98	128	0.7656	-0.158737	0.158737	11	0	0	0	0
aero	2	16	110	128	0.8594	-0.082058	0.082058	13	0	0	0	0
aero	3	16	98	128	0.7656	-0.156409	0.156409	11	0	0	0	0
aero	4	16	104	128	0.8125	-0.12509	0.12509	12	0	0	0	0
aero	5	16	86	128	0.6719	-0.212195	0.212195	9	0	0	0	0
aero	6	16	104	128	0.8125	-0.130137	0.130137	12	0	0	0	0
aero	7	16	92	128	0.7188	-0.176266	0.176266	10	0	0	0	0
aero	8	16	98	128	0.7656	-0.157775	0.157775	11	0	0	0	0
aero	9	16	92	128	0.7188	-0.183761	0.183761	10	0	0	0	0
aero	10	16	104	128	0.8125	-0.125766	0.125766	12	0	0	0	0
aero	11	16	86	128	0.6719	-0.220094	0.220094	9	0	0	0	0
aero	12	16	98	128	0.7656	-0.156409	0.156409	11	0	0	0	0
aero	13	16	86	128	0.6719	-0.220379	0.220379	9	0	0	0	0
aero	14	16	104	128	0.8125	-0.116229	0.116229	12	0	0	0	0
aero	15	16	110	128	0.8594	-0.0908	0.0908	13	0	0	0	0
aero	16	16	86	128	0.6719	-0.212599	0.212599	9	0	0	0	0
aero	17	16	86	128	0.6719	-0.21248	0.21248	9	0	0	0	0
aero	18	16	92	128	0.7188	-0.181838	0.181838	10	0	0	0	0
aero	19	16	92	128	0.7188	-0.188251	0.188251	10	0	0	0	0
