method	step	zvf_step	is_sat_band	n_saturated	n_boundary	n_mid	g_baseline_sum	g_zvf70_sum	g_dual_sum	g_hybrid_sum	zvf_baseline_mean	zvf_zvf70_mean	zvf_dual_mean	zvf_hybrid_mean
grpo	0	0.6875	False	11	4	1	128	128	82	128	0.7797	0.7797	0.7525	0.7797
grpo	1	0.5	False	8	3	5	128	128	100	128	0.5784	0.5784	0.6168	0.5784
grpo	2	0.6875	False	11	2	3	128	128	84	128	0.7435	0.7435	0.7677	0.7435
grpo	3	0.75	False	12	2	2	128	256	84	256	0.8055	0.766	0.8302	0.766
grpo	4	0.6875	False	11	1	4	128	128	92	128	0.7282	0.7282	0.7137	0.7282
grpo	5	0.6875	False	11	2	3	128	128	122	128	0.7377	0.7377	0.7085	0.7377
grpo	6	0.8125	False	13	1	2	128	256	90	256	0.8417	0.8205	0.8498	0.8205
grpo	7	0.6875	False	11	3	2	128	128	110	128	0.7587	0.7587	0.7452	0.7587
grpo	8	0.5625	False	9	3	4	128	128	118	128	0.6424	0.6424	0.6152	0.6424
grpo	9	0.6875	False	11	2	3	128	128	74	128	0.7444	0.7444	0.7441	0.7444
grpo	10	0.6875	False	11	2	3	128	128	70	128	0.7444	0.7444	0.7677	0.7444
grpo	11	0.6875	False	11	2	3	128	128	112	128	0.7377	0.7377	0.7671	0.7377
grpo	12	0.8125	False	13	0	3	128	256	58	256	0.8265	0.8138	0.825	0.8138
grpo	13	0.5625	False	9	4	3	128	128	110	128	0.6566	0.6566	0.7098	0.6566
grpo	14	0.75	False	12	2	2	128	256	70	256	0.7997	0.7654	0.8296	0.7654
grpo	15	0.75	False	12	1	3	128	256	88	256	0.7749	0.7574	0.7574	0.7574
grpo	16	0.625	False	10	1	5	128	128	124	128	0.6634	0.6634	0.6686	0.6634
grpo	17	0.5	False	8	3	5	128	128	92	128	0.5852	0.5852	0.6231	0.5852
grpo	18	0.5625	False	9	0	7	128	128	148	128	0.5862	0.5862	0.5814	0.5862
grpo	19	0.625	False	10	4	2	128	128	94	128	0.7139	0.7139	0.7424	0.7139
grpo	20	0.625	False	10	1	5	128	128	96	128	0.6672	0.6672	0.6692	0.6672
grpo	21	0.75	False	12	2	2	128	256	78	256	0.7959	0.7648	0.8234	0.7648
grpo	22	0.75	False	12	1	3	128	256	80	256	0.7807	0.7581	0.7637	0.7581
grpo	23	0.875	False	14	1	1	128	256	62	256	0.9027	0.883	0.9123	0.883
grpo	24	0.8125	False	13	3	0	128	256	50	256	0.8769	0.8346	0.8932	0.8346
grpo	25	0.5625	False	9	3	4	128	128	106	128	0.6366	0.6366	0.6439	0.6366
grpo	26	0.8125	False	13	2	1	128	256	64	256	0.8617	0.8279	0.8864	0.8279
grpo	27	0.9375	True	15	0	1	128	256	46	64	0.938	0.9375	0.9375	0.9453
grpo	28	0.8125	False	13	2	1	128	256	64	256	0.8569	0.8273	0.8858	0.8273
grpo	29	0.8125	False	13	2	1	128	256	50	256	0.8559	0.8273	0.8858	0.8273
grpo	30	0.8125	False	13	2	1	128	256	50	256	0.8617	0.8279	0.8864	0.8279
grpo	31	0.75	False	12	3	1	128	256	56	256	0.8207	0.7728	0.8369	0.7728
grpo	32	0.6875	False	11	1	4	128	128	74	128	0.7235	0.7235	0.7367	0.7235
grpo	33	0.6875	False	11	3	2	128	128	72	128	0.7597	0.7597	0.8037	0.7597
grpo	34	0.875	False	14	1	1	128	256	60	256	0.9027	0.883	0.883	0.883
grpo	35	0.9375	True	15	0	1	128	256	66	64	0.9438	0.9381	0.9438	0.9575
grpo	36	0.8125	False	13	2	1	128	256	64	256	0.8569	0.8273	0.8858	0.8273
grpo	37	0.75	False	12	1	3	128	256	108	256	0.7845	0.7586	0.7643	0.7586
grpo	38	0.6875	False	11	2	3	128	128	92	128	0.7444	0.7444	0.7621	0.7444
grpo	39	0.75	False	12	1	3	128	256	94	256	0.7807	0.7581	0.7637	0.7581
aero	0	0.6875	False	11	4	1	128	128	92	128	0.7749	0.7749	0.7756	0.7749
aero	1	0.6875	False	11	0	5	128	128	108	128	0.6987	0.6987	0.6939	0.6987
aero	2	0.8125	False	13	3	0	128	256	64	256	0.8769	0.8346	0.8932	0.8346
aero	3	0.6875	False	11	1	4	128	128	110	128	0.7245	0.7245	0.7311	0.7245
aero	4	0.75	False	12	0	4	128	256	94	256	0.7577	0.7506	0.7563	0.7506
aero	5	0.5625	False	9	3	4	128	128	130	128	0.6472	0.6472	0.6271	0.6472
aero	6	0.75	False	12	0	4	128	256	108	256	0.7703	0.7519	0.7575	0.7519
aero	7	0.625	False	10	3	3	128	128	120	128	0.6929	0.6929	0.7058	0.6929
aero	8	0.6875	False	11	0	5	128	128	116	128	0.6977	0.6977	0.6882	0.6977
aero	9	0.625	False	10	2	4	128	128	84	128	0.6834	0.6834	0.7053	0.6834
aero	10	0.75	False	12	1	3	128	256	74	256	0.7902	0.7593	0.7998	0.7593
aero	11	0.5625	False	9	1	6	128	128	114	128	0.61	0.61	0.5837	0.61
aero	12	0.6875	False	11	1	4	128	128	82	128	0.7245	0.7245	0.7311	0.7245
aero	13	0.5625	False	9	0	7	128	128	136	128	0.5784	0.5784	0.5694	0.5784
aero	14	0.75	False	12	2	2	128	256	64	256	0.7939	0.7648	0.8233	0.7648
aero	15	0.8125	False	13	1	2	128	256	74	256	0.8369	0.8199	0.8199	0.8199
aero	16	0.5625	False	9	2	5	128	128	124	128	0.6194	0.6194	0.6134	0.6194
aero	17	0.5625	False	9	2	5	128	128	112	128	0.6156	0.6156	0.6421	0.6156
aero	18	0.625	False	10	2	4	128	128	118	128	0.6814	0.6814	0.7108	0.6814
aero	19	0.625	False	10	1	5	128	128	106	128	0.6672	0.6672	0.6512	0.6672
aero	20	0.625	False	10	3	3	128	128	92	128	0.6919	0.6919	0.7057	0.6919
aero	21	0.8125	False	13	2	1	128	256	62	256	0.8559	0.8273	0.8565	0.8273
aero	22	0.6875	False	11	4	1	128	128	66	128	0.7749	0.7749	0.8049	0.7749
aero	23	0.8125	False	13	1	2	128	256	68	256	0.8465	0.8211	0.856	0.8211
aero	24	0.8125	False	13	3	0	128	256	50	256	0.8769	0.8346	0.8932	0.8346
