controller	tau	metric	point	ci_lo	ci_hi	excludes_zero	seed_cv
zvf_triage	0.5	savings	-0.84	-0.9199999999999999	-0.7466666666666667	True	0.060627538154643154
zvf_triage	0.55	savings	-0.6	-0.6666666666666666	-0.5066666666666666	True	0.07216878364870322
zvf_triage	0.6	savings	-0.6	-0.6666666666666666	-0.5066666666666666	True	0.07216878364870322
zvf_triage	0.65	savings	-0.28	-0.36	-0.2	True	0.07725206757391316
zvf_triage	0.7	savings	-0.28	-0.36	-0.2	True	0.07725206757391316
zvf_triage	0.75	savings	-0.28	-0.36	-0.2	True	0.07725206757391316
zvf_triage	0.8	savings	-0.04	-0.09333333333333334	0.0	False	0.057335076346148456
zvf_triage	0.85	savings	-0.04	-0.09333333333333334	0.0	False	0.057335076346148456
zvf_triage	0.9	savings	0.0	0.0	0.0	False	0.0
zvf_triage	0.95	savings	0.0	0.0	0.0	False	0.0
dualformer_auto	0.5	savings	0.42	0.37333333333333335	0.45999999999999996	True	0.09616781914184777
dualformer_auto	0.55	savings	0.3	0.2533333333333333	0.3333333333333333	True	0.08247860988423225
dualformer_auto	0.6	savings	0.3	0.2533333333333333	0.3333333333333333	True	0.08247860988423225
dualformer_auto	0.65	savings	0.14	0.1	0.18	True	0.057489910752679556
dualformer_auto	0.7	savings	0.14	0.1	0.18	True	0.057489910752679556
dualformer_auto	0.75	savings	0.14	0.1	0.18	True	0.057489910752679556
dualformer_auto	0.8	savings	0.02	0.0	0.04666666666666667	False	0.03042269357142571
dualformer_auto	0.85	savings	0.02	0.0	0.04666666666666667	False	0.03042269357142571
dualformer_auto	0.9	savings	0.0	0.0	0.0	False	0.0
dualformer_auto	0.95	savings	0.0	0.0	0.0	False	0.0
hybrid	0.5	savings	0.060000000000000005	-0.013333333333333332	0.14	False	0.1015448302360025
hybrid	0.55	savings	-0.18	-0.23333333333333334	-0.12	True	0.06188955452035775
hybrid	0.6	savings	-0.18	-0.23333333333333334	-0.12	True	0.06188955452035775
hybrid	0.65	savings	0.14	0.1	0.18	True	0.057489910752679556
hybrid	0.7	savings	-0.22	-0.27999999999999997	-0.16	True	0.06580106327208905
hybrid	0.75	savings	-0.22	-0.27999999999999997	-0.16	True	0.06580106327208905
hybrid	0.8	savings	-0.04	-0.09333333333333334	0.0	False	0.057335076346148456
hybrid	0.85	savings	-0.04	-0.09333333333333334	0.0	False	0.057335076346148456
hybrid	0.9	savings	0.0	0.0	0.0	False	0.0
hybrid	0.95	savings	0.0	0.0	0.0	False	0.0
