tau_esc	tau_des	delta	mean_savings_n10	savings_ci_lo	savings_ci_hi	seed_cv_total_G	mean_headroom_bad
0.5	0.55	0.05	0.06	-0.0133	0.14	0.0908	0.0
0.5	0.6	0.1	0.06	-0.0133	0.14	0.0908	0.0
0.5	0.65	0.15	-0.42	-0.4933	-0.34	0.0623	0.0
0.5	0.7	0.2	-0.42	-0.4933	-0.34	0.0623	0.0
0.5	0.75	0.25	-0.42	-0.4933	-0.34	0.0623	0.0
0.55	0.6	0.05	0.3	0.2467	0.3333	0.0738	0.0
0.55	0.65	0.1	-0.18	-0.2333	-0.12	0.0554	0.0
0.55	0.7	0.15	-0.18	-0.2333	-0.1133	0.0554	0.0
0.55	0.75	0.2	-0.18	-0.2333	-0.12	0.0554	0.0
0.55	0.8	0.25	-0.54	-0.6133	-0.46	0.0618	0.0
0.6	0.65	0.05	-0.18	-0.2333	-0.12	0.0554	0.0
0.6	0.7	0.1	-0.18	-0.2333	-0.12	0.0554	0.0
0.6	0.75	0.15	-0.18	-0.2333	-0.12	0.0554	0.0
0.6	0.8	0.2	-0.54	-0.62	-0.46	0.0618	0.0
0.6	0.85	0.25	-0.54	-0.6267	-0.4533	0.0618	0.0
0.65	0.7	0.05	0.14	0.1	0.1733	0.0514	0.0
0.65	0.75	0.1	0.14	0.1	0.1733	0.0514	0.0
0.65	0.8	0.15	-0.22	-0.28	-0.16	0.0589	0.0
0.65	0.85	0.2	-0.22	-0.28	-0.16	0.0589	0.0
0.65	0.9	0.25	-0.28	-0.36	-0.2	0.0691	0.0
0.7	0.75	0.05	0.14	0.0933	0.1733	0.0514	0.0
0.7	0.8	0.1	-0.22	-0.28	-0.16	0.0589	0.0
0.7	0.85	0.15	-0.22	-0.28	-0.16	0.0589	0.0
0.7	0.9	0.2	-0.28	-0.36	-0.2	0.0691	0.0
0.7	0.95	0.25	-0.28	-0.3467	-0.2	0.0691	0.0
0.75	0.8	0.05	-0.22	-0.28	-0.16	0.0589	0.0
0.75	0.85	0.1	-0.22	-0.28	-0.16	0.0589	0.0
0.75	0.9	0.15	-0.28	-0.36	-0.2	0.0691	0.0
0.75	0.95	0.2	-0.28	-0.3467	-0.2	0.0691	0.0
0.75	1.0	0.25	-0.28	-0.3467	-0.2	0.0691	0.0
0.8	0.85	0.05	0.02	0.0	0.0467	0.0272	0.0
0.8	0.9	0.1	-0.04	-0.0933	0.0	0.0513	0.0
0.8	0.95	0.15	-0.04	-0.0933	0.0	0.0513	0.0
0.8	1.0	0.2	-0.04	-0.0933	0.0	0.0513	0.0
0.85	0.9	0.05	-0.04	-0.0933	0.0	0.0513	0.0
0.85	0.95	0.1	-0.04	-0.0933	0.0	0.0513	0.0
0.85	1.0	0.15	-0.04	-0.0933	0.0	0.0513	0.0
