C_inv	L	delta_24_vs_20_mean	delta_24_vs_20_ci025	delta_24_vs_20_ci975	ci_excl_zero_24_vs_20	sensor_pays_off_24_vs_20	delta_24_vs_4s_mean	delta_24_vs_4s_ci025	delta_24_vs_4s_ci975	ci_excl_zero_24_vs_4s
0.1	5.0	0.0039915	0.0035	0.00497	True	False	-0.0004817	-0.00147	0.0	False
0.1	25.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
0.1	100.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
0.1	250.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
0.1	1000.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
0.5	5.0	0.0044635	0.0026	0.00665	True	False	-0.0059162	-0.00945	-0.00315	True
0.5	25.0	0.0059574	0.0035	0.01085	True	False	-0.0024084	-0.00735	0.0	False
0.5	100.0	0.0132809	0.0035	0.03335	True	False	0.0	0.0	0.0	False
0.5	250.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
0.5	1000.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
1.0	5.0	0.0059544	0.0035	0.0087	True	False	-0.0104436	-0.0148	-0.0068	True
1.0	25.0	0.0035384	-0.0037	0.0107	False	False	-0.009492	-0.0192	-0.0024	True
1.0	100.0	0.0231614	0.0035	0.053	True	False	0.0	0.0	0.0	False
1.0	250.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
1.0	1000.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
2.5	5.0	0.0047478	0.003	0.0065	True	False	-0.0115447	-0.015	-0.00825	True
2.5	25.0	0.0083173	-0.001	0.01925	False	False	-0.0295807	-0.04725	-0.01575	True
2.5	100.0	0.0039583	-0.02575	0.03275	False	False	-0.0189052	-0.04875	0.0	False
2.5	250.0	0.0526535	0.0035	0.12725	True	False	0.0	0.0	0.0	False
2.5	1000.0	0.0035	0.0035	0.0035	True	False	0.0	0.0	0.0	False
5.0	5.0	0.003015	0.002	0.0035	True	False	0.0	0.0	0.0	False
5.0	25.0	0.015772	0.0035	0.0295	True	False	-0.052218	-0.074	-0.034	True
5.0	100.0	0.0130855	-0.0155	0.0415	False	False	-0.0375725	-0.076	-0.0095	True
5.0	250.0	0.0280735	0.0035	0.077	True	False	-0.0240835	-0.0735	0.0	False
5.0	1000.0	0.1013085	0.0035	0.302	True	False	0.0	0.0	0.0	False
