sigma	k_pct	tree_a	tree_b	delta_gap	gap_lo	gap_hi	excl_zero_gap	delta_brier	brier_lo	brier_hi	excl_zero_brier
0.000000	0.500000	24full	20raw	-0.016450	-0.034187	-0.001121	True	0.006467	0.000949	0.015468	True
0.000000	0.500000	24full	4sensor	0.186432	0.037896	0.334460	True	-0.303767	-0.397028	-0.204356	True
0.000000	1.000000	24full	20raw	-0.013914	-0.034158	0.009755	False	0.003601	-0.017066	0.018655	False
0.000000	1.000000	24full	4sensor	-0.005209	-0.140273	0.116239	False	-0.193411	-0.280916	-0.090472	True
0.000000	2.000000	24full	20raw	0.007872	-0.009609	0.028969	False	-0.015025	-0.033806	0.002709	False
0.000000	2.000000	24full	4sensor	-0.044518	-0.101729	0.012049	False	-0.082793	-0.131716	-0.031603	True
0.000000	5.000000	24full	20raw	0.000295	-0.007537	0.007506	False	-0.003093	-0.010637	0.004213	False
0.000000	5.000000	24full	4sensor	0.029173	0.007294	0.051066	True	-0.081904	-0.104204	-0.058052	True
0.050000	0.500000	24full	20raw	-0.023171	-0.046136	-0.006679	True	0.009053	0.001896	0.019473	True
0.050000	0.500000	24full	4sensor	-0.105170	-0.227465	0.009545	False	-0.106023	-0.181573	-0.039845	True
0.050000	1.000000	24full	20raw	-0.020041	-0.044687	0.014527	False	0.015750	-0.001707	0.032432	False
0.050000	1.000000	24full	4sensor	-0.249935	-0.337534	-0.163425	True	-0.001945	-0.068163	0.064470	False
0.050000	2.000000	24full	20raw	0.001222	-0.019176	0.023150	False	0.001562	-0.019150	0.019512	False
0.050000	2.000000	24full	4sensor	-0.247466	-0.313021	-0.185797	True	0.091229	0.044920	0.139796	True
0.050000	5.000000	24full	20raw	-0.003732	-0.010626	0.002307	False	0.004596	-0.002387	0.011402	False
0.050000	5.000000	24full	4sensor	-0.075181	-0.099973	-0.048795	True	0.008725	-0.013788	0.030263	False
0.100000	0.500000	24full	20raw	-0.034806	-0.054841	-0.014037	True	0.014319	0.005695	0.024279	True
0.100000	0.500000	24full	4sensor	-0.132004	-0.250831	-0.006084	True	-0.093506	-0.175850	-0.018503	True
0.100000	1.000000	24full	20raw	-0.033248	-0.060874	-0.000012	True	0.028184	0.010947	0.047214	True
0.100000	1.000000	24full	4sensor	-0.303901	-0.395940	-0.212541	True	0.042583	-0.027338	0.126374	False
0.100000	2.000000	24full	20raw	-0.006432	-0.026513	0.021916	False	0.009439	-0.014322	0.026776	False
0.100000	2.000000	24full	4sensor	-0.272540	-0.330197	-0.210200	True	0.113265	0.071226	0.156367	True
0.100000	5.000000	24full	20raw	-0.009650	-0.016433	-0.002458	True	0.010726	0.004000	0.018083	True
0.100000	5.000000	24full	4sensor	-0.096363	-0.121375	-0.069842	True	0.028153	0.007513	0.048180	True
0.200000	0.500000	24full	20raw	-0.044342	-0.077370	-0.019529	True	0.019552	0.005534	0.038231	True
0.200000	0.500000	24full	4sensor	-0.231635	-0.322697	-0.140021	True	-0.017811	-0.076402	0.034239	False
0.200000	1.000000	24full	20raw	-0.063030	-0.098553	-0.025408	True	0.058616	0.035219	0.084795	True
0.200000	1.000000	24full	4sensor	-0.357001	-0.452963	-0.260243	True	0.093633	0.013257	0.178946	True
0.200000	2.000000	24full	20raw	-0.036099	-0.060373	-0.006824	True	0.044060	0.017073	0.068550	True
0.200000	2.000000	24full	4sensor	-0.339707	-0.405139	-0.275798	True	0.181655	0.133374	0.229004	True
0.200000	5.000000	24full	20raw	-0.021979	-0.030638	-0.013907	True	0.024806	0.016929	0.033666	True
0.200000	5.000000	24full	4sensor	-0.137940	-0.165826	-0.109281	True	0.068548	0.048740	0.089826	True
0.500000	0.500000	24full	20raw	-0.086564	-0.142200	-0.042755	True	0.043771	0.014053	0.089550	True
0.500000	0.500000	24full	4sensor	-0.293491	-0.410677	-0.188220	True	-0.009683	-0.078567	0.067982	False
0.500000	1.000000	24full	20raw	-0.129637	-0.174818	-0.079065	True	0.129253	0.094542	0.164812	True
0.500000	1.000000	24full	4sensor	-0.452654	-0.525876	-0.365033	True	0.164517	0.081740	0.235094	True
0.500000	2.000000	24full	20raw	-0.065977	-0.102547	-0.024874	True	0.081850	0.047438	0.117935	True
0.500000	2.000000	24full	4sensor	-0.376938	-0.442980	-0.315959	True	0.208996	0.162927	0.260786	True
0.500000	5.000000	24full	20raw	-0.038560	-0.050143	-0.025339	True	0.043600	0.031638	0.055354	True
0.500000	5.000000	24full	4sensor	-0.159063	-0.187217	-0.130793	True	0.083152	0.059684	0.104406	True
1.000000	0.500000	24full	20raw	-0.148482	-0.220772	-0.074746	True	0.095743	0.054296	0.148595	True
1.000000	0.500000	24full	4sensor	-0.399122	-0.513502	-0.280582	True	0.062795	-0.008730	0.137654	False
1.000000	1.000000	24full	20raw	-0.159551	-0.225043	-0.073666	True	0.171441	0.122978	0.217876	True
1.000000	1.000000	24full	4sensor	-0.510651	-0.589692	-0.429969	True	0.218307	0.147042	0.283608	True
1.000000	2.000000	24full	20raw	-0.063735	-0.107416	-0.020927	True	0.087839	0.048470	0.123976	True
1.000000	2.000000	24full	4sensor	-0.408592	-0.466529	-0.338594	True	0.234690	0.185807	0.280911	True
1.000000	5.000000	24full	20raw	-0.051166	-0.067508	-0.035320	True	0.056158	0.040900	0.072521	True
1.000000	5.000000	24full	4sensor	-0.185682	-0.217986	-0.152574	True	0.103982	0.076260	0.131735	True
