model	C_inv	L	rho	tau_star	tp_at_tau_star	cost_per_dec_usd	cost_per_caught_usd
XGB-20raw	0.1	5.0	50.0	0.03727451711893082	142	0.00461	0.3246478873239437
XGB-24full	0.1	5.0	50.0	0.05550694838166237	141	0.007560000000000001	0.5361702127659574
XGB-4sensor	0.1	5.0	50.0	0.024460962042212486	125	0.02709	2.1672
XGB-20raw	0.1	25.0	250.0	0.03727451711893082	142	0.00861	0.606338028169014
XGB-24full	0.1	25.0	250.0	0.05550694838166237	141	0.01356	0.9617021276595744
XGB-4sensor	0.1	25.0	250.0	0.01649005524814129	138	0.046990000000000004	3.405072463768116
XGB-20raw	0.1	100.0	1000.0	0.012312019243836403	144	0.013890000000000001	0.9645833333333333
XGB-24full	0.1	100.0	1000.0	0.013741803355515003	144	0.015090000000000001	1.0479166666666666
XGB-4sensor	0.1	100.0	1000.0	0.010923336260020733	143	0.06093	4.2608391608391605
XGB-20raw	0.1	250.0	2500.0	0.012312019243836403	144	0.013890000000000001	0.9645833333333333
XGB-24full	0.1	250.0	2500.0	0.013741803355515003	144	0.015090000000000001	1.0479166666666666
XGB-4sensor	0.1	250.0	2500.0	0.007970549166202545	144	0.06494000000000001	4.509722222222223
XGB-20raw	0.1	1000.0	10000.0	0.012312019243836403	144	0.013890000000000001	0.9645833333333333
XGB-24full	0.1	1000.0	10000.0	0.013741803355515003	144	0.015090000000000001	1.0479166666666666
XGB-4sensor	0.1	1000.0	10000.0	0.007970549166202545	144	0.06494000000000001	4.509722222222223
XGB-20raw	0.5	5.0	10.0	0.0826466977596283	130	0.01585	1.2192307692307693
XGB-24full	0.5	5.0	10.0	0.0955514907836914	134	0.01705	1.2723880597014925
XGB-4sensor	0.5	5.0	10.0	0.05233317241072655	70	0.053500000000000006	7.642857142857143
XGB-20raw	0.5	25.0	50.0	0.03727451711893082	142	0.02305	1.6232394366197183
XGB-24full	0.5	25.0	50.0	0.05550694838166237	141	0.023799999999999998	1.6879432624113475
XGB-4sensor	0.5	25.0	50.0	0.024460962042212486	125	0.12145	9.716
XGB-20raw	0.5	100.0	200.0	0.03727451711893082	142	0.03805	2.6795774647887325
XGB-24full	0.5	100.0	200.0	0.05550694838166237	141	0.0463	3.2836879432624113
XGB-4sensor	0.5	100.0	200.0	0.01649005524814129	138	0.20595	14.923913043478262
XGB-20raw	0.5	250.0	500.0	0.02095082215964794	143	0.0613	4.286713286713287
XGB-24full	0.5	250.0	500.0	0.013741803355515003	144	0.061450000000000005	4.267361111111111
XGB-4sensor	0.5	250.0	500.0	0.01388558279722929	141	0.2613	18.53191489361702
XGB-20raw	0.5	1000.0	2000.0	0.012312019243836403	144	0.06945	4.822916666666667
XGB-24full	0.5	1000.0	2000.0	0.013741803355515003	144	0.061450000000000005	4.267361111111111
XGB-4sensor	0.5	1000.0	2000.0	0.007970549166202545	144	0.3107	21.57638888888889
XGB-20raw	1.0	5.0	5.0	0.0826466977596283	130	0.0247	1.9
XGB-24full	1.0	5.0	5.0	0.10578137636184692	132	0.0255	1.9318181818181819
XGB-4sensor	1.0	5.0	5.0	0.05336644873023033	69	0.06620000000000001	9.594202898550725
XGB-20raw	1.0	25.0	25.0	0.04438880458474159	140	0.0398	2.842857142857143
XGB-24full	1.0	25.0	25.0	0.05550694838166237	141	0.0366	2.595744680851064
XGB-4sensor	1.0	25.0	25.0	0.03625835105776787	99	0.1769	17.86868686868687
XGB-20raw	1.0	100.0	100.0	0.03727451711893082	142	0.0561	3.9507042253521125
XGB-24full	1.0	100.0	100.0	0.05550694838166237	141	0.0591	4.191489361702128
XGB-4sensor	1.0	100.0	100.0	0.01903435029089451	135	0.3209	23.77037037037037
