cohort	cohort_label	stratum	tree	method	n_stratum	pos_stratum	ece_raw	ece_cal	delta_ece	brier_raw	brier_cal	delta_brier	calib_gap_cal	recall_k2pct_raw	recall_k2pct_cal	delta_recall_k2pct
v_mean	V_mean quintile	0	XGB-20raw	isotonic	2000	16	0.06977	1e-05	-0.06977	0.01556	0.00794	-0.00763	-1e-05	0.6875	0.0625	-0.625
v_mean	V_mean quintile	1	XGB-20raw	isotonic	2000	34	0.09872	0.0	-0.09872	0.02706	0.01672	-0.01034	0.0	0.70588	0.02941	-0.67647
v_mean	V_mean quintile	2	XGB-20raw	isotonic	2000	30	0.11488	0.0	-0.11488	0.03348	0.01477	-0.01872	0.0	0.46667	0.03333	-0.43333
v_mean	V_mean quintile	3	XGB-20raw	isotonic	2000	43	0.11023	0.0	-0.11023	0.03295	0.02103	-0.01192	0.0	0.51163	0.04651	-0.46512
v_mean	V_mean quintile	4	XGB-20raw	isotonic	2000	21	0.09371	0.0	-0.09371	0.01922	0.01039	-0.00884	0.0	0.95238	0.04762	-0.90476
v_mean	V_mean quintile	0	XGB-20raw	rate	2000	16	0.06977	0.00034	-0.06944	0.01556	0.00808	-0.00748	-0.00013	0.6875	0.0	-0.6875
v_mean	V_mean quintile	1	XGB-20raw	rate	2000	34	0.09872	0.00196	-0.09676	0.02706	0.0171	-0.00996	-5e-05	0.70588	0.02941	-0.67647
v_mean	V_mean quintile	2	XGB-20raw	rate	2000	30	0.11488	0.00023	-0.11464	0.03348	0.01492	-0.01856	-1e-05	0.46667	0.03333	-0.43333
v_mean	V_mean quintile	3	XGB-20raw	rate	2000	43	0.11023	0.00343	-0.10679	0.03295	0.02168	-0.01127	-0.0001	0.51163	0.02326	-0.48837
v_mean	V_mean quintile	4	XGB-20raw	rate	2000	21	0.09371	2e-05	-0.09369	0.01922	0.01048	-0.00874	-2e-05	0.95238	0.04762	-0.90476
v_mean	V_mean quintile	0	XGB-20raw	stacked	2000	16	0.06977	0.00595	-0.06382	0.01556	0.00797	-0.00759	0.00595	0.6875	0.0	-0.6875
v_mean	V_mean quintile	1	XGB-20raw	stacked	2000	34	0.09872	0.00312	-0.0956	0.02706	0.01674	-0.01032	-0.00312	0.70588	0.02941	-0.67647
v_mean	V_mean quintile	2	XGB-20raw	stacked	2000	30	0.11488	0.00117	-0.11371	0.03348	0.01479	-0.01869	-0.00117	0.46667	0.0	-0.46667
v_mean	V_mean quintile	3	XGB-20raw	stacked	2000	43	0.11023	0.00775	-0.10248	0.03295	0.02112	-0.01183	-0.00775	0.51163	0.0	-0.51163
v_mean	V_mean quintile	4	XGB-20raw	stacked	2000	21	0.09371	0.00338	-0.09033	0.01922	0.0104	-0.00882	0.00338	0.95238	0.0	-0.95238
v_mean	V_mean quintile	0	XGB-24full	isotonic	2000	16	0.0722	0.0	-0.0722	0.01418	0.00794	-0.00624	0.0	1.0	0.0	-1.0
v_mean	V_mean quintile	1	XGB-24full	isotonic	2000	34	0.11799	0.0	-0.11799	0.03073	0.01671	-0.01402	0.0	0.91176	0.02941	-0.88235
v_mean	V_mean quintile	2	XGB-24full	isotonic	2000	30	0.15667	0.0	-0.15667	0.04714	0.01477	-0.03237	0.0	0.83333	0.03333	-0.8
v_mean	V_mean quintile	3	XGB-24full	isotonic	2000	43	0.15036	0.0	-0.15036	0.04342	0.02103	-0.02238	0.0	0.7907	0.04651	-0.74419
v_mean	V_mean quintile	4	XGB-24full	isotonic	2000	21	0.08941	0.0	-0.08941	0.02026	0.0104	-0.00987	0.0	1.0	0.0	-1.0
v_mean	V_mean quintile	0	XGB-24full	rate	2000	16	0.0722	3e-05	-0.07217	0.01418	0.00804	-0.00614	3e-05	1.0	0.0	-1.0
v_mean	V_mean quintile	1	XGB-24full	rate	2000	34	0.11799	0.00367	-0.11432	0.03073	0.01732	-0.01341	-6e-05	0.91176	0.0	-0.91176
v_mean	V_mean quintile	2	XGB-24full	rate	2000	30	0.15667	4e-05	-0.15663	0.04714	0.01489	-0.03225	-4e-05	0.83333	0.06667	-0.76667
v_mean	V_mean quintile	3	XGB-24full	rate	2000	43	0.15036	0.00437	-0.14599	0.04342	0.02163	-0.02179	-1e-05	0.7907	0.0	-0.7907
v_mean	V_mean quintile	4	XGB-24full	rate	2000	21	0.08941	0.0005	-0.08891	0.02026	0.01058	-0.00969	-9e-05	1.0	0.0	-1.0
v_mean	V_mean quintile	0	XGB-24full	stacked	2000	16	0.0722	0.00526	-0.06695	0.01418	0.00798	-0.0062	0.00526	1.0	0.0	-1.0
v_mean	V_mean quintile	1	XGB-24full	stacked	2000	34	0.11799	0.00367	-0.11432	0.03073	0.01674	-0.01399	-0.00367	0.91176	0.02941	-0.88235
v_mean	V_mean quintile	2	XGB-24full	stacked	2000	30	0.15667	0.00168	-0.15499	0.04714	0.01476	-0.03238	-0.00168	0.83333	0.0	-0.83333
v_mean	V_mean quintile	3	XGB-24full	stacked	2000	43	0.15036	0.00823	-0.14213	0.04342	0.02111	-0.02231	-0.00823	0.7907	0.0	-0.7907
v_mean	V_mean quintile	4	XGB-24full	stacked	2000	21	0.08941	0.00279	-0.08662	0.02026	0.0104	-0.00986	0.00279	1.0	0.0	-1.0
amount	Amount quintile	0	XGB-20raw	isotonic	2000	27	0.17643	0.0	-0.17643	0.05426	0.01332	-0.04094	0.0	0.51852	0.0	-0.51852
amount	Amount quintile	1	XGB-20raw	isotonic	2000	34	0.11778	0.0	-0.11778	0.0296	0.01671	-0.01289	0.0	0.67647	0.02941	-0.64706
amount	Amount quintile	2	XGB-20raw	isotonic	2000	22	0.09248	0.0	-0.09248	0.02207	0.01087	-0.0112	0.0	0.59091	0.04545	-0.54545
amount	Amount quintile	3	XGB-20raw	isotonic	2000	30	0.06314	0.0	-0.06314	0.01418	0.01477	0.00058	0.0	0.83333	0.03333	-0.8
amount	Amount quintile	4	XGB-20raw	isotonic	2000	31	0.0421	0.0	-0.0421	0.00817	0.01527	0.0071	0.0	0.93548	0.0	-0.93548
amount	Amount quintile	0	XGB-20raw	rate	2000	27	0.17643	1e-05	-0.17643	0.05426	0.01346	-0.04079	-1e-05	0.51852	0.0	-0.51852
amount	Amount quintile	1	XGB-20raw	rate	2000	34	0.11778	0.00037	-0.11741	0.0296	0.01691	-0.01269	-2e-05	0.67647	0.0	-0.67647
amount	Amount quintile	2	XGB-20raw	rate	2000	22	0.09248	0.00021	-0.09226	0.02207	0.01102	-0.01105	-1e-05	0.59091	0.0	-0.59091
amount	Amount quintile	3	XGB-20raw	rate	2000	30	0.06314	0.00326	-0.05989	0.01418	0.01528	0.0011	-2e-05	0.83333	0.0	-0.83333
amount	Amount quintile	4	XGB-20raw	rate	2000	31	0.0421	0.00694	-0.03516	0.00817	0.01619	0.00802	-1e-05	0.93548	0.0	-0.93548
amount	Amount quintile	0	XGB-20raw	stacked	2000	27	0.17643	0.00054	-0.17589	0.05426	0.01332	-0.04093	-0.00054	0.51852	0.0	-0.51852
amount	Amount quintile	1	XGB-20raw	stacked	2000	34	0.11778	0.00392	-0.11385	0.0296	0.01677	-0.01283	-0.00392	0.67647	0.0	-0.67647
amount	Amount quintile	2	XGB-20raw	stacked	2000	22	0.09248	0.00193	-0.09054	0.02207	0.01093	-0.01114	0.00193	0.59091	0.0	-0.59091
amount	Amount quintile	3	XGB-20raw	stacked	2000	30	0.06314	0.00214	-0.061	0.01418	0.01484	0.00065	-0.00214	0.83333	0.0	-0.83333
amount	Amount quintile	4	XGB-20raw	stacked	2000	31	0.0421	0.0026	-0.03951	0.00817	0.01525	0.00708	-0.0026	0.93548	0.03226	-0.90323
amount	Amount quintile	0	XGB-24full	isotonic	2000	27	0.15258	1e-05	-0.15257	0.04397	0.01332	-0.03065	-1e-05	0.92593	0.07407	-0.85185
amount	Amount quintile	1	XGB-24full	isotonic	2000	34	0.13595	0.0	-0.13595	0.03673	0.0167	-0.02002	0.0	0.85294	0.0	-0.85294
amount	Amount quintile	2	XGB-24full	isotonic	2000	22	0.11948	0.0	-0.11948	0.03167	0.01088	-0.02079	0.0	0.95455	0.0	-0.95455
amount	Amount quintile	3	XGB-24full	isotonic	2000	30	0.10295	0.0	-0.10295	0.02634	0.01477	-0.01157	0.0	0.96667	0.03333	-0.93333
amount	Amount quintile	4	XGB-24full	isotonic	2000	31	0.07528	0.0	-0.07528	0.01702	0.01528	-0.00174	0.0	1.0	0.0	-1.0
amount	Amount quintile	0	XGB-24full	rate	2000	27	0.15258	5e-05	-0.15253	0.04397	0.0135	-0.03047	-5e-05	0.92593	0.0	-0.92593
amount	Amount quintile	1	XGB-24full	rate	2000	34	0.13595	0.00052	-0.13543	0.03673	0.01714	-0.01958	-2e-05	0.85294	0.02941	-0.82353
amount	Amount quintile	2	XGB-24full	rate	2000	22	0.11948	0.0	-0.11948	0.03167	0.01118	-0.02049	0.0	0.95455	0.0	-0.95455
amount	Amount quintile	3	XGB-24full	rate	2000	30	0.10295	0.00216	-0.10079	0.02634	0.01511	-0.01124	-5e-05	0.96667	0.03333	-0.93333
amount	Amount quintile	4	XGB-24full	rate	2000	31	0.07528	0.00625	-0.06904	0.01702	0.01594	-0.00108	1e-05	1.0	0.03226	-0.96774
amount	Amount quintile	0	XGB-24full	stacked	2000	27	0.15258	0.00029	-0.1523	0.04397	0.01332	-0.03065	0.00029	0.92593	0.0	-0.92593
