rate	tree	pair	cpd_delta	cpd_ci_lo	cpd_ci_hi	cpd_excl_zero	cpf_delta	cpf_ci_lo	cpf_ci_hi	cpf_excl_zero	n_pos
0.0144	XGB-20raw	gradient_band_vs_absolute_band	4.986000000000001e-06	3.780000000000008e-06	6.029999999999995e-06	True	0.00035551518684771844	0.00026092307692307754	0.00046030534351144964	True	144
0.0144	XGB-20raw	gradient_band_vs_xgb_only	6.886889999999994e-06	5.939999999999987e-06	7.829999999999998e-06	True	0.0004900638370952573	0.0004139916149068318	0.0005786232718894006	True	144
0.0144	XGB-20raw	absolute_band_vs_xgb_only	1.9008899999999932e-06	1.170000000000004e-06	2.7900000000000055e-06	True	0.00013454865024753882	8.934596943362287e-05	0.00019161548005344536	True	144
0.0144	XGB-24full	gradient_band_vs_absolute_band	4.971240000000001e-06	3.867749999999989e-06	6.120000000000016e-06	True	0.0003506887103706551	0.00025530130179171416	0.00045404578684109476	True	144
0.0144	XGB-24full	gradient_band_vs_xgb_only	6.958079999999995e-06	6.027749999999995e-06	7.919999999999992e-06	True	0.0004899283033619193	0.0004180593317972348	0.0005734443112467298	True	144
0.0144	XGB-24full	absolute_band_vs_xgb_only	1.9868399999999937e-06	1.170000000000004e-06	2.879999999999986e-06	True	0.0001392395929912642	8.99999999999998e-05	0.0001967321531000679	True	144
0.0144	XGB-4sensor	gradient_band_vs_absolute_band	8.007030000000005e-06	7.110000000000018e-06	8.820000000000014e-06	True	0.0010363320987939102	0.0008424376375641969	0.0012937926136363635	True	144
0.0144	XGB-4sensor	gradient_band_vs_xgb_only	8.097479999999995e-06	7.199999999999999e-06	8.909999999999994e-06	True	0.0010479104951921032	0.0008520882043488436	0.001309090909090909	True	144
0.0144	XGB-4sensor	absolute_band_vs_xgb_only	9.044999999999134e-08	0.0	2.6999999999998217e-07	False	1.1578396398192753e-05	0.0	3.802816901408296e-05	False	144
0.01	XGB-20raw	gradient_band_vs_absolute_band	5.912193652069104e-06	4.791080755323437e-06	7.051024507834453e-06	True	0.0005948421427450796	0.0004535099999999985	0.000761558823529413	True	100
0.01	XGB-20raw	gradient_band_vs_xgb_only	7.178846926476495e-06	6.237444756930505e-06	8.135797509039767e-06	True	0.0007212408861378594	0.0006055401052536061	0.0008780553923009117	True	100
0.01	XGB-20raw	absolute_band_vs_xgb_only	1.2666532744073921e-06	7.209220570510359e-07	1.8983527521092758e-06	True	0.0001263987433927798	6.981266578249381e-05	0.00018993327773144162	True	100
0.01	XGB-24full	gradient_band_vs_absolute_band	6.144244676576939e-06	5.152671755725204e-06	7.141422257934922e-06	True	0.0006240290945498885	0.0004852771493212676	0.0008035714285714278	True	100
0.01	XGB-24full	gradient_band_vs_xgb_only	7.231368019284853e-06	6.418240257131388e-06	8.135797509039767e-06	True	0.0007335274871500484	0.0006098900097228984	0.0008999999999999998	True	100
0.01	XGB-24full	absolute_band_vs_xgb_only	1.0871233427079147e-06	5.423865006026638e-07	1.7175572519083788e-06	True	0.00010949839260015981	5.525912996777512e-05	0.00016930955154338738	True	100
0.01	XGB-4sensor	gradient_band_vs_absolute_band	8.27220771394134e-06	7.412615508236247e-06	9.130172760144639e-06	True	0.001509773248953631	0.0011952771855010663	0.0019566086956521755	True	100
0.01	XGB-4sensor	gradient_band_vs_xgb_only	8.27220771394134e-06	7.412615508236247e-06	9.130172760144639e-06	True	0.001509773248953631	0.0011952771855010663	0.0019566086956521755	True	100
0.01	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0	0.0	False	0.0	0.0	0.0	False	100
0.005	XGB-20raw	gradient_band_vs_absolute_band	7.239158086008481e-06	6.26892792247123e-06	8.176862507571167e-06	True	0.0014596745542879382	0.0010766517857142856	0.0020078289473684243	True	50
0.005	XGB-20raw	gradient_band_vs_xgb_only	7.877498485766202e-06	7.084342822531793e-06	8.631132646880682e-06	True	0.001585784808501836	0.001209261592741936	0.0021154144736842055	True	50
0.005	XGB-20raw	absolute_band_vs_xgb_only	6.383403997577198e-07	1.8170805572381124e-07	1.1811023622047189e-06	True	0.00012611025421389765	4.090909090909145e-05	0.00022509533898305368	True	50
0.005	XGB-24full	gradient_band_vs_absolute_band	7.625287704421563e-06	6.632344033918839e-06	8.54027861901879e-06	True	0.0015360484477863776	0.0011399016393442611	0.002092687499999997	True	50
0.005	XGB-24full	gradient_band_vs_xgb_only	8.183222289521501e-06	7.359176256814057e-06	8.99454875832829e-06	True	0.00164629970092146	0.0012749711538461524	0.002179036184210528	True	50
0.005	XGB-24full	absolute_band_vs_xgb_only	5.579345850999369e-07	1.8170805572381124e-07	9.993943064809076e-07	True	0.0001102512531350823	3.393138936535097e-05	0.0001950163043478268	True	50
0.005	XGB-4sensor	gradient_band_vs_absolute_band	8.57680193821926e-06	7.722592368261653e-06	9.360236220472431e-06	True	0.002846520397959713	0.0020413196864111503	0.004074559496567502	True	50
0.005	XGB-4sensor	gradient_band_vs_xgb_only	8.57680193821926e-06	7.722592368261653e-06	9.360236220472431e-06	True	0.002846520397959713	0.0020413196864111503	0.004074559496567502	True	50
0.005	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0	0.0	False	0.0	0.0	0.0	False	50
0.001	XGB-20raw	gradient_band_vs_absolute_band	8.597435637543074e-06	7.753902290695303e-06	9.395905128724901e-06	True	0.00952557861041822	0.005099558823529405	0.01872450000000001	True	10
0.001	XGB-20raw	gradient_band_vs_xgb_only	8.597435637543074e-06	7.753902290695303e-06	9.395905128724901e-06	True	0.00952557861041822	0.005099558823529405	0.01872450000000001	True	10
0.001	XGB-20raw	absolute_band_vs_xgb_only	0.0	0.0	0.0	False	0.0	0.0	0.0	False	10
0.001	XGB-24full	gradient_band_vs_absolute_band	8.80679099939185e-06	7.93634705047637e-06	9.669572268396521e-06	True	0.009760436039560283	0.005342509191176472	0.01927349999999999	True	10
0.001	XGB-24full	gradient_band_vs_xgb_only	8.80679099939185e-06	7.93634705047637e-06	9.669572268396521e-06	True	0.009760436039560283	0.005342509191176472	0.01927349999999999	True	10
0.001	XGB-24full	absolute_band_vs_xgb_only	0.0	0.0	0.0	False	0.0	0.0	0.0	False	10
0.001	XGB-4sensor	gradient_band_vs_absolute_band	8.854044192175144e-06	8.027569430366923e-06	9.669572268396521e-06	True	0.018340352607392602	0.00793482954545454	0.044561250000000024	True	10
0.001	XGB-4sensor	gradient_band_vs_xgb_only	8.854044192175144e-06	8.027569430366923e-06	9.669572268396521e-06	True	0.018340352607392602	0.00793482954545454	0.044561250000000024	True	10
0.001	XGB-4sensor	absolute_band_vs_xgb_only	0.0	0.0	0.0	False	0.0	0.0	0.0	False	10
