epsilon	metric	mean_gap	ci_lo	ci_hi	p_excludes_zero	n_boot	seed
0.0	auc	2.2547480299110467e-05	-5.048983977746502e-05	0.0001328603765383879	False	400	20268624
0.0	brier	-0.0005925567180383951	-0.0010142575949430466	-0.00018229582346975843	False	400	20268624
0.0	ece10	-0.0014504306158595714	-0.0023438822074793174	-0.00046203971166162457	True	400	20268624
0.0	f1_at_0.5	-0.002297060122076465	-0.02816202475685238	0.026224044324469113	False	400	20268624
0.0	cost_per_dec	2.9750000000000032e-05	-0.00020000000000000052	0.0003	False	400	20268624
0.0	caught_recall_at_K2pct	0.0	0.0	0.0	False	400	20268624
0.005	auc	0.00012826701900111898	-7.59468177450262e-05	0.0003658825184652575	False	400	20268624
0.005	brier	1.542367972433567e-06	-0.000661900220438838	0.0005690157879143954	False	400	20268624
0.005	ece10	0.0016066905976766727	0.00034941044798121986	0.0028600436869822346	False	400	20268624
0.005	f1_at_0.5	0.009298982101733699	-0.0185618180584652	0.03815389284018849	False	400	20268624
0.005	cost_per_dec	0.000399	-0.0001499999999999991	0.0008500000000000001	False	400	20268624
0.005	caught_recall_at_K2pct	-0.0030476590013805423	-0.024242424242424288	0.017359321679782637	False	400	20268624
0.01	auc	0.00024332151774000165	-0.0001540356869116105	0.0006733019737203828	False	400	20268624
0.01	brier	-0.0009385289996862411	-0.0016721338033676147	-0.00019235257059335722	False	400	20268624
0.01	ece10	-2.983691566623939e-05	-0.0013838425315357734	0.0012526624493300726	False	400	20268624
0.01	f1_at_0.5	0.02262395984463997	-0.0012377938313318944	0.04792379390665254	False	400	20268624
0.01	cost_per_dec	0.00041050000000000006	-0.0007999999999999986	0.001299999999999999	False	400	20268624
0.01	caught_recall_at_K2pct	0.008619228787149156	-0.037638387306849846	0.051948051948051965	False	400	20268624
0.02	auc	-0.003252005785692501	-0.009308743288241689	0.0014190404766820585	False	400	20268624
0.02	brier	-0.0009108859673142433	-0.0019287645816802978	-5.183406174182899e-05	False	400	20268624
0.02	ece10	-1.478074506204706e-05	-0.0015187260967865122	0.001446845757979899	False	400	20268624
0.02	f1_at_0.5	-0.0051459901917625	-0.026806672314096124	0.017240760942874838	False	400	20268624
0.02	cost_per_dec	-0.010759125000000001	-0.024149999999999998	-0.0004462500000000094	False	400	20268624
0.02	caught_recall_at_K2pct	0.023797470616122727	-0.01974010979435344	0.0649456752397929	False	400	20268624
0.05	auc	0.001324131544592297	-0.003698720548517578	0.0060322020654895335	False	400	20268624
0.05	brier	-0.00261889411136508	-0.0037043245509266855	-0.0014642471447587015	True	400	20268624
0.05	ece10	-0.0033077553667351643	-0.004690808947067751	-0.0018188537252321617	True	400	20268624
0.05	f1_at_0.5	-0.006313387557759144	-0.018327463458526348	0.006259123269476698	False	400	20268624
0.05	cost_per_dec	0.004578	-0.025102499999999996	0.03677374999999997	False	400	20268624
0.05	caught_recall_at_K2pct	0.031021642361078152	-0.026490066225165587	0.09103362391033615	False	400	20268624
