rate_target	rate_actual	n_test	n_pos	fset	anchor	n_fires_anchor	n_fires_fset	n_both	n_anchor_only	n_fset_only	n_neither	agreement	delta_fires	p_at_1	pr_auc	p_at_1_anchor	pr_auc_anchor
1.44	1.44	10000	144	20raw	24full	38	31	7	31	24	9938	0.9945	-7	0.37	0.2636	0.41	0.2779
1.44	1.44	10000	144	20raw+minmax	24full	38	29	11	27	18	9944	0.9955	-9	0.41	0.2645	0.41	0.2779
1.44	1.44	10000	144	20raw+stat	24full	38	34	7	31	27	9935	0.9942	-4	0.41	0.2685	0.41	0.2779
1.0	1.004	9956	100	20raw	24full	33	34	6	27	28	9895	0.9945	1	0.26	0.1977	0.29	0.2188
1.0	1.004	9956	100	20raw+minmax	24full	33	25	7	26	18	9905	0.9956	-8	0.27	0.203	0.29	0.2188
1.0	1.004	9956	100	20raw+stat	24full	33	34	6	27	28	9895	0.9945	1	0.28	0.205	0.29	0.2188
0.5	0.505	9906	50	20raw	24full	39	26	6	33	20	9847	0.9946	-13	0.1515	0.1607	0.1414	0.1724
0.5	0.505	9906	50	20raw+minmax	24full	39	30	11	28	19	9848	0.9953	-9	0.1515	0.1681	0.1414	0.1724
0.5	0.505	9906	50	20raw+stat	24full	39	37	11	28	26	9841	0.9945	-2	0.1616	0.1883	0.1414	0.1724
0.1	0.101	9866	10	20raw	24full	36	29	6	30	23	9807	0.9946	-7	0.0505	0.0475	0.0606	0.1044
0.1	0.101	9866	10	20raw+minmax	24full	36	33	10	26	23	9807	0.995	-3	0.0404	0.0628	0.0606	0.1044
0.1	0.101	9866	10	20raw+stat	24full	36	38	8	28	30	9800	0.9941	2	0.0505	0.0491	0.0606	0.1044
0.05	0.051	9861	5	20raw	24full	37	26	5	32	21	9803	0.9946	-11	0.0202	0.0399	0.0202	0.0576
0.05	0.051	9861	5	20raw+minmax	24full	37	34	9	28	25	9799	0.9946	-3	0.0101	0.0228	0.0202	0.0576
0.05	0.051	9861	5	20raw+stat	24full	37	36	8	29	28	9796	0.9942	-1	0.0101	0.2043	0.0202	0.0576
