tree	K_pct	n_alert	n_pos_in_alert	ece_within_budget	brier_within_budget	cost_per_decision_usd	cost_per_caught_usd
XGB-20raw	0.5	50	50	0.15678459882736206	0.03303251603113324	0.9425	188.5
XGB-20raw	1.0	100	96	0.31335785895586005	0.16625740677283227	0.485	50.520833333333336
XGB-20raw	2.0	200	130	0.2595426650717854	0.20591458639603638	0.15	11.538461538461538
XGB-20raw	5.0	500	142	0.1024519878923893	0.10487308307582444	0.045	3.1690140845070425
XGB-20raw	10.0	1000	143	0.054402074284851554	0.05361851007179611	0.06	4.195804195804196
XGB-24full	0.5	50	50	0.17727469682693484	0.04232754029615407	0.946	189.2
XGB-24full	1.0	100	99	0.33893361330032346	0.1577319077703438	0.4585	46.313131313131315
XGB-24full	2.0	200	135	0.2798980083316565	0.20294008589520104	0.1035	7.666666666666667
XGB-24full	5.0	500	141	0.12555592952668668	0.09293751718245238	0.0585	4.148936170212766
XGB-24full	10.0	1000	142	0.07181417043507098	0.04764240024598257	0.0735	5.176056338028169
XGB-4sensor	0.5	50	22	0.2877695064246654	0.31414244747623693	1.226	557.2727272727273
XGB-4sensor	1.0	100	36	0.24200135350227356	0.2769511472367922	1.0885	302.3611111111111
XGB-4sensor	2.0	200	54	0.17853846222162242	0.21890558833797172	0.9135	169.16666666666666
XGB-4sensor	5.0	500	89	0.11294449789822103	0.15200074545674844	0.5785	65.0
XGB-4sensor	10.0	1000	109	0.05976430226489902	0.09516644366938908	0.4035	37.018348623853214
