fset	K_pct	seed	ece_within_K	precision_at_K
20raw	1.0	42	0.0057	0.91
20raw	1.0	179	0.0216	0.89
20raw	1.0	316	0.0117	0.9
20raw	1.0	453	0.0641	0.85
20raw	1.0	590	0.0366	0.88
20raw	2.0	42	0.1881	0.655
20raw	2.0	179	0.1801	0.645
20raw	2.0	316	0.173	0.655
20raw	2.0	453	0.1658	0.665
20raw	2.0	590	0.1786	0.655
20raw	5.0	42	0.3499	0.288
20raw	5.0	179	0.3566	0.286
20raw	5.0	316	0.3506	0.288
20raw	5.0	453	0.3459	0.288
20raw	5.0	590	0.358	0.288
20raw	10.0	42	0.3532	0.144
20raw	10.0	179	0.3568	0.144
20raw	10.0	316	0.3538	0.144
20raw	10.0	453	0.3489	0.144
20raw	10.0	590	0.3571	0.144
24full	1.0	42	0.0143	0.9
24full	1.0	179	0.0283	0.94
24full	1.0	316	0.0008	0.91
24full	1.0	453	0.0034	0.92
24full	1.0	590	0.0022	0.91
24full	2.0	42	0.1579	0.685
24full	2.0	179	0.1719	0.675
24full	2.0	316	0.1463	0.675
24full	2.0	453	0.1557	0.67
24full	2.0	590	0.1445	0.685
24full	5.0	42	0.3481	0.288
24full	5.0	179	0.3484	0.288
24full	5.0	316	0.3426	0.288
24full	5.0	453	0.3346	0.288
24full	5.0	590	0.3432	0.288
24full	10.0	42	0.3413	0.144
24full	10.0	179	0.3419	0.144
24full	10.0	316	0.344	0.144
24full	10.0	453	0.3357	0.144
24full	10.0	590	0.3452	0.144
4sensor	1.0	42	0.4346	0.35
4sensor	1.0	179	0.4488	0.33
4sensor	1.0	316	0.4477	0.33
4sensor	1.0	453	0.477	0.31
4sensor	1.0	590	0.4234	0.36
4sensor	2.0	42	0.4452	0.305
4sensor	2.0	179	0.4587	0.285
4sensor	2.0	316	0.4439	0.3
4sensor	2.0	453	0.4423	0.305
4sensor	2.0	590	0.4123	0.335
4sensor	5.0	42	0.4836	0.212
4sensor	5.0	179	0.5022	0.19
4sensor	5.0	316	0.4972	0.196
4sensor	5.0	453	0.4953	0.198
4sensor	5.0	590	0.4882	0.204
4sensor	10.0	42	0.5216	0.128
4sensor	10.0	179	0.5202	0.127
4sensor	10.0	316	0.5273	0.123
4sensor	10.0	453	0.5305	0.119
4sensor	10.0	590	0.5202	0.127
