fset	seed	slope	intercept	pre_brier
20raw	42	1.16892	-10.86767	0.03279
20raw	179	1.1696	-10.94378	0.0349
20raw	316	1.12773	-11.0082	0.03453
20raw	453	1.17896	-10.89455	0.03351
20raw	590	1.12732	-10.93676	0.03337
24full	42	1.23302	-10.66803	0.02987
24full	179	1.25917	-10.66179	0.03063
24full	316	1.21238	-10.79077	0.03206
24full	453	1.2253	-10.69903	0.03015
24full	590	1.19392	-10.83055	0.03223
4sensor	42	0.52184	-12.92502	0.13731
4sensor	179	0.51333	-12.94256	0.13851
4sensor	316	0.51532	-12.93941	0.13922
4sensor	453	0.51631	-12.93678	0.13869
4sensor	590	0.54249	-12.91134	0.13607
