fset	c	seed	catch_frac
20raw	1	42	0.6319
20raw	10	42	0.6319
20raw	100	42	0.6319
20raw	1000	42	0.6319
20raw	1	179	0.6181
20raw	10	179	0.6181
20raw	100	179	0.6181
20raw	1000	179	0.6181
20raw	1	316	0.6250
20raw	10	316	0.6250
20raw	100	316	0.6250
20raw	1000	316	0.6250
20raw	1	453	0.5903
20raw	10	453	0.5903
20raw	100	453	0.5903
20raw	1000	453	0.5903
20raw	1	590	0.6111
20raw	10	590	0.6111
20raw	100	590	0.6111
20raw	1000	590	0.6111
24full	1	42	0.6250
24full	10	42	0.6250
24full	100	42	0.6250
24full	1000	42	0.6250
24full	1	179	0.6528
24full	10	179	0.6528
24full	100	179	0.6528
24full	1000	179	0.6528
24full	1	316	0.6319
24full	10	316	0.6319
24full	100	316	0.6319
24full	1000	316	0.6319
24full	1	453	0.6389
24full	10	453	0.6389
24full	100	453	0.6389
24full	1000	453	0.6389
24full	1	590	0.6319
24full	10	590	0.6319
24full	100	590	0.6319
24full	1000	590	0.6319
4sensor	1	42	0.2431
4sensor	10	42	0.2431
4sensor	100	42	0.2431
4sensor	1000	42	0.2431
4sensor	1	179	0.2292
4sensor	10	179	0.2292
4sensor	100	179	0.2292
4sensor	1000	179	0.2292
4sensor	1	316	0.2292
4sensor	10	316	0.2292
4sensor	100	316	0.2292
4sensor	1000	316	0.2292
4sensor	1	453	0.2153
4sensor	10	453	0.2153
4sensor	100	453	0.2153
4sensor	1000	453	0.2153
4sensor	1	590	0.2500
4sensor	10	590	0.2500
4sensor	100	590	0.2500
4sensor	1000	590	0.2500
