fset	seed	c	min_cost	opt_threshold	fraud_base_rate
20raw	42	1	0.005800	0.7600	0.0144
20raw	42	10	0.015500	0.5600	0.0144
20raw	42	100	0.029000	0.5000	0.0144
20raw	42	1000	0.036200	0.4200	0.0144
20raw	179	1	0.006500	0.7700	0.0144
20raw	179	10	0.016200	0.5900	0.0144
20raw	179	100	0.032200	0.5000	0.0144
20raw	179	1000	0.040800	0.4100	0.0144
20raw	316	1	0.006200	0.8000	0.0144
20raw	316	10	0.016700	0.6000	0.0144
20raw	316	100	0.032700	0.4300	0.0144
20raw	316	1000	0.032700	0.4300	0.0144
20raw	453	1	0.006100	0.7300	0.0144
20raw	453	10	0.014500	0.5700	0.0144
20raw	453	100	0.031500	0.4300	0.0144
20raw	453	1000	0.031500	0.4300	0.0144
20raw	590	1	0.006100	0.8000	0.0144
20raw	590	10	0.012700	0.6100	0.0144
20raw	590	100	0.025600	0.5500	0.0144
20raw	590	1000	0.032700	0.4400	0.0144
23_noVmax	42	1	0.005300	0.7100	0.0144
23_noVmax	42	10	0.015200	0.6100	0.0144
23_noVmax	42	100	0.021700	0.4800	0.0144
23_noVmax	42	1000	0.021700	0.4800	0.0144
23_noVmax	179	1	0.005200	0.7300	0.0144
23_noVmax	179	10	0.013600	0.6200	0.0144
23_noVmax	179	100	0.021000	0.4800	0.0144
23_noVmax	179	1000	0.021000	0.4800	0.0144
23_noVmax	316	1	0.005200	0.7500	0.0144
23_noVmax	316	10	0.014100	0.5800	0.0144
23_noVmax	316	100	0.025300	0.4500	0.0144
23_noVmax	316	1000	0.025300	0.4500	0.0144
23_noVmax	453	1	0.006100	0.7400	0.0144
23_noVmax	453	10	0.015200	0.6000	0.0144
23_noVmax	453	100	0.027500	0.5200	0.0144
23_noVmax	453	1000	0.029600	0.4400	0.0144
23_noVmax	590	1	0.004900	0.7200	0.0144
23_noVmax	590	10	0.014700	0.6100	0.0144
23_noVmax	590	100	0.023700	0.4700	0.0144
23_noVmax	590	1000	0.023700	0.4700	0.0144
23_noVmean	42	1	0.004900	0.7700	0.0144
23_noVmean	42	10	0.013400	0.6700	0.0144
23_noVmean	42	100	0.024700	0.5400	0.0144
23_noVmean	42	1000	0.024800	0.4600	0.0144
23_noVmean	179	1	0.005200	0.7200	0.0144
23_noVmean	179	10	0.014100	0.5900	0.0144
23_noVmean	179	100	0.018800	0.4900	0.0144
23_noVmean	179	1000	0.018800	0.4900	0.0144
23_noVmean	316	1	0.005500	0.7800	0.0144
23_noVmean	316	10	0.012100	0.6300	0.0144
23_noVmean	316	100	0.023000	0.5400	0.0144
23_noVmean	316	1000	0.034100	0.4100	0.0144
23_noVmean	453	1	0.005500	0.7600	0.0144
23_noVmean	453	10	0.014400	0.5300	0.0144
23_noVmean	453	100	0.014400	0.5300	0.0144
23_noVmean	453	1000	0.014400	0.5300	0.0144
23_noVmean	590	1	0.004600	0.7800	0.0144
23_noVmean	590	10	0.011800	0.6100	0.0144
23_noVmean	590	100	0.012700	0.5500	0.0144
23_noVmean	590	1000	0.012700	0.5500	0.0144
23_noVmin	42	1	0.005500	0.7200	0.0144
23_noVmin	42	10	0.014300	0.6200	0.0144
23_noVmin	42	100	0.020000	0.5000	0.0144
23_noVmin	42	1000	0.020000	0.5000	0.0144
23_noVmin	179	1	0.005000	0.7300	0.0144
23_noVmin	179	10	0.013200	0.5500	0.0144
23_noVmin	179	100	0.014200	0.5200	0.0144
23_noVmin	179	1000	0.014200	0.5200	0.0144
23_noVmin	316	1	0.005600	0.8000	0.0144
23_noVmin	316	10	0.012000	0.6200	0.0144
23_noVmin	316	100	0.025300	0.5300	0.0144
23_noVmin	316	1000	0.038300	0.4000	0.0144
23_noVmin	453	1	0.005800	0.8000	0.0144
23_noVmin	453	10	0.015000	0.6000	0.0144
23_noVmin	453	100	0.021300	0.5000	0.0144
23_noVmin	453	1000	0.021300	0.5000	0.0144
23_noVmin	590	1	0.004900	0.7700	0.0144
23_noVmin	590	10	0.012900	0.5900	0.0144
23_noVmin	590	100	0.021700	0.4900	0.0144
23_noVmin	590	1000	0.021700	0.4900	0.0144
23_noVstd	42	1	0.004700	0.7500	0.0144
23_noVstd	42	10	0.011900	0.6000	0.0144
23_noVstd	42	100	0.014200	0.5300	0.0144
23_noVstd	42	1000	0.014200	0.5300	0.0144
23_noVstd	179	1	0.004800	0.7500	0.0144
23_noVstd	179	10	0.012600	0.6400	0.0144
23_noVstd	179	100	0.019700	0.4900	0.0144
23_noVstd	179	1000	0.019700	0.4900	0.0144
23_noVstd	316	1	0.004800	0.7600	0.0144
23_noVstd	316	10	0.010300	0.6300	0.0144
23_noVstd	316	100	0.023800	0.5300	0.0144
23_noVstd	316	1000	0.026000	0.4400	0.0144
23_noVstd	453	1	0.005300	0.7300	0.0144
23_noVstd	453	10	0.011900	0.6300	0.0144
23_noVstd	453	100	0.022900	0.4700	0.0144
23_noVstd	453	1000	0.022900	0.4700	0.0144
23_noVstd	590	1	0.004800	0.7700	0.0144
23_noVstd	590	10	0.012300	0.6100	0.0144
23_noVstd	590	100	0.016000	0.5200	0.0144
23_noVstd	590	1000	0.016000	0.5200	0.0144
24full	42	1	0.004100	0.7600	0.0144
24full	42	10	0.011400	0.6300	0.0144
24full	42	100	0.013100	0.5600	0.0144
24full	42	1000	0.013100	0.5600	0.0144
24full	179	1	0.004900	0.7700	0.0144
24full	179	10	0.012000	0.5900	0.0144
24full	179	100	0.020100	0.4800	0.0144
24full	179	1000	0.020100	0.4800	0.0144
24full	316	1	0.004700	0.7500	0.0144
24full	316	10	0.012700	0.6300	0.0144
24full	316	100	0.019500	0.5000	0.0144
24full	316	1000	0.019500	0.5000	0.0144
24full	453	1	0.004900	0.7300	0.0144
24full	453	10	0.013400	0.6000	0.0144
24full	453	100	0.022500	0.5400	0.0144
24full	453	1000	0.023500	0.4500	0.0144
24full	590	1	0.004900	0.7300	0.0144
24full	590	10	0.012500	0.6400	0.0144
24full	590	100	0.020000	0.4900	0.0144
24full	590	1000	0.020000	0.4900	0.0144
4sensor	42	1	0.014200	0.8700	0.0144
4sensor	42	10	0.076200	0.6300	0.0144
4sensor	42	100	0.190900	0.5300	0.0144
4sensor	42	1000	0.241300	0.4700	0.0144
4sensor	179	1	0.014100	0.8600	0.0144
4sensor	179	10	0.081800	0.6500	0.0144
4sensor	179	100	0.214900	0.5300	0.0144
4sensor	179	1000	0.313900	0.4300	0.0144
4sensor	316	1	0.014100	0.8200	0.0144
4sensor	316	10	0.081400	0.6600	0.0144
4sensor	316	100	0.224600	0.5400	0.0144
4sensor	316	1000	0.317200	0.4900	0.0144
4sensor	453	1	0.014100	0.8500	0.0144
4sensor	453	10	0.083500	0.6200	0.0144
4sensor	453	100	0.228500	0.5300	0.0144
4sensor	453	1000	0.261700	0.4600	0.0144
4sensor	590	1	0.014200	0.9000	0.0144
4sensor	590	10	0.078100	0.6200	0.0144
4sensor	590	100	0.206200	0.5500	0.0144
4sensor	590	1000	0.285400	0.4400	0.0144
