contrast	rate	mean_gap	lo	hi	mean_target	mean_20raw	ci_negative	ci_positive
24full-20raw	0.0050	-0.007914	-0.008569	-0.007238	0.016208	0.024123	1	0
23_noVmean-20raw	0.0050	-0.006995	-0.008253	-0.005683	0.017127	0.024123	1	0
23_noVmax-20raw	0.0050	-0.004664	-0.005776	-0.003488	0.019458	0.024123	1	0
4sensor-20raw	0.0050	0.122495	0.117845	0.126880	0.146618	0.024123	0	1
24full-20raw	0.0100	-0.011815	-0.012833	-0.010690	0.017954	0.029769	1	0
23_noVmean-20raw	0.0100	-0.009125	-0.010898	-0.007167	0.020644	0.029769	1	0
23_noVmax-20raw	0.0100	-0.006690	-0.007704	-0.005592	0.023079	0.029769	1	0
4sensor-20raw	0.0100	0.160690	0.157231	0.163792	0.190458	0.029769	0	1
24full-20raw	0.0144	-0.013620	-0.014693	-0.012647	0.017587	0.031207	1	0
23_noVmean-20raw	0.0144	-0.008847	-0.010687	-0.006920	0.022360	0.031207	1	0
23_noVmax-20raw	0.0144	-0.008313	-0.009667	-0.007060	0.022893	0.031207	1	0
4sensor-20raw	0.0144	0.179787	0.173567	0.185981	0.210993	0.031207	0	1
24full-20raw	0.0200	-0.016028	-0.017537	-0.014537	0.017509	0.033537	1	0
23_noVmean-20raw	0.0200	-0.010241	-0.012694	-0.007897	0.023296	0.033537	1	0
23_noVmax-20raw	0.0200	-0.010787	-0.012491	-0.009028	0.022750	0.033537	1	0
4sensor-20raw	0.0200	0.188361	0.182000	0.193945	0.221898	0.033537	0	1
24full-20raw	0.0300	-0.018361	-0.020556	-0.016181	0.017583	0.035944	1	0
23_noVmean-20raw	0.0300	-0.010639	-0.015069	-0.006152	0.025306	0.035944	1	0
23_noVmax-20raw	0.0300	-0.013639	-0.016014	-0.011222	0.022306	0.035944	1	0
4sensor-20raw	0.0300	0.201542	0.193164	0.209348	0.237486	0.035944	0	1
24full-20raw	0.0500	-0.018981	-0.021597	-0.016296	0.016806	0.035787	1	0
23_noVmean-20raw	0.0500	-0.011088	-0.016134	-0.005602	0.024699	0.035787	1	0
23_noVmax-20raw	0.0500	-0.014722	-0.018079	-0.011319	0.021065	0.035787	1	0
4sensor-20raw	0.0500	0.210370	0.203263	0.217200	0.246157	0.035787	0	1
