decile	fset	cost_ratio	seed	n_decile	pos_decile	min_cost	opt_threshold
0	20raw	1	42	1000	5	0.002000	0.6800
0	20raw	1	179	1000	5	0.002000	0.6300
0	20raw	1	316	1000	5	0.002000	0.7300
0	20raw	1	7	1000	5	0.002000	0.7200
0	20raw	1	911	1000	5	0.002000	0.7900
0	20raw	10	42	1000	5	0.003000	0.5500
0	20raw	10	179	1000	5	0.002000	0.6300
0	20raw	10	316	1000	5	0.004000	0.5000
0	20raw	10	7	1000	5	0.004000	0.5900
0	20raw	10	911	1000	5	0.003000	0.6300
0	20raw	100	42	1000	5	0.003000	0.5500
0	20raw	100	179	1000	5	0.002000	0.6300
0	20raw	100	316	1000	5	0.004000	0.5000
0	20raw	100	7	1000	5	0.004000	0.5900
0	20raw	100	911	1000	5	0.003000	0.6300
0	20raw	1000	42	1000	5	0.003000	0.5500
0	20raw	1000	179	1000	5	0.002000	0.6300
0	20raw	1000	316	1000	5	0.004000	0.5000
0	20raw	1000	7	1000	5	0.004000	0.5900
0	20raw	1000	911	1000	5	0.003000	0.6300
0	20raw	10000	42	1000	5	0.003000	0.5500
0	20raw	10000	179	1000	5	0.002000	0.6300
0	20raw	10000	316	1000	5	0.004000	0.5000
0	20raw	10000	7	1000	5	0.004000	0.5900
0	20raw	10000	911	1000	5	0.003000	0.6300
0	24full	1	42	1000	5	0.001000	0.6100
0	24full	1	179	1000	5	0.000000	0.6600
0	24full	1	316	1000	5	0.001000	0.7100
0	24full	1	7	1000	5	0.001000	0.7300
0	24full	1	911	1000	5	0.001000	0.6600
0	24full	10	42	1000	5	0.001000	0.6100
0	24full	10	179	1000	5	0.000000	0.6600
0	24full	10	316	1000	5	0.001000	0.7100
0	24full	10	7	1000	5	0.001000	0.7300
0	24full	10	911	1000	5	0.001000	0.6600
0	24full	100	42	1000	5	0.001000	0.6100
0	24full	100	179	1000	5	0.000000	0.6600
0	24full	100	316	1000	5	0.001000	0.7100
0	24full	100	7	1000	5	0.001000	0.7300
0	24full	100	911	1000	5	0.001000	0.6600
0	24full	1000	42	1000	5	0.001000	0.6100
0	24full	1000	179	1000	5	0.000000	0.6600
0	24full	1000	316	1000	5	0.001000	0.7100
0	24full	1000	7	1000	5	0.001000	0.7300
0	24full	1000	911	1000	5	0.001000	0.6600
0	24full	10000	42	1000	5	0.001000	0.6100
0	24full	10000	179	1000	5	0.000000	0.6600
0	24full	10000	316	1000	5	0.001000	0.7100
0	24full	10000	7	1000	5	0.001000	0.7300
0	24full	10000	911	1000	5	0.001000	0.6600
0	4sensor	1	42	1000	5	0.001000	0.6400
0	4sensor	1	179	1000	5	0.001000	0.5700
0	4sensor	1	316	1000	5	0.000000	0.7200
0	4sensor	1	7	1000	5	0.000000	0.6100
0	4sensor	1	911	1000	5	0.000000	0.6700
0	4sensor	10	42	1000	5	0.001000	0.6400
0	4sensor	10	179	1000	5	0.001000	0.5700
0	4sensor	10	316	1000	5	0.000000	0.7200
0	4sensor	10	7	1000	5	0.000000	0.6100
0	4sensor	10	911	1000	5	0.000000	0.6700
0	4sensor	100	42	1000	5	0.001000	0.6400
0	4sensor	100	179	1000	5	0.001000	0.5700
0	4sensor	100	316	1000	5	0.000000	0.7200
0	4sensor	100	7	1000	5	0.000000	0.6100
0	4sensor	100	911	1000	5	0.000000	0.6700
0	4sensor	1000	42	1000	5	0.001000	0.6400
0	4sensor	1000	179	1000	5	0.001000	0.5700
0	4sensor	1000	316	1000	5	0.000000	0.7200
0	4sensor	1000	7	1000	5	0.000000	0.6100
0	4sensor	1000	911	1000	5	0.000000	0.6700
0	4sensor	10000	42	1000	5	0.001000	0.6400
0	4sensor	10000	179	1000	5	0.001000	0.5700
0	4sensor	10000	316	1000	5	0.000000	0.7200
0	4sensor	10000	7	1000	5	0.000000	0.6100
0	4sensor	10000	911	1000	5	0.000000	0.6700
1	20raw	1	42	1000	11	0.003000	0.6600
1	20raw	1	179	1000	11	0.005000	0.5800
1	20raw	1	316	1000	11	0.004000	0.6600
1	20raw	1	7	1000	11	0.003000	0.5900
1	20raw	1	911	1000	11	0.004000	0.5600
1	20raw	10	42	1000	11	0.004000	0.6300
1	20raw	10	179	1000	11	0.005000	0.5800
1	20raw	10	316	1000	11	0.006000	0.5100
1	20raw	10	7	1000	11	0.003000	0.5900
1	20raw	10	911	1000	11	0.004000	0.5600
1	20raw	100	42	1000	11	0.004000	0.6300
1	20raw	100	179	1000	11	0.005000	0.5800
1	20raw	100	316	1000	11	0.006000	0.5100
