sigma	rho	raw_tau	raw_alert_pct	raw_recall	raw_cost_per_dec	full_tau	full_alert_pct	full_recall	full_cost_per_dec	delta_cost
0.0	2	0.1965588629245758	0.0092	0.5416666666666666	0.0112	0.1750621348619461	0.0102	0.6111111111111112	0.014199999999999999	0.002999999999999999
0.0	5	0.11597929894924164	0.014	0.6736111111111112	0.01875	0.11471067368984222	0.014	0.7013888888888888	0.021249999999999998	0.0024999999999999988
0.0	10	0.0723407194018364	0.0209	0.7430555555555556	0.02895	0.06941356509923935	0.0216	0.7916666666666666	0.0293	0.0003499999999999996
0.0	20	0.03736153990030289	0.043	0.8680555555555556	0.0405	0.036582473665475845	0.0442	0.8958333333333334	0.040600000000000004	0.00010000000000000286
0.0	50	0.03131043538451195	0.0542	0.8958333333333334	0.0646	0.036582473665475845	0.0442	0.8958333333333334	0.0631	-0.0015000000000000013
0.0	100	0.01934351772069931	0.105	0.9375	0.0975	0.018473833799362183	0.1084	0.9583333333333334	0.0877	-0.009800000000000003
0.0	200	0.01536819152534008	0.1416	0.9583333333333334	0.1308	0.018473833799362183	0.1084	0.9583333333333334	0.1177	-0.0131
0.0	500	0.008958899416029453	0.2794	0.9861111111111112	0.1897	0.014189737848937511	0.1536	0.9722222222222222	0.18030000000000002	-0.009399999999999992
0.005	2	0.1965588629245758	0.0092	0.5416666666666666	0.0112	0.18265244364738464	0.0104	0.6180555555555556	0.014199999999999999	0.002999999999999999
0.005	5	0.11597929894924164	0.014	0.6736111111111112	0.01875	0.09237618744373322	0.017	0.75	0.021	0.002250000000000002
0.005	10	0.0723407194018364	0.0209	0.7430555555555556	0.02895	0.05044672265648842	0.0302	0.8541666666666666	0.0291	0.00015000000000000083
0.005	20	0.03736153990030289	0.043	0.8680555555555556	0.0405	0.05044672265648842	0.0302	0.8541666666666666	0.0396	-0.000899999999999998
0.005	50	0.03131043538451195	0.0542	0.8958333333333334	0.0646	0.0269843190908432	0.0644	0.9236111111111112	0.0632	-0.0013999999999999985
0.005	100	0.01934351772069931	0.105	0.9375	0.0975	0.0269843190908432	0.0644	0.9236111111111112	0.0907	-0.0068000000000000005
0.005	200	0.01536819152534008	0.1416	0.9583333333333334	0.1308	0.012438420206308365	0.1785	0.9861111111111112	0.11275	-0.018049999999999997
0.005	500	0.008958899416029453	0.2794	0.9861111111111112	0.1897	0.012438420206308365	0.1785	0.9861111111111112	0.14275000000000002	-0.04694999999999999
0.01	2	0.1965588629245758	0.0092	0.5416666666666666	0.0112	0.16840921342372894	0.01	0.5763888888888888	0.0146	0.0034000000000000002
0.01	5	0.11597929894924164	0.014	0.6736111111111112	0.01875	0.09377358853816986	0.016	0.7222222222222222	0.0215	0.002749999999999999
0.01	10	0.0723407194018364	0.0209	0.7430555555555556	0.02895	0.05944332480430603	0.0251	0.8194444444444444	0.02905	9.99999999999994e-05
0.01	20	0.03736153990030289	0.043	0.8680555555555556	0.0405	0.05944332480430603	0.0251	0.8194444444444444	0.042050000000000004	0.0015500000000000028
0.01	50	0.03131043538451195	0.0542	0.8958333333333334	0.0646	0.02869497425854206	0.0595	0.9027777777777778	0.06825	0.0036500000000000005
0.01	100	0.01934351772069931	0.105	0.9375	0.0975	0.02186219021677971	0.0856	0.9375	0.0913	-0.006199999999999997
0.01	200	0.01536819152534008	0.1416	0.9583333333333334	0.1308	0.01079661026597023	0.2225	0.9861111111111112	0.13475	0.003950000000000009
0.01	500	0.008958899416029453	0.2794	0.9861111111111112	0.1897	0.01079661026597023	0.2225	0.9861111111111112	0.16475	-0.02495
0.02	2	0.1965588629245758	0.0092	0.5416666666666666	0.0112	0.14355355501174927	0.0112	0.6180555555555556	0.0146	0.0034000000000000002
0.02	5	0.11597929894924164	0.014	0.6736111111111112	0.01875	0.09584804624319077	0.0165	0.7152777777777778	0.022	0.0032499999999999994
0.02	10	0.0723407194018364	0.0209	0.7430555555555556	0.02895	0.06571279466152191	0.0231	0.7916666666666666	0.03005	0.0011000000000000003
0.02	20	0.03736153990030289	0.043	0.8680555555555556	0.0405	0.03787389025092125	0.043	0.8680555555555556	0.044000000000000004	0.003500000000000003
0.02	50	0.03131043538451195	0.0542	0.8958333333333334	0.0646	0.032080430537462234	0.0534	0.9027777777777778	0.0652	0.0005999999999999894
0.02	100	0.01934351772069931	0.105	0.9375	0.0975	0.021244486793875694	0.0895	0.9513888888888888	0.08325	-0.014249999999999999
0.02	200	0.01536819152534008	0.1416	0.9583333333333334	0.1308	0.021244486793875694	0.0895	0.9513888888888888	0.11825000000000001	-0.012549999999999992
0.02	500	0.008958899416029453	0.2794	0.9861111111111112	0.1897	0.011672946624457836	0.194	0.9722222222222222	0.2005	0.010800000000000004
0.05	2	0.1965588629245758	0.0092	0.5416666666666666	0.0112	0.1977470964193344	0.0091	0.5486111111111112	0.01455	0.0033500000000000005
0.05	5	0.11597929894924164	0.014	0.6736111111111112	0.01875	0.08941732347011566	0.0169	0.7291666666666666	0.0217	0.0029500000000000012
0.05	10	0.0723407194018364	0.0209	0.7430555555555556	0.02895	0.06940316408872604	0.0214	0.7777777777777778	0.0302	0.0012500000000000011
0.05	20	0.03736153990030289	0.043	0.8680555555555556	0.0405	0.04455709084868431	0.0355	0.8472222222222222	0.043250000000000004	0.0027500000000000024
0.05	50	0.03131043538451195	0.0542	0.8958333333333334	0.0646	0.024828217923641205	0.0723	0.9166666666666666	0.06965	0.005049999999999999
0.05	100	0.01934351772069931	0.105	0.9375	0.0975	0.02232394739985466	0.0836	0.9305555555555556	0.09530000000000001	-0.0021999999999999936
0.05	200	0.01536819152534008	0.1416	0.9583333333333334	0.1308	0.02232394739985466	0.0836	0.9305555555555556	0.1453	0.014500000000000013
0.05	500	0.008958899416029453	0.2794	0.9861111111111112	0.1897	0.011007153429090977	0.2144	0.9722222222222222	0.2107	0.02099999999999999
