K_pct	model	k	k_pct	n_top	n_pos_top	obs_pos_rate	mean_pred	calibration_gap	abs_calibration_gap	brier_topk	ece_topk
0.25	XGB-20raw	25	0.25	25	22	0.88	0.9710742235183716	0.09107422351837158	0.09107422351837158	0.11361059621377649	0.13424820184707645
0.25	XGB-24full	25	0.25	25	23	0.92	0.9659344553947449	0.04593445539474483	0.04593445539474483	0.07297049480764685	0.10178881645202638
0.25	XGB-4sensor	25	0.25	25	9	0.36	0.848758339881897	0.488758339881897	0.488758339881897	0.4669429150772697	0.4887583470344544
0.5	XGB-20raw	50	0.5	50	45	0.9	0.9509164690971375	0.05091646909713743	0.05091646909713743	0.09214154801595577	0.11357828378677368
0.5	XGB-24full	50	0.5	50	45	0.9	0.9457893967628479	0.04578939676284788	0.04578939676284788	0.08983104812658439	0.09738779664039611
0.5	XGB-4sensor	50	0.5	50	13	0.26	0.8229337930679321	0.5629337930679321	0.5629337930679321	0.5028612668653121	0.5629337632656098
1.0	XGB-20raw	100	1.0	100	68	0.68	0.9053677916526794	0.2253677916526794	0.2253677916526794	0.2505542924428129	0.24768173813819888
1.0	XGB-24full	100	1.0	100	72	0.72	0.8988571166992188	0.17885711669921878	0.17885711669921878	0.21980660133368501	0.20465633749961853
1.0	XGB-4sensor	100	1.0	100	18	0.18	0.7927097082138062	0.6127097082138062	0.6127097082138062	0.5147183126602041	0.612709732055664
2.0	XGB-20raw	200	2.0	200	96	0.48	0.8363503813743591	0.35635038137435915	0.35635038137435915	0.34406310587004413	0.3675073456764222
2.0	XGB-24full	200	2.0	200	106	0.53	0.8284294605255127	0.29842946052551267	0.29842946052551267	0.30709906691287486	0.3044417810440063
2.0	XGB-4sensor	200	2.0	200	31	0.155	0.7594958543777466	0.6044958543777466	0.6044958543777466	0.4913112989986814	0.6044959086179734
5.0	XGB-20raw	500	5.0	500	126	0.252	0.713702380657196	0.46170238065719604	0.46170238065719604	0.3604071404541546	0.4617023508548737
5.0	XGB-24full	500	5.0	500	136	0.272	0.697695791721344	0.425695791721344	0.425695791721344	0.3309138347060204	0.425695779800415
5.0	XGB-4sensor	500	5.0	500	64	0.128	0.7096177935600281	0.5816177935600281	0.5816177935600281	0.4471238616247682	0.5816177995204925
