variant	metric	value	delta_vs_20raw	ci_lo	ci_hi	excludes_zero	direction
add_V_mean_only	auc	0.9991108067279941	0.00028042703823938364	-2.1580886240490926e-05	0.0006415037190070638	False	pos
add_V_mean_only	brier	0.005086884345231914	-7.195803751951051e-06	-0.0002213923419368156	0.0002180802621815775	False	neg
add_V_mean_only	f1	0.8188976377952756	-0.004179285281647571	-0.038154689847293644	0.03007368051726733	False	neg
add_V_mean_only	ece10	0.03253803074889001	0.00012289768814225527	-0.0007830436569172886	0.0009374839068041207	False	pos
add_V_std_only	auc	0.9991079883658007	0.0002776086760459817	-5.4866071918402426e-05	0.0006950996211486649	False	pos
add_V_std_only	brier	0.005126321283901622	3.2241134917757215e-05	-0.0001982237724476362	0.00026195317623452577	False	pos
add_V_std_only	f1	0.808	-0.015076923076923099	-0.0582104309137349	0.028921745402091692	False	neg
add_V_std_only	ece10	0.033593248994951135	0.0011781159342033817	0.00028128830331260873	0.0020020908954669764	True	pos
add_V_max_only	auc	0.9989994814213564	0.00016910173160167297	-0.0002249035187831261	0.0005715108689937631	False	pos
add_V_max_only	brier	0.0050354491691546755	-5.8630979829189626e-05	-0.0002910921200478525	0.00016643447797875816	False	neg
add_V_max_only	f1	0.8015873015873016	-0.021489621489621524	-0.06259511678687224	0.02038529768759123	False	neg
add_V_max_only	ece10	0.032925811434857316	0.0005106783741095633	-0.00028565529293263225	0.0014673189810360844	False	pos
add_V_min_only	auc	0.9989022479256854	7.186823593063885e-05	-0.00024658785940556704	0.00042999860184500527	False	pos
add_V_min_only	brier	0.005241924546688659	0.00014784439770479385	-5.563602565173461e-05	0.00037162642925030274	False	pos
add_V_min_only	f1	0.8046875	-0.01838942307692315	-0.053475935828876886	0.014097744360902276	False	neg
add_V_min_only	ece10	0.03263994047467422	0.00022480741392646997	-0.0006556522886996402	0.0011541596731403786	False	pos
