variant	metric	value	delta_vs_all24	ci_lo	ci_hi	excludes_zero	direction
ALL_24	auc	0.9990741680194805	0.0	0.0	0.0	False	pos
ALL_24	brier	0.004828600111975046	0.0	0.0	0.0	False	pos
ALL_24	f1	0.8473282442748092	0.0	0.0	0.0	False	pos
ALL_24	ece10	0.032117682103777766	0.0	0.0	0.0	False	pos
drop_V_mean	auc	0.9992925910894661	0.00021842306998565153	-7.667229148577981e-05	0.0005263538677716673	False	pos
drop_V_mean	brier	0.004875354467981176	4.6754356006129504e-05	-0.0001669122484259213	0.0002676437495898378	False	pos
drop_V_mean	f1	0.8582375478927203	0.010909303617911092	-0.019440569708538358	0.038875371722087104	False	pos
drop_V_mean	ece10	0.03243757085619727	0.000319888752419506	-0.00044718061244348323	0.0016305139037431152	False	pos
drop_V_std	auc	0.9992101539953101	0.00013598597582964445	-0.00011271482167130031	0.00040218997082508423	False	pos
drop_V_std	brier	0.004934293703651649	0.00010569359167660313	-8.297969821362879e-05	0.0002954418883215886	False	pos
drop_V_std	f1	0.8449612403100775	-0.002367003964731773	-0.039393939393939315	0.03460594647035342	False	neg
drop_V_std	ece10	0.03264606870070566	0.0005283865969278947	-0.00017208421647083028	0.001561166279774616	False	pos
drop_V_max	auc	0.9992784992784992	0.00020433125901875293	-0.00015235294995363802	0.0005672268907562783	False	pos
drop_V_max	brier	0.004767348491988177	-6.125161998686915e-05	-0.0002833899433462078	0.00015518864381228962	False	neg
drop_V_max	f1	0.8593749999999999	0.01204675572519065	-0.020250148898153575	0.0471328819297504	False	pos
drop_V_max	ece10	0.03266530345175997	0.0005476213479822037	-0.00042093203003750607	0.0015615974722488282	False	pos
drop_V_min	auc	0.9992327008928572	0.00015853287337674882	-0.0001921653679430868	0.00048166338877253523	False	pos
drop_V_min	brier	0.004751870893667668	-7.672921830737846e-05	-0.00027471022777172775	0.00012503618347878623	False	neg
drop_V_min	f1	0.8392156862745098	-0.008112558000299419	-0.04482371434987664	0.027181164159581273	False	neg
drop_V_min	ece10	0.032398765835480306	0.00028108373170254025	-0.0006016810460831093	0.0011627282656379995	False	pos
