model	decile	conf	acc	n	acc_lo	acc_hi
XGB-24full	0	0.02575533369294822	0.0	9488	0.0	0.0
XGB-24full	1	0.1297337075093841	0.007782101167315175	257	0.0	0.019455252918287938
XGB-24full	2	0.24030201066107976	0.08333333333333333	84	0.03571428571428571	0.14285714285714285
XGB-24full	3	0.35374028484026593	0.26666666666666666	30	0.13333333333333333	0.43333333333333335
XGB-24full	4	0.44739782551060553	0.6956521739130435	23	0.4782608695652174	0.8695652173913043
XGB-24full	5	0.543966179308684	0.9130434782608695	23	0.782608695652174	1.0
XGB-24full	6	0.652141237700427	0.8518518518518519	27	0.7037037037037037	0.9629629629629629
XGB-24full	7	0.7510890407221658	0.9642857142857143	28	0.8928571428571429	1.0
XGB-24full	8	0.8592353850603104	1.0	20	1.0	1.0
XGB-24full	9	0.9352269470691681	1.0	20	1.0	1.0
XGB-20raw	0	0.02605066355598944	0.0	9442	0.0	0.0
XGB-20raw	1	0.1348908734167131	0.009146341463414634	328	0.0	0.021341463414634148
XGB-20raw	2	0.2476076392228143	0.08771929824561403	57	0.017543859649122806	0.15789473684210525
XGB-20raw	3	0.3516484854682799	0.41935483870967744	31	0.25806451612903225	0.5806451612903226
XGB-20raw	4	0.4504663543059276	0.6153846153846154	26	0.4230769230769231	0.8076923076923077
XGB-20raw	5	0.5496132969856262	0.8214285714285714	28	0.6785714285714286	0.9285714285714286
XGB-20raw	6	0.6573938528696696	0.8888888888888888	27	0.7407407407407407	1.0
XGB-20raw	7	0.7605320342949459	0.9285714285714286	14	0.7857142857142857	1.0
XGB-20raw	8	0.850082801921027	1.0	28	1.0	1.0
XGB-20raw	9	0.94605658242577	1.0	19	1.0	1.0
