backbone	g_thr	n_llm_calls	frac_llm	n_caught_at_K2	recall_at_K2	precision_at_K2	auc	cost_per_decision	cost_per_fraud_caught
XGB-20raw	0.0001	9	0.0009	141	0.979167	0.705	0.999773	0.00010081	0.00714965
XGB-20raw	0.0005	29	0.0029	142	0.986111	0.71	0.999765	0.00010261	0.00722606
XGB-20raw	0.001	50	0.005	142	0.986111	0.71	0.999789	0.0001045	0.00735915
XGB-20raw	0.005	138	0.0138	143	0.993056	0.715	0.999842	0.00011242	0.00786154
XGB-20raw	0.01	174	0.0174	143	0.993056	0.715	0.999833	0.00011566	0.00808811
XGB-20raw	0.05	199	0.0199	143	0.993056	0.715	0.999844	0.00011791	0.00824545
XGB-20raw	0.1	199	0.0199	143	0.993056	0.715	0.999844	0.00011791	0.00824545
XGB-24full	0.0001	9	0.0009	143	0.993056	0.715	0.999803	0.00010081	0.00704965
XGB-24full	0.0005	30	0.003	143	0.993056	0.715	0.999803	0.0001027	0.00718182
XGB-24full	0.001	53	0.0053	143	0.993056	0.715	0.999803	0.00010477	0.00732657
XGB-24full	0.005	140	0.014	143	0.993056	0.715	0.999803	0.0001126	0.00787413
XGB-24full	0.01	177	0.0177	143	0.993056	0.715	0.999803	0.00011593	0.00810699
XGB-24full	0.05	199	0.0199	143	0.993056	0.715	0.999803	0.00011791	0.00824545
XGB-24full	0.1	199	0.0199	143	0.993056	0.715	0.999803	0.00011791	0.00824545
