rate	cost_llm	cost_ratio	cpf_xgb	cpf_grad	cpf_ratio_grad_over_xgb
0.0144	0.001	10.0	0.008968572798360032	0.009156602853411364	1.0209654377880184
0.0144	0.003	30.0	0.008968572798360032	0.009574447420192101	1.0675552995391706
0.0144	0.01	100.0	0.008968572798360032	0.01103690340392468	1.2306198156682029
0.0144	0.03	300.0	0.008968572798360032	0.015215349071732049	1.6965184331797234
0.0144	0.1	1000.0	0.008968572798360032	0.029839908909057845	3.327163594470046
0.01	0.001	10.0	0.012652717652717652	0.0129742025012025	1.0254083634290059
0.01	0.003	30.0	0.012652717652717652	0.013688613275613276	1.0818713932712414
0.01	0.01	100.0	0.012652717652717652	0.016189050986050987	1.279491997719065
0.01	0.03	300.0	0.012652717652717652	0.023333158730158732	1.8441222961414183
0.01	0.1	1000.0	0.012652717652717652	0.04833753583453584	3.8203283406196547
0.005	0.001	10.0	0.024086021505376348	0.024998215053763442	1.0378723214285714
0.005	0.003	30.0	0.024086021505376348	0.02702531182795699	1.1220330357142856
0.005	0.01	100.0	0.024086021505376348	0.034120150537634404	1.4165955357142854
0.005	0.03	300.0	0.024086021505376348	0.05439111827956989	2.258202678571428
0.005	0.1	1000.0	0.024086021505376348	0.12533950537634408	5.203827678571428
0.001	0.001	10.0	0.12222222222222223	0.12810222222222223	1.0481090909090909
0.001	0.003	30.0	0.12222222222222223	0.1411688888888889	1.1550181818181817
0.001	0.01	100.0	0.12222222222222223	0.18690222222222222	1.5292
0.001	0.03	300.0	0.12222222222222223	0.31756888888888885	2.5982909090909083
0.001	0.1	1000.0	0.12222222222222223	0.7749022222222223	6.340109090909091
0.0005	0.001	10.0	0.3	0.31532999999999994	1.0511
0.0005	0.003	30.0	0.3	0.34939666666666663	1.1646555555555556
0.0005	0.01	100.0	0.3	0.46863000000000005	1.5621000000000003
0.0005	0.03	300.0	0.3	0.8092966666666667	2.6976555555555555
0.0005	0.1	1000.0	0.3	2.00163	6.6721
