domain	label	density	wilson_lo	wilson_hi	layer
D1	P8_grad_band_firing	0.0083	n/a	n/a	LOW
D2	P7_step_rejection	0.5000	n/a	n/a	MID
D3	P5_cells_with_seed_pass	0.3673	n/a	n/a	MID
D4	P7_per_prompt_boundary	0.7293	n/a	n/a	MID
D5	P8_iso_ECE_gt_010	1.0000	n/a	n/a	HIGH
D6	P8_sensor_firing_flip	0.0053	n/a	n/a	LOW
D7	N2_algo_axis_spread_gt_500	0.0156	n/a	n/a	LOW
D8	P7_UNIFIED_C4_FIRE_density	0.0914	n/a	n/a	MID
D9	P7_UNIFIED_C4_contrast_recov	0.0914	n/a	n/a	MID
D10	P8_operationally_actionable	0.7800	n/a	n/a	HIGH
D11	P8_escalation_value_density	1.0000	0.9630	1.0000	HIGH
