d_i	d_j	label_i	label_j	v_i	v_j	ratio
D1	D2	P8_grad_band_firing	P7_step_rejection	0.0083	0.5	0.0166
D1	D3	P8_grad_band_firing	P5_cells_with_seed_pass	0.0083	0.3673	0.022597331881295944
D1	D4	P8_grad_band_firing	P7_per_prompt_boundary	0.0083	0.7293	0.011380776086658441
D1	D5	P8_grad_band_firing	P8_iso_ECE_gt_010	0.0083	1.0	0.0083
D1	D6	P8_grad_band_firing	P8_sensor_firing_flip	0.0083	0.0053	1.5660377358490567
D1	D7	P8_grad_band_firing	N2_algo_axis_spread_gt_500	0.0083	0.0156	0.532051282051282
D1	D8	P8_grad_band_firing	P7_UNIFIED_C4_FIRE_density	0.0083	0.0914	0.09080962800875274
D1	D9	P8_grad_band_firing	P7_UNIFIED_C4_contrast_recov	0.0083	0.0914	0.09080962800875274
D1	D10	P8_grad_band_firing	P8_operationally_actionable	0.0083	0.78	0.01064102564102564
D1	D11	P8_grad_band_firing	P8_escalation_value_density	0.0083	1.0	0.0083
D2	D3	P7_step_rejection	P5_cells_with_seed_pass	0.5	0.3673	1.361285053090117
D2	D4	P7_step_rejection	P7_per_prompt_boundary	0.5	0.7293	0.6855889208830386
D2	D5	P7_step_rejection	P8_iso_ECE_gt_010	0.5	1.0	0.5
D2	D6	P7_step_rejection	P8_sensor_firing_flip	0.5	0.0053	94.33962264150944
D2	D7	P7_step_rejection	N2_algo_axis_spread_gt_500	0.5	0.0156	32.05128205128205
D2	D8	P7_step_rejection	P7_UNIFIED_C4_FIRE_density	0.5	0.0914	5.470459518599562
D2	D9	P7_step_rejection	P7_UNIFIED_C4_contrast_recov	0.5	0.0914	5.470459518599562
D2	D10	P7_step_rejection	P8_operationally_actionable	0.5	0.78	0.641025641025641
D2	D11	P7_step_rejection	P8_escalation_value_density	0.5	1.0	0.5
D3	D4	P5_cells_with_seed_pass	P7_per_prompt_boundary	0.3673	0.7293	0.5036336212806801
D3	D5	P5_cells_with_seed_pass	P8_iso_ECE_gt_010	0.3673	1.0	0.3673
D3	D6	P5_cells_with_seed_pass	P8_sensor_firing_flip	0.3673	0.0053	69.30188679245283
