rate_pct	tier	fset	k_pareto_seeds	n_seeds	achievable
1.44	cheap_heuristic	24full	0	5	0
1.44	cheap_heuristic	20raw	0	5	0
1.44	cheap_heuristic	20raw+minmax	0	5	0
1.44	cheap_heuristic	20raw+stat	0	5	0
1.44	small_open	24full	0	5	0
1.44	small_open	20raw	0	5	0
1.44	small_open	20raw+minmax	0	5	0
1.44	small_open	20raw+stat	0	5	0
1.44	iter120_default	24full	0	5	0
1.44	iter120_default	20raw	0	5	0
1.44	iter120_default	20raw+minmax	0	5	0
1.44	iter120_default	20raw+stat	0	5	0
1.44	mid_tier	24full	0	5	0
1.44	mid_tier	20raw	0	5	0
1.44	mid_tier	20raw+minmax	0	5	0
1.44	mid_tier	20raw+stat	0	5	0
1.44	frontier_gpt4	24full	0	5	0
1.44	frontier_gpt4	20raw	0	5	0
1.44	frontier_gpt4	20raw+minmax	0	5	0
1.44	frontier_gpt4	20raw+stat	0	5	0
1.0	cheap_heuristic	24full	0	5	0
1.0	cheap_heuristic	20raw	0	5	0
1.0	cheap_heuristic	20raw+minmax	0	5	0
1.0	cheap_heuristic	20raw+stat	0	5	0
1.0	small_open	24full	0	5	0
1.0	small_open	20raw	0	5	0
1.0	small_open	20raw+minmax	0	5	0
1.0	small_open	20raw+stat	0	5	0
1.0	iter120_default	24full	0	5	0
1.0	iter120_default	20raw	0	5	0
1.0	iter120_default	20raw+minmax	0	5	0
1.0	iter120_default	20raw+stat	0	5	0
1.0	mid_tier	24full	0	5	0
1.0	mid_tier	20raw	0	5	0
1.0	mid_tier	20raw+minmax	0	5	0
1.0	mid_tier	20raw+stat	0	5	0
1.0	frontier_gpt4	24full	0	5	0
1.0	frontier_gpt4	20raw	0	5	0
1.0	frontier_gpt4	20raw+minmax	0	5	0
1.0	frontier_gpt4	20raw+stat	0	5	0
0.5	cheap_heuristic	24full	0	5	0
0.5	cheap_heuristic	20raw	0	5	0
0.5	cheap_heuristic	20raw+minmax	0	5	0
0.5	cheap_heuristic	20raw+stat	0	5	0
0.5	small_open	24full	0	5	0
0.5	small_open	20raw	0	5	0
0.5	small_open	20raw+minmax	0	5	0
0.5	small_open	20raw+stat	0	5	0
0.5	iter120_default	24full	0	5	0
0.5	iter120_default	20raw	0	5	0
0.5	iter120_default	20raw+minmax	0	5	0
0.5	iter120_default	20raw+stat	0	5	0
0.5	mid_tier	24full	0	5	0
0.5	mid_tier	20raw	0	5	0
0.5	mid_tier	20raw+minmax	0	5	0
0.5	mid_tier	20raw+stat	0	5	0
0.5	frontier_gpt4	24full	0	5	0
0.5	frontier_gpt4	20raw	0	5	0
0.5	frontier_gpt4	20raw+minmax	0	5	0
0.5	frontier_gpt4	20raw+stat	0	5	0
0.1	cheap_heuristic	24full	0	5	0
0.1	cheap_heuristic	20raw	0	5	0
0.1	cheap_heuristic	20raw+minmax	0	5	0
0.1	cheap_heuristic	20raw+stat	0	5	0
0.1	small_open	24full	0	5	0
0.1	small_open	20raw	0	5	0
0.1	small_open	20raw+minmax	0	5	0
0.1	small_open	20raw+stat	0	5	0
0.1	iter120_default	24full	0	5	0
0.1	iter120_default	20raw	0	5	0
0.1	iter120_default	20raw+minmax	0	5	0
0.1	iter120_default	20raw+stat	0	5	0
0.1	mid_tier	24full	0	5	0
0.1	mid_tier	20raw	0	5	0
0.1	mid_tier	20raw+minmax	0	5	0
0.1	mid_tier	20raw+stat	0	5	0
0.1	frontier_gpt4	24full	0	5	0
0.1	frontier_gpt4	20raw	0	5	0
0.1	frontier_gpt4	20raw+minmax	0	5	0
0.1	frontier_gpt4	20raw+stat	0	5	0
0.05	cheap_heuristic	24full	0	5	0
0.05	cheap_heuristic	20raw	0	5	0
0.05	cheap_heuristic	20raw+minmax	0	5	0
0.05	cheap_heuristic	20raw+stat	0	5	0
0.05	small_open	24full	0	5	0
0.05	small_open	20raw	0	5	0
0.05	small_open	20raw+minmax	0	5	0
0.05	small_open	20raw+stat	0	5	0
0.05	iter120_default	24full	0	5	0
0.05	iter120_default	20raw	0	5	0
0.05	iter120_default	20raw+minmax	0	5	0
0.05	iter120_default	20raw+stat	0	5	0
0.05	mid_tier	24full	0	5	0
0.05	mid_tier	20raw	0	5	0
0.05	mid_tier	20raw+minmax	0	5	0
0.05	mid_tier	20raw+stat	0	5	0
0.05	frontier_gpt4	24full	0	5	0
0.05	frontier_gpt4	20raw	0	5	0
0.05	frontier_gpt4	20raw+minmax	0	5	0
0.05	frontier_gpt4	20raw+stat	0	5	0
