method	step	prompt	stable	p_hat
grpo	0	0	1	1.0000
grpo	0	1	0	0.7500
grpo	0	2	1	1.0000
grpo	0	3	1	1.0000
grpo	0	4	1	1.0000
grpo	0	5	1	1.0000
grpo	0	6	1	1.0000
grpo	0	7	1	1.0000
grpo	0	8	1	1.0000
grpo	0	9	0	0.1250
grpo	0	10	0	0.8750
grpo	0	11	0	0.1250
grpo	0	12	1	1.0000
grpo	0	13	1	1.0000
grpo	0	14	0	0.1250
grpo	0	15	1	1.0000
grpo	1	16	0	0.8750
grpo	1	17	0	0.2500
grpo	1	18	0	0.5000
grpo	1	19	1	1.0000
grpo	1	20	1	1.0000
grpo	1	21	1	1.0000
grpo	1	22	1	1.0000
grpo	1	23	0	0.8750
grpo	1	24	1	1.0000
grpo	1	25	0	0.8750
grpo	1	26	0	0.7500
grpo	1	27	1	1.0000
grpo	1	28	1	1.0000
grpo	1	29	0	0.5000
grpo	1	30	1	1.0000
grpo	1	31	0	0.5000
grpo	2	32	0	0.7500
grpo	2	33	1	1.0000
grpo	2	34	0	0.8750
grpo	2	35	1	1.0000
grpo	2	36	0	0.5000
grpo	2	37	1	1.0000
grpo	2	38	1	0.0000
grpo	2	39	1	1.0000
grpo	2	40	1	1.0000
grpo	2	41	0	0.2500
grpo	2	42	1	1.0000
grpo	2	43	1	1.0000
grpo	2	44	0	0.8750
grpo	2	45	1	1.0000
grpo	2	46	1	1.0000
grpo	2	47	1	1.0000
grpo	3	48	1	1.0000
grpo	3	49	1	1.0000
grpo	3	50	1	1.0000
grpo	3	51	0	0.8750
grpo	3	52	1	0.0000
grpo	3	53	1	1.0000
grpo	3	54	0	0.7500
grpo	3	55	1	1.0000
grpo	3	56	1	0.0000
grpo	3	57	1	1.0000
grpo	3	58	1	1.0000
grpo	3	59	1	1.0000
grpo	3	60	1	1.0000
grpo	3	61	0	0.8750
grpo	3	62	0	0.2500
grpo	3	63	1	1.0000
grpo	4	64	0	0.7500
grpo	4	65	0	0.7500
grpo	4	66	1	0.0000
grpo	4	67	0	0.1250
grpo	4	68	1	1.0000
grpo	4	69	1	1.0000
grpo	4	70	1	1.0000
grpo	4	71	1	1.0000
grpo	4	72	1	1.0000
grpo	4	73	1	1.0000
grpo	4	74	1	1.0000
grpo	4	75	1	1.0000
grpo	4	76	1	1.0000
grpo	4	77	0	0.7500
grpo	4	78	1	1.0000
grpo	4	79	0	0.5000
grpo	5	80	1	1.0000
grpo	5	81	0	0.1250
grpo	5	82	0	0.7500
grpo	5	83	1	1.0000
grpo	5	84	1	1.0000
grpo	5	85	1	1.0000
grpo	5	86	0	0.1250
grpo	5	87	0	0.5000
grpo	5	88	1	1.0000
grpo	5	89	1	1.0000
grpo	5	90	0	0.5000
grpo	5	91	1	0.0000
grpo	5	92	1	1.0000
grpo	5	93	1	1.0000
grpo	5	94	1	1.0000
grpo	5	95	1	0.0000
grpo	6	96	1	1.0000
grpo	6	97	1	1.0000
grpo	6	98	1	1.0000
grpo	6	99	1	0.0000
grpo	6	100	0	0.2500
grpo	6	101	1	1.0000
grpo	6	102	0	0.8750
grpo	6	103	1	1.0000
grpo	6	104	1	1.0000
grpo	6	105	1	1.0000
grpo	6	106	1	1.0000
grpo	6	107	1	1.0000
grpo	6	108	1	1.0000
grpo	6	109	1	0.0000
grpo	6	110	0	0.6250
grpo	6	111	1	1.0000
grpo	7	112	1	1.0000
grpo	7	113	1	1.0000
grpo	7	114	1	0.0000
grpo	7	115	1	1.0000
grpo	7	116	0	0.1250
grpo	7	117	0	0.7500
grpo	7	118	1	1.0000
grpo	7	119	1	1.0000
grpo	7	120	0	0.1250
grpo	7	121	1	1.0000
grpo	7	122	1	1.0000
grpo	7	123	1	1.0000
grpo	7	124	0	0.8750
grpo	7	125	0	0.5000
grpo	7	126	1	1.0000
grpo	7	127	1	0.0000
grpo	8	128	1	1.0000
grpo	8	129	1	1.0000
grpo	8	130	1	1.0000
grpo	8	131	0	0.6250
grpo	8	132	1	1.0000
grpo	8	133	0	0.8750
grpo	8	134	1	1.0000
grpo	8	135	0	0.2500
grpo	8	136	1	1.0000
grpo	8	137	0	0.1250
grpo	8	138	1	1.0000
grpo	8	139	1	1.0000
grpo	8	140	0	0.1250
grpo	8	141	0	0.3750
grpo	8	142	0	0.2500
grpo	8	143	1	1.0000
grpo	9	144	1	1.0000
grpo	9	145	1	1.0000
grpo	9	146	1	1.0000
grpo	9	147	0	0.7500
grpo	9	148	1	1.0000
grpo	9	149	0	0.8750
grpo	9	150	1	1.0000
grpo	9	151	1	1.0000
grpo	9	152	0	0.6250
grpo	9	153	1	1.0000
grpo	9	154	1	1.0000
grpo	9	155	0	0.1250
grpo	9	156	1	1.0000
grpo	9	157	1	1.0000
grpo	9	158	0	0.7500
grpo	9	159	1	1.0000
grpo	10	160	1	1.0000
grpo	10	161	1	1.0000
grpo	10	162	1	1.0000
grpo	10	163	1	1.0000
grpo	10	164	0	0.8750
grpo	10	165	1	1.0000
grpo	10	166	1	1.0000
grpo	10	167	0	0.3750
grpo	10	168	0	0.8750
grpo	10	169	0	0.2500
grpo	10	170	1	1.0000
grpo	10	171	1	1.0000
grpo	10	172	1	1.0000
grpo	10	173	1	1.0000
grpo	10	174	0	0.7500
grpo	10	175	1	1.0000
grpo	11	176	1	1.0000
grpo	11	177	1	0.0000
grpo	11	178	1	1.0000
grpo	11	179	1	1.0000
grpo	11	180	1	1.0000
grpo	11	181	0	0.5000
grpo	11	182	1	1.0000
grpo	11	183	0	0.7500
grpo	11	184	0	0.8750
grpo	11	185	0	0.5000
grpo	11	186	1	1.0000
grpo	11	187	1	1.0000
grpo	11	188	1	0.0000
grpo	11	189	1	0.0000
grpo	11	190	0	0.8750
grpo	11	191	1	1.0000
grpo	12	192	1	1.0000
grpo	12	193	1	1.0000
grpo	12	194	0	0.7500
grpo	12	195	1	1.0000
grpo	12	196	1	1.0000
grpo	12	197	1	1.0000
grpo	12	198	1	1.0000
grpo	12	199	1	1.0000
grpo	12	200	1	1.0000
grpo	12	201	1	1.0000
grpo	12	202	0	0.6250
grpo	12	203	0	0.7500
grpo	12	204	1	1.0000
grpo	12	205	1	1.0000
grpo	12	206	1	1.0000
grpo	12	207	1	1.0000
grpo	13	208	1	1.0000
grpo	13	209	1	1.0000
grpo	13	210	0	0.8750
grpo	13	211	1	1.0000
grpo	13	212	1	1.0000
grpo	13	213	0	0.8750
grpo	13	214	1	1.0000
grpo	13	215	1	1.0000
grpo	13	216	0	0.2500
grpo	13	217	1	1.0000
grpo	13	218	0	0.8750
grpo	13	219	0	0.6250
grpo	13	220	0	0.5000
grpo	13	221	1	0.0000
grpo	13	222	1	0.0000
grpo	13	223	0	0.8750
grpo	14	224	0	0.7500
grpo	14	225	1	1.0000
grpo	14	226	1	1.0000
grpo	14	227	1	1.0000
grpo	14	228	1	1.0000
grpo	14	229	1	1.0000
grpo	14	230	1	1.0000
grpo	14	231	1	1.0000
grpo	14	232	0	0.8750
grpo	14	233	0	0.5000
grpo	14	234	1	1.0000
grpo	14	235	0	0.8750
grpo	14	236	1	1.0000
grpo	14	237	1	1.0000
grpo	14	238	1	0.0000
grpo	14	239	1	1.0000
grpo	15	240	1	1.0000
grpo	15	241	0	0.6250
grpo	15	242	1	1.0000
grpo	15	243	1	1.0000
grpo	15	244	0	0.1250
grpo	15	245	1	1.0000
grpo	15	246	0	0.3750
grpo	15	247	1	1.0000
grpo	15	248	1	1.0000
grpo	15	249	1	1.0000
grpo	15	250	0	0.5000
grpo	15	251	1	1.0000
grpo	15	252	1	1.0000
grpo	15	253	1	1.0000
grpo	15	254	1	1.0000
grpo	15	255	1	1.0000
grpo	16	256	1	1.0000
grpo	16	257	1	1.0000
grpo	16	258	1	0.0000
grpo	16	259	1	0.0000
grpo	16	260	1	1.0000
grpo	16	261	1	1.0000
grpo	16	262	1	1.0000
grpo	16	263	0	0.6250
grpo	16	264	0	0.2500
grpo	16	265	0	0.8750
grpo	16	266	1	1.0000
grpo	16	267	0	0.6250
grpo	16	268	1	1.0000
grpo	16	269	0	0.7500
grpo	16	270	0	0.6250
grpo	16	271	1	1.0000
grpo	17	272	1	1.0000
grpo	17	273	0	0.8750
grpo	17	274	1	1.0000
grpo	17	275	1	1.0000
grpo	17	276	1	1.0000
grpo	17	277	1	1.0000
grpo	17	278	1	1.0000
grpo	17	279	0	0.6250
grpo	17	280	0	0.7500
grpo	17	281	0	0.2500
grpo	17	282	0	0.7500
grpo	17	283	1	1.0000
grpo	17	284	1	1.0000
grpo	17	285	0	0.5000
grpo	17	286	0	0.8750
grpo	17	287	0	0.8750
grpo	18	288	0	0.5000
grpo	18	289	0	0.6250
grpo	18	290	1	1.0000
grpo	18	291	0	0.3750
grpo	18	292	0	0.7500
grpo	18	293	1	0.0000
grpo	18	294	1	1.0000
grpo	18	295	1	1.0000
grpo	18	296	1	0.0000
grpo	18	297	1	1.0000
grpo	18	298	0	0.6250
grpo	18	299	0	0.7500
grpo	18	300	1	1.0000
grpo	18	301	0	0.7500
grpo	18	302	1	0.0000
grpo	18	303	1	1.0000
grpo	19	304	1	1.0000
grpo	19	305	0	0.8750
grpo	19	306	1	1.0000
grpo	19	307	1	1.0000
grpo	19	308	1	1.0000
grpo	19	309	0	0.3750
grpo	19	310	1	1.0000
grpo	19	311	1	0.0000
grpo	19	312	0	0.8750
grpo	19	313	1	1.0000
grpo	19	314	0	0.8750
grpo	19	315	1	1.0000
grpo	19	316	1	1.0000
grpo	19	317	0	0.3750
grpo	19	318	0	0.1250
grpo	19	319	1	1.0000
grpo	20	320	1	1.0000
grpo	20	321	1	1.0000
grpo	20	322	1	1.0000
grpo	20	323	1	1.0000
grpo	20	324	1	1.0000
grpo	20	325	0	0.8750
grpo	20	326	1	1.0000
grpo	20	327	1	1.0000
grpo	20	328	1	1.0000
grpo	20	329	1	1.0000
grpo	20	330	0	0.5000
grpo	20	331	0	0.7500
grpo	20	332	0	0.2500
grpo	20	333	1	1.0000
grpo	20	334	0	0.2500
grpo	20	335	0	0.6250
grpo	21	336	0	0.8750
grpo	21	337	1	1.0000
grpo	21	338	1	1.0000
grpo	21	339	1	1.0000
grpo	21	340	1	1.0000
grpo	21	341	1	1.0000
grpo	21	342	1	1.0000
grpo	21	343	0	0.3750
grpo	21	344	1	1.0000
grpo	21	345	1	1.0000
grpo	21	346	1	1.0000
grpo	21	347	1	0.0000
grpo	21	348	0	0.6250
grpo	21	349	1	1.0000
grpo	21	350	0	0.8750
grpo	21	351	1	1.0000
grpo	22	352	1	1.0000
grpo	22	353	0	0.7500
grpo	22	354	1	1.0000
grpo	22	355	0	0.6250
grpo	22	356	0	0.6250
grpo	22	357	1	1.0000
grpo	22	358	1	1.0000
grpo	22	359	1	1.0000
grpo	22	360	0	0.1250
grpo	22	361	1	1.0000
grpo	22	362	1	1.0000
grpo	22	363	1	1.0000
grpo	22	364	1	1.0000
grpo	22	365	1	1.0000
grpo	22	366	1	1.0000
grpo	22	367	1	1.0000
grpo	23	368	1	1.0000
grpo	23	369	1	1.0000
grpo	23	370	1	1.0000
grpo	23	371	1	1.0000
grpo	23	372	1	1.0000
grpo	23	373	1	1.0000
grpo	23	374	0	0.2500
grpo	23	375	1	1.0000
grpo	23	376	1	1.0000
grpo	23	377	1	1.0000
grpo	23	378	0	0.8750
grpo	23	379	1	1.0000
grpo	23	380	1	1.0000
grpo	23	381	1	1.0000
grpo	23	382	1	1.0000
grpo	23	383	1	0.0000
grpo	24	384	0	0.8750
grpo	24	385	1	1.0000
grpo	24	386	1	1.0000
grpo	24	387	1	1.0000
grpo	24	388	0	0.1250
grpo	24	389	1	1.0000
grpo	24	390	1	1.0000
grpo	24	391	1	1.0000
grpo	24	392	1	1.0000
grpo	24	393	1	1.0000
grpo	24	394	1	1.0000
grpo	24	395	1	1.0000
grpo	24	396	0	0.8750
grpo	24	397	1	1.0000
grpo	24	398	1	1.0000
grpo	24	399	1	1.0000
grpo	25	400	1	1.0000
grpo	25	401	1	1.0000
grpo	25	402	0	0.5000
grpo	25	403	1	1.0000
grpo	25	404	1	1.0000
grpo	25	405	1	1.0000
grpo	25	406	0	0.2500
grpo	25	407	1	1.0000
grpo	25	408	1	1.0000
grpo	25	409	1	1.0000
grpo	25	410	0	0.6250
grpo	25	411	1	1.0000
grpo	25	412	0	0.1250
grpo	25	413	0	0.3750
grpo	25	414	0	0.8750
grpo	25	415	0	0.8750
grpo	26	416	1	1.0000
grpo	26	417	1	1.0000
grpo	26	418	1	1.0000
grpo	26	419	1	0.0000
grpo	26	420	0	0.8750
grpo	26	421	0	0.2500
grpo	26	422	1	1.0000
grpo	26	423	0	0.8750
grpo	26	424	1	1.0000
grpo	26	425	1	1.0000
grpo	26	426	1	1.0000
grpo	26	427	1	1.0000
grpo	26	428	1	1.0000
grpo	26	429	1	1.0000
grpo	26	430	1	1.0000
grpo	26	431	1	1.0000
grpo	27	432	1	1.0000
grpo	27	433	1	1.0000
grpo	27	434	1	1.0000
grpo	27	435	1	1.0000
grpo	27	436	1	1.0000
grpo	27	437	1	1.0000
grpo	27	438	1	1.0000
grpo	27	439	1	1.0000
grpo	27	440	1	1.0000
grpo	27	441	1	1.0000
grpo	27	442	1	1.0000
grpo	27	443	1	1.0000
grpo	27	444	1	1.0000
grpo	27	445	1	1.0000
grpo	27	446	0	0.5000
grpo	27	447	1	1.0000
grpo	28	448	0	0.8750
grpo	28	449	1	1.0000
grpo	28	450	1	1.0000
grpo	28	451	1	1.0000
grpo	28	452	1	1.0000
grpo	28	453	1	1.0000
grpo	28	454	1	1.0000
