scope	pillar	n_findings	D17a_reproducible_rate	D17a_ci_lo	D17a_ci_hi	D17b_pass_ratio	D17c_count	D17d_mean_claim_len	layer
ALL	P5	8	0.0	0.0	0.3244	0.4333	8	1843.5	LOW
ALL	P6	10	0.1	0.0179	0.4042	0.9	10	1442	LOW
ALL	P7	9	0.1111	0.0199	0.435	0.6	9	1538.1	MID
ALL	P8	6	0.1667	0.0301	0.5635	0.5	6	1365.7	MID
ALL	P5P8-SYNTH	6	0.0	0.0	0.3903	0.5	6	1110.5	LOW
VERIFIED	P5	1	0.0	0.0	0.7935	0.8	1	1246	LOW
VERIFIED	P6	2	0.5	0.0945	0.9055	0.9	2	772.5	HIGH
VERIFIED	P7	2	0.5	0.0945	0.9055	0.9	2	584.5	HIGH
VERIFIED	P8	2	0.5	0.0945	0.9055	0.5	2	379.5	HIGH
VERIFIED	P5P8-SYNTH	2	0.0	0.0	0.6576	0.5	2	329.5	LOW
