pillar	iter	n_pass	n_total	n_fail	reproducible	pass_ratio	n_verdict_keys
P5	137	0	0	0	0	NA	0
P5	141	0	0	0	0	NA	0
P5	145	98	196	98	0	0.5	0
P5	153	0	0	0	0	NA	0
P5	157	0	0	0	0	NA	0
P5	?	0	8	8	0	0.0	0
P5	?	0	0	0	0	NA	0
P5	177	4	5	1	0	0.8	5
P6	?	0	0	0	0	NA	0
P6	142	0	0	0	0	NA	0
P6	146	0	0	0	0	NA	0
P6	150	0	0	0	0	NA	0
P6	154	0	0	0	0	NA	0
P6	158	0	0	0	0	NA	0
P6	166	0	0	0	0	NA	0
P6	170	0	0	0	0	NA	0
P6	174	4	5	1	0	0.8	5
P6	178	5	5	0	1	1.0	5
P7	139	0	0	0	0	NA	0
P7	143	0	0	0	0	NA	0
P7	147	0	0	0	0	NA	0
P7	151	0	0	0	0	NA	0
P7	155	0	0	0	0	NA	0
P7	159	0	8	8	0	0.0	0
P7	?	0	0	0	0	NA	0
P7	171	8	8	0	1	1.0	8
P7	179	4	5	1	0	0.8	5
P8	140	0	0	0	0	NA	0
P8	144	0	0	0	0	NA	0
P8	148	0	0	0	0	NA	0
P8	160	0	0	0	0	NA	0
P8	172	0	4	4	0	0.0	4
P8	176	6	6	0	1	1.0	6
P5P8-SYNTH	140	0	0	0	0	NA	0
P5P8-SYNTH	144	0	0	0	0	NA	0
P5P8-SYNTH	148	0	0	0	0	NA	0
P5P8-SYNTH	160	0	0	0	0	NA	0
P5P8-SYNTH	172	1	4	3	0	0.25	4
P5P8-SYNTH	176	3	4	1	0	0.75	4
