model	params_B	arch	n_steps	model_form	n_params	rss	aic	bic	delta_aic_vs_best	is_best_aic	params_json
Qwen3.5-4B	4.0	dense	30	constant	1	1.3901041666666663	-90.15456091838377	-88.75336353672161	0.0	1	"{""c"": 0.8166666666666667}"
Qwen3.5-4B	4.0	dense	30	linear	2	1.390088524286244	-88.15489850031771	-85.3525037369934	1.9996624180660518	0	"{""a"": 0.8153735632183915, ""b"": 8.342602892097641e-05}"
Qwen3.5-4B	4.0	dense	30	saturation	2	1.3901177627565708	-88.15426750101818	-85.35187273769387	2.000293417365583	0	"{""R_max"": 0.8166676249960627, ""lam"": 9.999999996946055}"
Qwen3.5-4B	4.0	dense	30	logistic	3	1.3903216318962353	-86.14986814297954	-81.94627599799307	4.004692775404223	0	"{""L"": 1.6207491152521223, ""k"": 0.0010000000000000002, ""t0"": 4.4059385832764114e-05}"
Qwen3-8B	8.0	dense	30	constant	1	0.8647135416666668	-104.39663122789479	-102.99543384623263	0.0	1	"{""c"": 0.28541666666666665}"
Qwen3-8B	8.0	dense	30	linear	2	0.8419273730070448	-103.19776716374668	-100.39537240042236	1.1988640641481112	0	"{""a"": 0.2360632183908046, ""b"": 0.003184093437152392}"
Qwen3-8B	8.0	dense	30	saturation	2	0.8647158631928232	-102.3965506859721	-99.59415592264779	2.000080541922685	0	"{""R_max"": 0.2854169629940736, ""lam"": 9.999999998367802}"
Qwen3-8B	8.0	dense	30	logistic	3	0.8411569610458196	-101.22523145651364	-97.02163931152717	3.1713997713811466	0	"{""L"": 0.7034069242415667, ""k"": 0.019729964415660908, ""t0"": 34.999999999483634}"
Llama-3.1-8B-Instruct	8.0	dense	30	constant	1	0.7996093749999998	-106.74488000423423	-105.34368262257208	0.0	1	"{""c"": 0.86875}"
Llama-3.1-8B-Instruct	8.0	dense	30	linear	2	0.768167755839822	-105.94833557798998	-103.14594081466566	0.7965444262442531	0	"{""a"": 0.9267241349088938, ""b"": -0.003740266768315729}"
Llama-3.1-8B-Instruct	8.0	dense	30	saturation	2	0.7996197298528109	-104.74449151007364	-101.94209674674933	2.000388494160589	0	"{""R_max"": 0.8687511159659258, ""lam"": 9.999999994107732}"
Llama-3.1-8B-Instruct	8.0	dense	30	logistic	3	0.8072727956207412	-102.45873038373355	-98.2551382387471	4.28614962050068	0	"{""L"": 1.7238307488835394, ""k"": 0.0010000000000000002, ""t0"": 1.567720201064212e-06}"
DeepSeek-V3.1	685.0	MoE	20	constant	1	0.37109375	-77.74065652866025	-76.74492425510626	0.0	1	"{""c"": 0.84375}"
DeepSeek-V3.1	685.0	MoE	20	linear	2	0.3710878759398497	-75.74097311209187	-73.74950856498388	1.9996834165683879	0	"{""a"": 0.8427631578947377, ""b"": 9.398496240593729e-05}"
DeepSeek-V3.1	685.0	MoE	20	saturation	2	0.37109614564496946	-75.74052741642181	-73.74906286931383	2.00012911223844	0	"{""R_max"": 0.8437518443744096, ""lam"": 9.999999999993051}"
DeepSeek-V3.1	685.0	MoE	20	logistic	3	0.3711584051476257	-73.7371722600143	-70.74997543935233	4.003484268645948	0	"{""L"": 1.6786765973590208, ""k"": 0.0010000000000000085, ""t0"": 0.0003182032857032835}"
Nemotron-120B	120.0	dense	20	constant	1	1.2	-54.268214335200724	-53.272482061646734	0.0	1	"{""c"": 0.175}"
Nemotron-120B	120.0	dense	20	linear	2	1.1953947368421054	-52.34511637996283	-50.35365183285485	1.9230979552378926	0	"{""a"": 0.1473684210526316, ""b"": 0.0026315789473684197}"
Nemotron-120B	120.0	dense	20	saturation	2	1.1835852640979714	-52.54368164313762	-50.552217096029636	1.7245326920631072	0	"{""R_max"": 0.18204168776647722, ""lam"": 0.9902420558411336}"
Nemotron-120B	120.0	dense	20	logistic	3	1.1951302450761658	-50.349542048282885	-47.362345227620914	3.9186722869178396	0	"{""L"": 0.4343265866758563, ""k"": 0.02733942387029214, ""t0"": 24.9999999616222}"
