model	params_B	arch	n	mean_reward	var_reward	acf0	acf1	acf2	acf3	acf4	acf5	acf6	acf7	acf8	tau_int	n_eff	n_eff_frac
Qwen3.5-4B	4.0	dense	30	0.8166666666666667	0.04633680555555554	1.0	-0.1257149993755464	0.11087798176595487	-0.09595354065192956	-0.031335081803422	-0.17634569751467472	-0.08962158111652306	-0.010016235793680503	0.16194579742725118	1.0	30.0	1.0
Qwen3-8B	8.0	dense	30	0.28541666666666665	0.028823784722222228	1.0	-0.2727952617577673	0.3116598905787281	-0.24422526727902424	0.11180043166189832	-0.27302615068011843	0.05905737087787985	-0.08694975656276664	0.16457360839231036	1.0	30.0	1.0
Llama-3.1-8B-Instruct	8.0	dense	30	0.86875	0.02665364583333333	1.0	-0.03277967757694187	0.11861260381045435	0.028676111382510992	0.10630190522716175	-0.13507572056668296	0.0026380068392769913	0.09785051294577433	0.22970200293111873	1.8318514899853446	16.37687343324977	0.5458957811083257
Qwen3-32B	32.0	dense	3	0.24966666666666668	0.007770888888888889	1.0	-0.16666666666666669	-0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0
Qwen3.5-27B	27.0	dense	3	0.43733333333333335	0.10152088888888888	1.0	-0.32098630312900395	-0.17901369687099616	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0
gpt-oss-20B	20.0	moe	30	0.8395833333333333	0.037157118055555556	1.0	-0.2762099443211464	0.0430712922945139	0.01297745590468406	-0.29652299186232134	0.21303975392282834	-0.17460577035393057	-0.06324416929486429	0.3221508390764318	1.0	30.0	1.0
Qwen3-30B-MoE	30.0	moe	5	0.3252	0.028820160000000004	1.0	-0.4958684476422059	0.18139746621809175	-0.07813086395078997	-0.10739815462509575	0.0	0.0	0.0	0.0	1.0	5.0	1.0
Qwen3-30B-MoE-Inst	30.0	moe	3	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0
DeepSeek-V3.1	685.0	moe	20	0.84375	0.0185546875	1.0	-0.10789473684210527	0.15263157894736842	-0.060526315789473685	-0.43157894736842106	0.07105263157894737	-0.3526315789473684	0.04473684210526316	-0.17894736842105263	1.0	20.0	1.0
Nemotron-120B	120.0	dense	20	0.175	0.06	1.0	-0.020312499999999997	-0.3375	-0.13124999999999998	-0.0005208333333333165	0.13020833333333331	-0.0020833333333333585	-0.15260416666666665	-0.040104166666666656	1.0	20.0	1.0
Qwen3-235B-MoE	235.0	moe	4	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0
Kimi-K2-Thinking	1000.0	moe	20	0.85	0.0290625	1.0	-0.15698924731182795	0.46021505376344074	-0.23978494623655916	0.022580645161290294	-0.005376344086021509	-0.11935483870967742	0.19677419354838716	-0.21827956989247313	1.0	20.0	1.0
