anchor	axis	n_steps	best_family	sat_aic	pow_aic	lin_aic	log_aic	zero_aic	sat_converged
Qwen3.5-4B	step	30	zero	-3.017955508738698	-3.396710703207403	-3.018586508037343	-2.146719853279601	-5.018248926103404	True
Qwen3.5-4B	compute_Mtok	30	zero	45.57917452443319	-3.396710703019207	-3.018586508037343	-2.146719853279601	-5.018248926103404	True
Qwen3-8B	step	30	zero	-17.260238693691875	-17.473797492773677	-18.061455171466314	nan	-19.26031923561442	True
Qwen3-8B	compute_Mtok	30	zero	-9.085853856555804	-17.473797498101497	-18.061455171466314	nan	-19.26031923561442	True
Llama-3.1-8B-Instruct	step	30	power_law	-19.608179517795527	-21.627567797726826	-20.812023585709618	-20.43184994397654	-21.608568011953864	True
Llama-3.1-8B-Instruct	compute_Mtok	30	power_law	49.66889260851856	-21.627567797726826	-20.812023585709618	-20.43184994397654	-21.608568011953864	True
Qwen3-32B	step	3	zero	nan	nan	nan	nan	-4.058480963866088	True
Qwen3-32B	compute_Mtok	3	zero	nan	nan	nan	nan	-4.058480963866088	True
Qwen3.5-27B	step	3	zero	nan	nan	nan	nan	3.6511590997871806	True
Qwen3.5-27B	compute_Mtok	3	zero	nan	nan	nan	nan	3.6511590997871806	True
gpt-oss-20B	step	30	zero	-10.857416652999758	-10.229499652474626	-10.411882346792675	-9.908822321199061	-11.641685699561261	True
gpt-oss-20B	compute_Mtok	30	zero	44.86610050953553	-10.229499652474614	-10.411882346792675	-9.908822321199061	-11.641685699561261	True
Qwen3-30B-MoE	step	5	zero	-0.48746772149546924	-0.7002708462240426	-0.7810856810459352	-0.07335785024915875	-1.5440153515830897	True
Qwen3-30B-MoE	compute_Mtok	5	zero	4.74077557250574	-0.7002708462260472	-0.7810856810459352	-0.07335785024915875	-1.5440153515830897	True
Qwen3-30B-MoE-Inst	step	3	none	nan	nan	nan	nan	nan	False
Qwen3-30B-MoE-Inst	compute_Mtok	3	none	nan	nan	nan	nan	nan	False
DeepSeek-V3.1	step	20	zero	-18.982986088234682	-18.99961783596375	-18.983431783904955	-18.799900637873698	-20.983115200473343	True
DeepSeek-V3.1	compute_Mtok	20	zero	37.060487346267394	-18.999617835907635	-18.983431783904955	-18.799900637873698	-20.983115200473343	True
Nemotron-120B	step	20	zero	4.21385968755655	4.426303585599042	4.412424948224077	nan	2.489326992986181	True
Nemotron-120B	compute_Mtok	20	zero	5.801409000330086	4.4263035851167585	4.412424948224077	nan	2.489326992986181	True
Qwen3-235B-MoE	step	4	none	nan	nan	nan	nan	nan	False
Qwen3-235B-MoE	compute_Mtok	4	none	nan	nan	nan	nan	nan	False
Kimi-K2-Thinking	step	20	linear	-10.0081921881834	-13.16202034914561	-13.754224413560689	-13.401313108874636	-12.00859058450433	True
Kimi-K2-Thinking	compute_Mtok	20	linear	39.46577404654428	-13.1620203491497	-13.754224413560689	-13.40131310887464	-12.00859058450433	True
