model	model_short	params_B	n_steps	cp1_mean	cp1_sd	cp1_cv	cp2_mean	cp2_sd	cp2_cv	slope1_mean	slope2_mean	slope3_mean	slope1_sd	slope2_sd	slope3_sd	canon_order_rate	spurt_largest_rate	n_boot_succeeded
Qwen3.5-4B	qwen3.5-4b	4.0	30	11.22	6.81	0.607	19.18	6.85	0.357	-0.0164	-0.0117	0.0235	0.1849	0.34	0.1952	0.252	0.516	1000
Qwen3-8B	qwen3-8b	8.0	30	10.34	6.63	0.641	19.36	6.67	0.344	-0.0043	0.0047	0.0023	0.1501	0.213	0.1495	0.26	0.489	1000
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	11.14	7.12	0.639	18.33	7.26	0.396	-0.0279	-0.0157	0.0237	0.1793	0.3217	0.1662	0.273	0.567	1000
Qwen3-32B	qwen3-32b	32.0	3	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1000
Qwen3.5-27B	qwen3.5-27b	27.0	3	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1000
gpt-oss-20B	gpt-oss-20b	20.0	30	10.02	6.63	0.661	19.71	6.72	0.341	-0.0256	-0.0059	0.0215	0.164	0.1701	0.1625	0.2	0.389	1000
Qwen3-30B-MoE	qwen3-30b-moe	30.0	5	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1000
Qwen3-30B-MoE-Inst	qwen3-30b-moe-inst	30.0	3	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1000
DeepSeek-V3.1	deepseek-v3.1	685.0	20	7.18	4.09	0.569	13.21	4.01	0.303	-0.0105	-0.0043	0.0093	0.1344	0.2082	0.1351	0.244	0.477	1000
Nemotron-120B	nemotron-120b	120.0	20	7.06	4.27	0.605	12.8	4.33	0.339	0.0291	-0.0004	-0.0269	0.2716	0.4463	0.2852	0.251	0.494	1000
Qwen3-235B-MoE	qwen3-235b-moe	235.0	4	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1000
Kimi-K2-Thinking	kimi-k2	1000.0	20	7.28	4.16	0.572	12.89	4.09	0.317	-0.0202	0.0016	0.0223	0.1882	0.2955	0.1934	0.26	0.523	1000
