model	params_B	n_steps	family	n_params	rmse_in_sample	r2_in_sample	aic	bic	loocv_rmse	loocv_mae	forecast_mae_last4	forecast_rmse_last4
Qwen3.5-4B	4.0	30	constant	1	0.215260	0.000000	-90.154561	-88.753364	0.222683	0.193103	0.192308	0.192488
Qwen3.5-4B	4.0	30	1seg_ols	2	0.215259	0.000011	-88.154898	-85.352504	0.229374	0.199795	0.224744	0.232048
Qwen3.5-4B	4.0	30	saturation	2	0.291605	-0.835123	-69.941222	-67.138827	0.296978	0.248783	0.192350	0.192537
Qwen3.5-4B	4.0	30	powerlaw	2	0.213999	0.011677	-88.506925	-85.704530	0.226583	0.199147	0.220900	0.227524
Qwen3.5-4B	4.0	30	ar1	3	0.213510	0.016196	-86.644414	-82.440822	0.227120	0.201539	0.183919	0.185081
Qwen3.5-4B	4.0	30	monod	2	0.245677	-0.302580	-80.224156	-77.421761	0.255754	0.234119	0.258186	0.285745
Qwen3.5-4B	4.0	30	gompertz	3	0.219640	-0.041111	-84.945918	-80.742326	0.230605	0.209870	0.215802	0.221300
Qwen3.5-4B	4.0	30	pw2seg	5	0.197228	0.160522	-87.403804	-80.397817	0.271851	0.250984	0.093750	0.187500
Qwen3-8B	8.0	30	constant	1	0.169776	0.000000	-104.396631	-102.995434	0.175630	0.148707	0.171875	0.203022
Qwen3-8B	8.0	30	1seg_ols	2	0.167524	0.026351	-103.197767	-100.395372	0.179847	0.152027	0.172858	0.192907
Qwen3-8B	8.0	30	saturation	2	0.289321	-1.904078	-70.413157	-67.610762	0.280515	0.236470	0.171883	0.203048
Qwen3-8B	8.0	30	powerlaw	2	0.169266	0.005998	-102.577100	-99.774706	0.182488	0.154937	0.171916	0.202063
Qwen3-8B	8.0	30	ar1	3	0.163263	0.075252	-102.743639	-98.540047	0.176907	0.145406	0.170204	0.201746
Qwen3-8B	8.0	30	monod	2	0.290255	-1.922863	-70.219720	-67.417326	0.290255	0.242090	0.309377	0.360069
Qwen3-8B	8.0	30	gompertz	3	0.197641	-0.355195	-91.278271	-87.074679	0.208455	0.163894	0.199719	0.271704
Qwen3-8B	8.0	30	pw2seg	5	0.155994	0.155760	-101.476168	-94.470181	0.257878	0.198909	0.182692	0.208061
Llama-3.1-8B-Instruct	8.0	30	constant	1	0.163259	0.000000	-106.744880	-105.343683	0.168889	0.125431	0.085337	0.101731
Llama-3.1-8B-Instruct	8.0	30	1seg_ols	2	0.160017	0.039321	-105.948336	-103.145941	0.170371	0.127496	0.182452	0.202103
Llama-3.1-8B-Instruct	8.0	30	saturation	2	0.264084	-1.616545	-75.889233	-73.086838	0.267788	0.196222	0.085382	0.101808
Llama-3.1-8B-Instruct	8.0	30	powerlaw	2	0.157891	0.064680	-106.750889	-103.948494	0.166484	0.123545	0.132597	0.156394
Llama-3.1-8B-Instruct	8.0	30	ar1	3	0.163170	0.001098	-102.777843	-98.574251	0.170064	0.127779	0.084517	0.101339
Llama-3.1-8B-Instruct	8.0	30	monod	2	0.181057	-0.229917	-98.536476	-95.734081	0.190090	0.161911	0.152434	0.172707
Llama-3.1-8B-Instruct	8.0	30	gompertz	3	0.165181	-0.023676	-102.042866	-97.839274	0.172066	0.136174	0.099494	0.120923
Llama-3.1-8B-Instruct	8.0	30	pw2seg	5	0.134768	0.318579	-110.252147	-103.246161	0.169978	0.129608	0.546875	0.549325
Qwen3-32B	32.0	3	constant	1	0.088153	0.000000	-12.572112	-13.473500	0.132229	0.124667	nan	nan
Qwen3-32B	32.0	3	1seg_ols	2	0.044076	0.750000	-14.730995	-16.533770	0.161947	0.155833	nan	nan
Qwen3-32B	32.0	3	saturation	2	0.183876	-3.350893	-6.160968	-7.963744	0.195258	0.176311	nan	nan
Qwen3-32B	32.0	3	powerlaw	2	0.054993	0.610823	-13.403275	-15.206050	0.224413	0.208221	nan	nan
Qwen3-32B	32.0	3	ar1	3	0.088153	0.000000	-8.572112	-11.276275	0.132229	0.124667	nan	nan
Qwen3-32B	32.0	3	monod	2	0.155068	-2.094386	-7.183344	-8.986119	0.221103	0.219324	nan	nan
Qwen3-32B	32.0	3	gompertz	3	0.102753	-0.358689	-7.652551	-10.356714	0.187260	0.187260	nan	nan
Qwen3-32B	32.0	3	pw2seg	5	0.044076	0.750000	-8.730995	-13.237933	0.161947	0.155833	nan	nan
Qwen3.5-27B	27.0	3	constant	1	0.318623	0.000000	-4.862472	-5.763860	0.477935	0.437333	nan	nan
Qwen3.5-27B	27.0	3	1seg_ols	2	0.221089	0.518521	-5.055147	-6.857923	0.812332	0.781667	nan	nan
Qwen3.5-27B	27.0	3	saturation	2	0.437454	-0.884990	-0.960705	-2.763480	0.563844	0.559684	nan	nan
Qwen3.5-27B	27.0	3	powerlaw	2	0.252902	0.369988	-4.248521	-6.051297	1.032027	0.957563	nan	nan
Qwen3.5-27B	27.0	3	ar1	3	0.318623	0.000000	-0.862472	-3.566635	0.477935	0.437333	nan	nan
Qwen3.5-27B	27.0	3	monod	2	0.501574	-1.478073	-0.140029	-1.942804	0.698756	0.685400	nan	nan
Qwen3.5-27B	27.0	3	gompertz	3	0.501546	-1.477797	1.859637	-0.844526	0.712980	0.697045	nan	nan
