G	seed	proxy	pearson_r	ci_lo	ci_hi	n_steps
2	42	grad_norm	-0.6067	nan	nan	40
2	42	advantage_variance	-0.5935	nan	nan	40
2	42	entropy	-0.8009	nan	nan	40
2	42	mean_reward	0.7663	nan	nan	40
2	123	grad_norm	-0.8021	nan	nan	40
2	123	advantage_variance	-0.6189	nan	nan	40
2	123	entropy	-0.8556	nan	nan	40
2	123	mean_reward	0.8297	nan	nan	40
2	456	grad_norm	-0.5126	nan	nan	40
2	456	advantage_variance	-0.5521	nan	nan	40
2	456	entropy	-0.8655	nan	nan	40
2	456	mean_reward	0.7894	nan	nan	40
4	42	grad_norm	-0.6142	nan	nan	40
4	42	advantage_variance	-0.4165	nan	nan	40
4	42	entropy	-0.8697	nan	nan	40
4	42	mean_reward	0.8042	nan	nan	40
4	123	grad_norm	-0.268	nan	nan	40
4	123	advantage_variance	-0.4858	nan	nan	40
4	123	entropy	-0.9012	nan	nan	40
4	123	mean_reward	0.8345	nan	nan	40
4	456	grad_norm	-0.7048	nan	nan	40
4	456	advantage_variance	-0.557	nan	nan	40
4	456	entropy	-0.9565	nan	nan	40
4	456	mean_reward	0.9051	nan	nan	40
8	42	grad_norm	-0.6351	nan	nan	40
8	42	advantage_variance	-0.5681	nan	nan	40
8	42	entropy	-0.8707	nan	nan	40
8	42	mean_reward	0.7844	nan	nan	40
8	123	grad_norm	-0.4111	nan	nan	40
8	123	advantage_variance	-0.3517	nan	nan	40
8	123	entropy	-0.9122	nan	nan	40
8	123	mean_reward	0.8439	nan	nan	40
8	456	grad_norm	-0.5894	nan	nan	40
8	456	advantage_variance	-0.4842	nan	nan	40
8	456	entropy	-0.9183	nan	nan	40
8	456	mean_reward	0.8481	nan	nan	40
16	42	grad_norm	-0.4168	nan	nan	40
16	42	advantage_variance	-0.407	nan	nan	40
16	42	entropy	-0.8829	nan	nan	40
16	42	mean_reward	0.8118	nan	nan	40
16	123	grad_norm	-0.3889	nan	nan	40
16	123	advantage_variance	-0.4296	nan	nan	40
16	123	entropy	-0.8695	nan	nan	40
16	123	mean_reward	0.7716	nan	nan	40
16	456	grad_norm	-0.6511	nan	nan	40
16	456	advantage_variance	-0.5252	nan	nan	40
16	456	entropy	-0.8942	nan	nan	40
16	456	mean_reward	0.789	nan	nan	40
