# zvf_iter102_calibration.tsv - per-(library,experiment) calibration gap
# Delta = ZVF_emp - (p^G+(1-p)^G), i.e. herding/anti-herding residual over the i.i.d. null.
# Source: scripts/zvf_iter102.py
library	model	G	p_difficulty	zvf_emp	zvf_iid_pred	delta_calibration	rho_overdispersion	collapse_rate	converged_rate	evidence_path
grpo	GRPO	8	0.3791	0.4808	0.022515	0.4583	21.3542	0.0000	0.0000	experiments/results/variance_mitigation.tsv
aero	AERO	8	0.3993	0.2203	0.0176	0.2027	12.5172	0.0000	0.0000	experiments/results/variance_mitigation.tsv
cppo	CPPO	8	0.392	0.2952	0.019231	0.276	15.3501	0.0000	0.0000	experiments/results/variance_mitigation.tsv
ngrpo	NGRPO	8	0.3874	0.3003	0.020342	0.28	14.7629	0.0000	0.0000	experiments/results/variance_mitigation.tsv
scafgrpo	SCAFGRPO	8	0.4088	0.3166	0.015704	0.3009	20.1609	0.0000	0.0000	experiments/results/variance_mitigation.tsv
mcgrpo	MCGRPO	8	0.3221	0.1461	0.044715	0.1014	3.2674	0.0000	0.0000	experiments/results/variance_mitigation.tsv
gift	GIFT	8	0.3259	0.1142	0.042765	0.0714	2.6704	0.0000	0.0000	experiments/results/variance_mitigation.tsv
areal	AREAL	8	0.3283	0.1209	0.041573	0.0793	2.9081	0.0000	0.0000	experiments/results/variance_mitigation.tsv
es	ES	8	0.3163	0.1142	0.047845	0.0664	2.3869	0.0000	0.0000	experiments/results/variance_mitigation.tsv
gsm8k_real	Qwen/Qwen3-8B	8	0.6942	0.1583	0.054012	0.1043	2.9308	0.0000	1.0000	experiments/results/tinker_gsm8k_zvf_s42.json
arithmetic_groupsize	Qwen/Qwen2.5-0.5B	4	0.9764	0.7308	0.90889	-0.1781	0.8041	0.0000	1.0000	experiments/results/groupsize_zvf_sweep.tsv
tool_use	qwen3-32b	8	0.0	1.0	1.0	0.0	1.0	1.0000	0.0000	experiments/results/tool_code_reward_diagnostics.tsv
tool_use	llama-8b-inst	8	0.0	1.0	1.0	0.0	1.0	1.0000	0.0000	experiments/results/tool_code_reward_diagnostics.tsv
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	4	0.9881	0.7941	0.953243	-0.1591	0.8331	0.0000	1.0000	experiments/results/drgrpo_vs_grpo.json
