# zvf_iter102_per_library.tsv - aggregated calibration gap per library
# with 95% bootstrap CIs. Source: scripts/zvf_iter102.py
library	n_rows	delta_mean	delta_median	delta_ci_lo	delta_ci_hi	rho_mean	rho_ci_lo	rho_ci_hi	zvf_iid_mean	zvf_emp_mean
grpo	1	0.4583	0.4583	0.4583	0.4583	21.3542	21.3542	21.3542	0.0225	0.4808
scafgrpo	1	0.3009	0.3009	0.3009	0.3009	20.1609	20.1609	20.1609	0.0157	0.3166
ngrpo	1	0.28	0.28	0.28	0.28	14.7629	14.7629	14.7629	0.0203	0.3003
cppo	1	0.276	0.276	0.276	0.276	15.3501	15.3501	15.3501	0.0192	0.2952
aero	1	0.2027	0.2027	0.2027	0.2027	12.5172	12.5172	12.5172	0.0176	0.2203
arithmetic_groupsize	1	-0.1781	-0.1781	-0.1781	-0.1781	0.8041	0.8041	0.8041	0.9089	0.7308
drgrpo_vs_grpo	1	-0.1591	-0.1591	-0.1591	-0.1591	0.8331	0.8331	0.8331	0.9532	0.7941
gsm8k_real	1	0.1043	0.1043	0.1043	0.1043	2.9308	2.9308	2.9308	0.054	0.1583
mcgrpo	1	0.1014	0.1014	0.1014	0.1014	3.2674	3.2674	3.2674	0.0447	0.1461
areal	1	0.0793	0.0793	0.0793	0.0793	2.9081	2.9081	2.9081	0.0416	0.1209
gift	1	0.0714	0.0714	0.0714	0.0714	2.6704	2.6704	2.6704	0.0428	0.1142
es	1	0.0664	0.0664	0.0664	0.0664	2.3869	2.3869	2.3869	0.0478	0.1142
tool_use	2	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
