# zvf_iter110_isog_floor.tsv -- minimum G such that
# p^G + (1-p)^G <= tau_sat, evaluated at empirical p coverage.
# tau_sat in {0.30, 0.50, 0.70, 0.90} and p in 11 representative
# bins spanning [0, 1]; G_max = 64. -1 means no G within range
# attains the saturation target. Source:
# scripts/zvf_discrimination_iter110.py
p_difficulty	tau_saturation	g_min	zvf_iid_at_gmin
0.05	0.3	24	0.2919890243387724
0.05	0.5	14	0.48767497911552954
0.05	0.7	7	0.6983372968749997
0.05	0.9	3	0.8574999999999999
0.1	0.3	12	0.2824295364820001
0.1	0.5	7	0.4782970000000001
0.1	0.7	4	0.6562
0.1	0.9	2	0.8200000000000001
0.2	0.3	6	0.2622080000000001
0.2	0.5	4	0.41120000000000007
0.2	0.7	2	0.6800000000000002
0.2	0.9	2	0.6800000000000002
0.3	0.3	4	0.24819999999999995
0.3	0.5	3	0.3699999999999999
0.3	0.7	2	0.58
0.3	0.9	2	0.58
0.4	0.3	3	0.27999999999999997
0.4	0.5	3	0.27999999999999997
0.4	0.7	2	0.52
0.4	0.9	2	0.52
0.5	0.3	3	0.25
0.5	0.5	2	0.5
0.5	0.7	2	0.5
0.5	0.9	2	0.5
0.6	0.3	3	0.27999999999999997
0.6	0.5	3	0.27999999999999997
0.6	0.7	2	0.52
0.6	0.9	2	0.52
0.7	0.3	4	0.24819999999999995
0.7	0.5	3	0.36999999999999994
0.7	0.7	2	0.58
0.7	0.9	2	0.58
0.8	0.3	6	0.2622080000000001
0.8	0.5	4	0.41120000000000007
0.8	0.7	2	0.6800000000000002
0.8	0.9	2	0.6800000000000002
0.9	0.3	12	0.2824295364820001
0.9	0.5	7	0.4782970000000001
0.9	0.7	4	0.6562
0.9	0.9	2	0.8200000000000001
0.95	0.3	24	0.2919890243387724
0.95	0.5	14	0.48767497911552954
0.95	0.7	7	0.6983372968749997
0.95	0.9	3	0.8574999999999999
