scope	axis	auroc	ci_lo	ci_hi	n	n_pos
synthetic_augmented_iter130	magnitude	0.663	0.3702	0.9231	52	11
synthetic_augmented_iter130	csd_roll_lag1	0.7583	0.5404	0.9476	52	11
synthetic_augmented_iter130	drift_slope	0.5787	0.3262	0.8254	52	11
synthetic_augmented_iter130	zvf_risk3_composite	0.7627	0.5555	0.931	52	11
synthetic_augmented_iter130	zvf_risk3_max	0.929	0.8286	0.9929	52	11
synthetic_augmented_iter130	zvf_risk5_composite	0.6297	0.3636	0.8714	52	11
synthetic_augmented_iter130	zvf_risk5_max	0.6608	0.4219	0.875	52	11
synthetic_augmented_iter130	zvf_g_slope_axis	0.2816	0.0143	0.3825	52	11
synthetic_augmented_iter130	zvf_delta_axis	0.0	0.0	0.0	52	11
synthetic_augmented_iter130	zvf_delta_raw	0.0	0.0	0.0	52	11
real_only_variance_mitigation	magnitude	0.0732	0.0	0.2727	45	4
real_only_variance_mitigation	csd_roll_lag1	0.3354	0.1136	0.5581	45	4
real_only_variance_mitigation	drift_slope	0.2927	0.0909	0.5366	45	4
real_only_variance_mitigation	zvf_risk3_composite	0.3963	0.2099	0.6047	45	4
real_only_variance_mitigation	zvf_risk3_max	0.8049	0.6051	0.9524	45	4
real_only_variance_mitigation	zvf_risk5_composite	0.122	0.0	0.3415	45	4
real_only_variance_mitigation	zvf_risk5_max	0.2195	0.0	0.4	45	4
real_only_variance_mitigation	zvf_g_slope_axis	0.7561	0.1636	0.86	45	4
real_only_variance_mitigation	zvf_delta_axis	0.0	0.0	0.0	45	4
real_only_variance_mitigation	zvf_delta_raw	0.0	0.0	0.0	45	4
