# Iso-Yield curves: Y_iid(p, G) = 1 - (p^G + (1-p)^G)
#                  Y_emp(p, G) = 1 - max(0, p^G + (1-p)^G - delta_div)
# delta_div = 0.122 (library-level mean from iter38 tinker_gsm8k).
# Source: scripts/zvf_iter46_isog.py
p_x	G	Y_iid	Y_emp	Delta_Y
0.05	1	0.000000	0.122000	0.122000
0.05	2	0.095000	0.217000	0.122000
0.05	3	0.142500	0.264500	0.122000
0.05	4	0.185488	0.307488	0.122000
0.05	5	0.226219	0.348219	0.122000
0.05	6	0.264908	0.386908	0.122000
0.05	7	0.301663	0.423663	0.122000
0.05	8	0.336580	0.458580	0.122000
0.05	9	0.369751	0.491751	0.122000
0.05	10	0.401263	0.523263	0.122000
0.05	11	0.431200	0.553200	0.122000
0.05	12	0.459640	0.581640	0.122000
0.05	13	0.486658	0.608658	0.122000
0.05	14	0.512325	0.634325	0.122000
0.05	15	0.536709	0.658709	0.122000
0.05	16	0.559873	0.681873	0.122000
0.05	17	0.581880	0.703880	0.122000
0.05	18	0.602786	0.724786	0.122000
0.05	19	0.622646	0.744646	0.122000
0.05	20	0.641514	0.763514	0.122000
0.05	21	0.659438	0.781438	0.122000
0.05	22	0.676466	0.798466	0.122000
0.05	23	0.692643	0.814643	0.122000
0.05	24	0.708011	0.830011	0.122000
0.05	25	0.722610	0.844610	0.122000
0.05	26	0.736480	0.858480	0.122000
0.05	27	0.749656	0.871656	0.122000
0.05	28	0.762173	0.884173	0.122000
0.05	29	0.774064	0.896064	0.122000
0.05	30	0.785361	0.907361	0.122000
0.05	31	0.796093	0.918093	0.122000
0.05	32	0.806289	0.928289	0.122000
0.10	1	0.000000	0.122000	0.122000
0.10	2	0.180000	0.302000	0.122000
0.10	3	0.270000	0.392000	0.122000
0.10	4	0.343800	0.465800	0.122000
0.10	5	0.409500	0.531500	0.122000
0.10	6	0.468558	0.590558	0.122000
0.10	7	0.521703	0.643703	0.122000
0.10	8	0.569533	0.691533	0.122000
0.10	9	0.612580	0.734580	0.122000
0.10	10	0.651322	0.773322	0.122000
0.10	11	0.686189	0.808189	0.122000
0.10	12	0.717570	0.839570	0.122000
0.10	13	0.745813	0.867813	0.122000
0.10	14	0.771232	0.893232	0.122000
0.10	15	0.794109	0.916109	0.122000
0.10	16	0.814698	0.936698	0.122000
0.10	17	0.833228	0.955228	0.122000
0.10	18	0.849905	0.971905	0.122000
0.10	19	0.864915	0.986915	0.122000
0.10	20	0.878423	1.000000	0.121577
0.10	21	0.890581	1.000000	0.109419
0.10	22	0.901523	1.000000	0.098477
0.10	23	0.911371	1.000000	0.088629
0.10	24	0.920234	1.000000	0.079766
0.10	25	0.928210	1.000000	0.071790
0.10	26	0.935389	1.000000	0.064611
0.10	27	0.941850	1.000000	0.058150
0.10	28	0.947665	1.000000	0.052335
0.10	29	0.952899	1.000000	0.047101
0.10	30	0.957609	1.000000	0.042391
0.10	31	0.961848	1.000000	0.038152
0.10	32	0.965663	1.000000	0.034337
0.25	1	0.000000	0.122000	0.122000
0.25	2	0.375000	0.497000	0.122000
0.25	3	0.562500	0.684500	0.122000
0.25	4	0.679688	0.801687	0.122000
0.25	5	0.761719	0.883719	0.122000
0.25	6	0.821777	0.943777	0.122000
0.25	7	0.866455	0.988455	0.122000
0.25	8	0.899872	1.000000	0.100128
0.25	9	0.924911	1.000000	0.075089
0.25	10	0.943686	1.000000	0.056314
0.25	11	0.957765	1.000000	0.042235
0.25	12	0.968324	1.000000	0.031676
0.25	13	0.976243	1.000000	0.023757
0.25	14	0.982182	1.000000	0.017818
0.25	15	0.986637	1.000000	0.013363
0.25	16	0.989977	1.000000	0.010023
0.25	17	0.992483	1.000000	0.007517
0.25	18	0.994362	1.000000	0.005638
0.25	19	0.995772	1.000000	0.004228
0.25	20	0.996829	1.000000	0.003171
0.25	21	0.997622	1.000000	0.002378
0.25	22	0.998216	1.000000	0.001784
0.25	23	0.998662	1.000000	0.001338
0.25	24	0.998997	1.000000	0.001003
0.25	25	0.999247	1.000000	0.000753
0.25	26	0.999436	1.000000	0.000564
0.25	27	0.999577	1.000000	0.000423
0.25	28	0.999683	1.000000	0.000317
0.25	29	0.999762	1.000000	0.000238
0.25	30	0.999821	1.000000	0.000179
0.25	31	0.999866	1.000000	0.000134
0.25	32	0.999900	1.000000	0.000100
0.50	1	0.000000	0.122000	0.122000
0.50	2	0.500000	0.622000	0.122000
0.50	3	0.750000	0.872000	0.122000
0.50	4	0.875000	0.997000	0.122000
0.50	5	0.937500	1.000000	0.062500
0.50	6	0.968750	1.000000	0.031250
0.50	7	0.984375	1.000000	0.015625
0.50	8	0.992188	1.000000	0.007812
0.50	9	0.996094	1.000000	0.003906
0.50	10	0.998047	1.000000	0.001953
0.50	11	0.999023	1.000000	0.000977
0.50	12	0.999512	1.000000	0.000488
0.50	13	0.999756	1.000000	0.000244
0.50	14	0.999878	1.000000	0.000122
0.50	15	0.999939	1.000000	0.000061
0.50	16	0.999969	1.000000	0.000031
0.50	17	0.999985	1.000000	0.000015
0.50	18	0.999992	1.000000	0.000008
0.50	19	0.999996	1.000000	0.000004
0.50	20	0.999998	1.000000	0.000002
0.50	21	0.999999	1.000000	0.000001
0.50	22	1.000000	1.000000	0.000000
0.50	23	1.000000	1.000000	0.000000
0.50	24	1.000000	1.000000	0.000000
0.50	25	1.000000	1.000000	0.000000
0.50	26	1.000000	1.000000	0.000000
0.50	27	1.000000	1.000000	0.000000
0.50	28	1.000000	1.000000	0.000000
0.50	29	1.000000	1.000000	0.000000
0.50	30	1.000000	1.000000	0.000000
0.50	31	1.000000	1.000000	0.000000
0.50	32	1.000000	1.000000	0.000000
0.75	1	0.000000	0.122000	0.122000
0.75	2	0.375000	0.497000	0.122000
0.75	3	0.562500	0.684500	0.122000
0.75	4	0.679688	0.801687	0.122000
0.75	5	0.761719	0.883719	0.122000
0.75	6	0.821777	0.943777	0.122000
0.75	7	0.866455	0.988455	0.122000
0.75	8	0.899872	1.000000	0.100128
0.75	9	0.924911	1.000000	0.075089
0.75	10	0.943686	1.000000	0.056314
0.75	11	0.957765	1.000000	0.042235
0.75	12	0.968324	1.000000	0.031676
0.75	13	0.976243	1.000000	0.023757
0.75	14	0.982182	1.000000	0.017818
0.75	15	0.986637	1.000000	0.013363
0.75	16	0.989977	1.000000	0.010023
0.75	17	0.992483	1.000000	0.007517
0.75	18	0.994362	1.000000	0.005638
0.75	19	0.995772	1.000000	0.004228
0.75	20	0.996829	1.000000	0.003171
0.75	21	0.997622	1.000000	0.002378
0.75	22	0.998216	1.000000	0.001784
0.75	23	0.998662	1.000000	0.001338
0.75	24	0.998997	1.000000	0.001003
0.75	25	0.999247	1.000000	0.000753
0.75	26	0.999436	1.000000	0.000564
0.75	27	0.999577	1.000000	0.000423
0.75	28	0.999683	1.000000	0.000317
0.75	29	0.999762	1.000000	0.000238
0.75	30	0.999821	1.000000	0.000179
0.75	31	0.999866	1.000000	0.000134
0.75	32	0.999900	1.000000	0.000100
0.90	1	0.000000	0.122000	0.122000
0.90	2	0.180000	0.302000	0.122000
0.90	3	0.270000	0.392000	0.122000
0.90	4	0.343800	0.465800	0.122000
0.90	5	0.409500	0.531500	0.122000
0.90	6	0.468558	0.590558	0.122000
0.90	7	0.521703	0.643703	0.122000
0.90	8	0.569533	0.691533	0.122000
0.90	9	0.612580	0.734580	0.122000
0.90	10	0.651322	0.773322	0.122000
0.90	11	0.686189	0.808189	0.122000
0.90	12	0.717570	0.839570	0.122000
0.90	13	0.745813	0.867813	0.122000
0.90	14	0.771232	0.893232	0.122000
0.90	15	0.794109	0.916109	0.122000
0.90	16	0.814698	0.936698	0.122000
0.90	17	0.833228	0.955228	0.122000
0.90	18	0.849905	0.971905	0.122000
0.90	19	0.864915	0.986915	0.122000
0.90	20	0.878423	1.000000	0.121577
0.90	21	0.890581	1.000000	0.109419
0.90	22	0.901523	1.000000	0.098477
0.90	23	0.911371	1.000000	0.088629
0.90	24	0.920234	1.000000	0.079766
0.90	25	0.928210	1.000000	0.071790
0.90	26	0.935389	1.000000	0.064611
0.90	27	0.941850	1.000000	0.058150
0.90	28	0.947665	1.000000	0.052335
0.90	29	0.952899	1.000000	0.047101
0.90	30	0.957609	1.000000	0.042391
0.90	31	0.961848	1.000000	0.038152
0.90	32	0.965663	1.000000	0.034337
0.95	1	0.000000	0.122000	0.122000
0.95	2	0.095000	0.217000	0.122000
0.95	3	0.142500	0.264500	0.122000
0.95	4	0.185488	0.307488	0.122000
0.95	5	0.226219	0.348219	0.122000
0.95	6	0.264908	0.386908	0.122000
0.95	7	0.301663	0.423663	0.122000
0.95	8	0.336580	0.458580	0.122000
0.95	9	0.369751	0.491751	0.122000
0.95	10	0.401263	0.523263	0.122000
0.95	11	0.431200	0.553200	0.122000
0.95	12	0.459640	0.581640	0.122000
0.95	13	0.486658	0.608658	0.122000
0.95	14	0.512325	0.634325	0.122000
0.95	15	0.536709	0.658709	0.122000
0.95	16	0.559873	0.681873	0.122000
0.95	17	0.581880	0.703880	0.122000
0.95	18	0.602786	0.724786	0.122000
0.95	19	0.622646	0.744646	0.122000
0.95	20	0.641514	0.763514	0.122000
0.95	21	0.659438	0.781438	0.122000
0.95	22	0.676466	0.798466	0.122000
0.95	23	0.692643	0.814643	0.122000
