# Pillar 2 Iter 62 difficulty-stratified ZVF
# Per (method, heldout_acc quintile), mean ZVF.
# Quintile 0 = lowest acc (hard-prompt-dominated training window);
# Quintile 4 = highest acc (easy-prompt-dominated window).
# Equal-mass bins PER METHOD, so cross-method contrast is not
# confounded by global accuracy shifts.
# Source: scripts/zvf_iter62.py
method	quintile	acc_lo	acc_hi	n_steps	mean_zvf	zvf_se	mean_acc	n_collapse
aero	0	-0.0039	0.1706	100	0.0138	0.0019	0.0900	0
aero	1	0.1706	0.2777	100	0.0147	0.0019	0.2279	0
aero	2	0.2786	0.3410	100	0.0657	0.0051	0.3115	0
aero	3	0.3421	0.3823	100	0.3572	0.0126	0.3624	0
aero	4	0.3823	0.4109	100	0.6499	0.0052	0.3940	0
areal	0	0.0002	0.1587	102	0.0124	0.0017	0.0781	0
areal	1	0.1598	0.2740	102	0.0147	0.0020	0.2228	0
areal	2	0.2742	0.3428	102	0.0200	0.0023	0.3117	0
areal	3	0.3456	0.3838	102	0.1317	0.0074	0.3655	0
areal	4	0.3842	0.4113	102	0.4248	0.0084	0.3979	0
cppo	0	-0.0021	0.1646	100	0.0101	0.0016	0.0880	0
cppo	1	0.1697	0.2709	100	0.0215	0.0025	0.2236	0
cppo	2	0.2723	0.3343	100	0.1530	0.0084	0.3067	0
cppo	3	0.3343	0.3734	100	0.5420	0.0122	0.3562	0
cppo	4	0.3736	0.4052	100	0.7495	0.0038	0.3860	0
es	0	-0.0054	0.1548	102	0.0104	0.0017	0.0757	0
es	1	0.1573	0.2653	102	0.0213	0.0025	0.2158	0
es	2	0.2657	0.3336	102	0.0874	0.0051	0.3011	0
es	3	0.3337	0.3701	102	0.2073	0.0036	0.3535	0
es	4	0.3707	0.3992	102	0.2438	0.0028	0.3843	0
gift	0	-0.0027	0.1580	102	0.0129	0.0018	0.0779	0
gift	1	0.1584	0.2728	102	0.0147	0.0019	0.2215	0
gift	2	0.2733	0.3410	102	0.0205	0.0021	0.3106	0
gift	3	0.3417	0.3828	102	0.1098	0.0071	0.3638	0
gift	4	0.3830	0.4153	102	0.4123	0.0092	0.3961	0
grpo	0	0.0015	0.1586	300	0.0199	0.0012	0.0855	0
grpo	1	0.1630	0.2622	300	0.1256	0.0046	0.2155	0
grpo	2	0.2633	0.3226	300	0.5461	0.0080	0.2952	0
grpo	3	0.3230	0.3605	300	0.8326	0.0027	0.3439	15
grpo	4	0.3611	0.3869	300	0.8798	0.0016	0.3734	168
mcgrpo	0	-0.0034	0.1562	102	0.0130	0.0017	0.0763	0
mcgrpo	1	0.1590	0.2705	102	0.0104	0.0016	0.2194	0
mcgrpo	2	0.2711	0.3372	102	0.0248	0.0028	0.3063	0
mcgrpo	3	0.3374	0.3786	102	0.1742	0.0094	0.3590	0
mcgrpo	4	0.3787	0.4054	102	0.5066	0.0081	0.3911	0
ngrpo	0	-0.0035	0.1648	100	0.0135	0.0018	0.0865	0
ngrpo	1	0.1651	0.2657	100	0.0244	0.0022	0.2211	0
ngrpo	2	0.2667	0.3303	100	0.1749	0.0096	0.3019	0
ngrpo	3	0.3306	0.3687	100	0.5608	0.0102	0.3510	0
ngrpo	4	0.3691	0.3981	100	0.7280	0.0036	0.3814	0
scafgrpo	0	-0.0047	0.1762	100	0.2352	0.0033	0.0916	0
scafgrpo	1	0.1765	0.2831	100	0.2744	0.0030	0.2331	0
scafgrpo	2	0.2832	0.3505	100	0.3214	0.0037	0.3191	0
scafgrpo	3	0.3508	0.3899	100	0.3563	0.0027	0.3717	0
scafgrpo	4	0.3900	0.4190	100	0.3957	0.0029	0.4031	0
