# Pillar 2 Iter 70 failure-aware ZVF summary
# Extension of zvf_summary.tsv with:
#   severity           composite 0..3 failure score (0=ok, 3=full_collapse)
#   zvf_tail_p_eq1     fraction of per-step ZVF values = 1.0 (stuck)
#   zvf_tail_p_eq0     fraction of per-step ZVF values = 0.0 (dead)
#   zvf_tail_gini      Gini of per-step ZVF distribution
#   zvf_first_q        mean ZVF in first 25% of step trace
#   zvf_last_q         mean ZVF in last 25% of step trace
#   zvf_delta          last_q - first_q (positive = improving)
# NA = no per-step trace available (e.g. aggregate summary row).
# Source: scripts/zvf_iter70.py
experiment	model	task	phase	group_size	n_seeds	mean_zvf	min_zvf	max_zvf	mean_reward	peak	last10_avg	failure_label	severity	zvf_tail_p_eq1	zvf_tail_p_eq0	zvf_tail_gini	zvf_first_q	zvf_last_q	zvf_delta	n_steps	evidence_path	seed
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	1	0.1300	0.0000	1.0000	0.6942	0.7125	0.7125	converged	0	0.1300	0.8700	0.8700	0.1800	0.0800	-0.1000	200	experiments/results/tinker_gsm8k_zvf_s42.json	42
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	1	0.1900	0.0000	1.0000	0.6942	0.6969	0.6969	converged	0	0.1900	0.8100	0.8100	0.2600	0.1800	-0.0800	200	experiments/results/tinker_gsm8k_zvf_s123.json	123
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	1	0.1550	0.0000	1.0000	0.6942	0.6731	0.6731	converged	0	0.1550	0.8450	0.8450	0.1400	0.1000	-0.0400	200	experiments/results/tinker_gsm8k_zvf_s456.json	456
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	3	0.1583	0.1300	0.1900	0.6942	0.7125	0.6942	converged	0	NA	NA	NA	NA	NA	NA	600	experiments/results/tinker_gsm8k_zvf_summary.json	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		2	3	0.8380	0.8336	0.8424	0.8398	0.9861	0.9771	converged	0	0.2354	0.0437	0.2214	0.8380	0.6312	-0.2068	120	experiments/results/groupsize_zvf_sweep.tsv	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		4	3	0.7635	0.7618	0.7652	0.8625	0.9900	0.9714	converged	0	0.2354	0.0437	0.2214	0.8380	0.6312	-0.2068	120	experiments/results/groupsize_zvf_sweep.tsv	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		8	3	0.6906	0.6877	0.6935	0.8694	0.9929	0.9732	converged	0	0.2354	0.0437	0.2214	0.8380	0.6312	-0.2068	120	experiments/results/groupsize_zvf_sweep.tsv	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		16	3	0.6312	0.6252	0.6372	0.8731	0.9843	0.9837	converged	0	0.2354	0.0437	0.2214	0.8380	0.6312	-0.2068	120	experiments/results/groupsize_zvf_sweep.tsv	agg
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4813	0.0000	0.9308	0.2900	0.3844	0.3798	plateau	0	0.0000	0.1100	0.4230	0.3486	0.6362	0.2876	300	experiments/results/variance_mitigation.tsv	0
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4793	0.0000	0.9056	0.2924	0.3862	0.3792	plateau	0	0.0000	0.0700	0.4156	0.3494	0.6302	0.2808	300	experiments/results/variance_mitigation.tsv	1
