# Pillar 2 iter74 ZVF Markov-chain dynamics
# Source: scripts/zvf_iter74.py
method	from_state	to_state	count_frac
aero	L	L	0.9491
aero	L	M	0.0509
aero	L	H	0.0
aero	M	L	0.0826
aero	M	M	0.8624
aero	M	H	0.055
aero	H	L	0.0
aero	H	M	0.009
aero	H	H	0.991
areal	L	L	0.9628
areal	L	M	0.0372
areal	L	H	0.0
areal	M	L	0.0567
areal	M	M	0.8723
areal	M	H	0.0709
areal	H	L	0.0
areal	H	M	0.4
areal	H	H	0.6
cppo	L	L	0.9402
cppo	L	M	0.0598
cppo	L	H	0.0
cppo	M	L	0.0857
cppo	M	M	0.8476
cppo	M	H	0.0667
cppo	H	L	0.0
cppo	H	M	0.0128
cppo	H	H	0.9872
es	L	L	0.9547
es	L	M	0.0453
es	L	H	0.0
es	M	L	0.0292
es	M	M	0.9708
es	M	H	0.0
es	H	L	0.0
es	H	M	0.0
es	H	H	0.0
gift	L	L	0.958
gift	L	M	0.042
gift	L	H	0.0
gift	M	L	0.0752
gift	M	M	0.8421
gift	M	H	0.0827
gift	H	L	0.0
gift	H	M	0.4667
gift	H	H	0.5333
grpo	L	L	0.9773
grpo	L	M	0.0227
grpo	L	H	0.0
grpo	M	L	0.0183
grpo	M	M	0.9634
grpo	M	H	0.0183
grpo	H	L	0.0
grpo	H	M	0.0
grpo	H	H	1.0
mcgrpo	L	L	0.9604
mcgrpo	L	M	0.0396
mcgrpo	L	H	0.0
mcgrpo	M	L	0.0656
mcgrpo	M	M	0.8689
mcgrpo	M	H	0.0656
mcgrpo	H	L	0.0
mcgrpo	H	M	0.0545
mcgrpo	H	H	0.9455
ngrpo	L	L	0.9478
ngrpo	L	M	0.0522
ngrpo	L	H	0.0
ngrpo	M	L	0.07
ngrpo	M	M	0.86
ngrpo	M	H	0.07
ngrpo	H	L	0.0
ngrpo	H	M	0.0121
ngrpo	H	H	0.9879
scafgrpo	L	L	0.0
scafgrpo	L	M	0.0
scafgrpo	L	H	0.0
scafgrpo	M	L	0.0
scafgrpo	M	M	1.0
scafgrpo	M	H	0.0
scafgrpo	H	L	0.0
scafgrpo	H	M	0.0
scafgrpo	H	H	0.0
