# Pillar 2 cross-experiment ZVF summary
# Aggregated from per-experiment training-log sources under
# experiments/results/. Each row corresponds to a single
# (experiment, configuration, seed or aggregate). failure_label
# is computed deterministically from peak vs last10_avg:
#   collapse  peak > 0.7 AND last10_avg < 0.35
#   drift     last10_avg < 0.85 * peak (and not collapse)
#   plateau   peak < 0.5
#   converged last10_avg >= 0.85 * peak
# Source: scripts/zvf_diagnostic.py
experiment	model	task	phase	group_size	n_seeds	mean_zvf	min_zvf	max_zvf	mean_reward	peak	last10_avg	failure_label	n_steps	evidence_path	seed
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	1	0.1300	0.0000	1.0000	0.6969	0.6969	0.6969	converged	200	experiments/results/tinker_gsm8k_zvf_s42.json	42
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	1	0.1900	0.0000	1.0000	0.7125	0.7125	0.7125	converged	200	experiments/results/tinker_gsm8k_zvf_s123.json	123
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	1	0.1550	0.0000	1.0000	0.6731	0.6731	0.6731	converged	200	experiments/results/tinker_gsm8k_zvf_s456.json	456
tinker_gsm8k_zvf	Qwen/Qwen3-8B	gsm8k		8	3	0.1583	0.1300	0.1900	0.6942	0.7125	0.6942	converged	600	experiments/results/tinker_gsm8k_zvf_summary.json	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		2	3	0.8380	0.8336	0.8424	0.8398	0.9861	0.9771	converged	120	experiments/results/groupsize_zvf_sweep.tsv	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		4	3	0.7635	0.7618	0.7652	0.8625	0.9900	0.9714	converged	120	experiments/results/groupsize_zvf_sweep.tsv	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		8	3	0.6906	0.6877	0.6935	0.8694	0.9929	0.9732	converged	120	experiments/results/groupsize_zvf_sweep.tsv	agg
groupsize_zvf_sweep	Qwen/Qwen2.5-0.5B	arithmetic_synthetic		16	3	0.6312	0.6252	0.6372	0.8731	0.9843	0.9837	converged	120	experiments/results/groupsize_zvf_sweep.tsv	agg
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4813	0.0000	0.9308	0.2900	0.3844	0.3798	plateau	300	experiments/results/variance_mitigation.tsv	0
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4793	0.0000	0.9056	0.2924	0.3862	0.3792	plateau	300	experiments/results/variance_mitigation.tsv	1
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4803	0.0000	0.9180	0.2912	0.3860	0.3793	plateau	300	experiments/results/variance_mitigation.tsv	2
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4806	0.0000	0.9573	0.2941	0.3869	0.3782	plateau	300	experiments/results/variance_mitigation.tsv	3
variance_mitigation	GRPO	math_verifiable_rl		8	1	0.4824	0.0000	0.9376	0.2849	0.3840	0.3788	plateau	300	experiments/results/variance_mitigation.tsv	4
variance_mitigation	AERO	math_verifiable_rl		8	1	0.2215	0.0000	0.7041	0.3172	0.4050	0.3992	plateau	100	experiments/results/variance_mitigation.tsv	0
variance_mitigation	AERO	math_verifiable_rl		8	1	0.2185	0.0000	0.7435	0.3161	0.4058	0.3982	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	AERO	math_verifiable_rl		8	1	0.2219	0.0000	0.7199	0.3193	0.4109	0.4005	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	AERO	math_verifiable_rl		8	1	0.2178	0.0000	0.7521	0.3135	0.4059	0.3987	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	AERO	math_verifiable_rl		8	1	0.2216	0.0000	0.7385	0.3171	0.4059	0.4001	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	CPPO	math_verifiable_rl		8	1	0.2951	0.0000	0.8353	0.3081	0.3968	0.3920	plateau	100	experiments/results/variance_mitigation.tsv	0
variance_mitigation	CPPO	math_verifiable_rl		8	1	0.2980	0.0000	0.8477	0.3075	0.4008	0.3916	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	CPPO	math_verifiable_rl		8	1	0.2964	0.0000	0.8332	0.3084	0.3978	0.3912	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	CPPO	math_verifiable_rl		8	1	0.2946	0.0000	0.8225	0.3128	0.3993	0.3923	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	CPPO	math_verifiable_rl		8	1	0.2919	0.0000	0.8117	0.3110	0.4052	0.3926	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	NGRPO	math_verifiable_rl		8	1	0.3036	0.0000	0.7727	0.2999	0.3931	0.3864	plateau	100	experiments/results/variance_mitigation.tsv	0
variance_mitigation	NGRPO	math_verifiable_rl		8	1	0.3020	0.0000	0.8157	0.3064	0.3981	0.3879	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	NGRPO	math_verifiable_rl		8	1	0.2994	0.0000	0.7773	0.3044	0.3907	0.3869	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	NGRPO	math_verifiable_rl		8	1	0.2975	0.0000	0.7862	0.3035	0.3941	0.3873	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	NGRPO	math_verifiable_rl		8	1	0.2993	0.0000	0.8236	0.3028	0.3962	0.3885	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	SCAFGRPO	math_verifiable_rl		8	1	0.3151	0.1557	0.4375	0.3235	0.4138	0.4082	plateau	100	experiments/results/variance_mitigation.tsv	0
variance_mitigation	SCAFGRPO	math_verifiable_rl		8	1	0.3126	0.1688	0.4379	0.3258	0.4150	0.4099	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	SCAFGRPO	math_verifiable_rl		8	1	0.3131	0.1790	0.4693	0.3224	0.4190	0.4094	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	SCAFGRPO	math_verifiable_rl		8	1	0.3216	0.1996	0.4353	0.3252	0.4119	0.4073	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	SCAFGRPO	math_verifiable_rl		8	1	0.3208	0.1803	0.4732	0.3231	0.4156	0.4093	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	MCGRPO	math_verifiable_rl		8	1	0.1332	0.0000	0.6105	0.2897	0.4044	0.0201	drift	110	experiments/results/variance_mitigation.tsv	0
variance_mitigation	MCGRPO	math_verifiable_rl		8	1	0.1525	0.0000	0.6145	0.3165	0.4054	0.3982	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	MCGRPO	math_verifiable_rl		8	1	0.1499	0.0000	0.6594	0.3129	0.4053	0.3972	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	MCGRPO	math_verifiable_rl		8	1	0.1441	0.0000	0.6168	0.3116	0.4032	0.3980	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	MCGRPO	math_verifiable_rl		8	1	0.1505	0.0000	0.6458	0.3186	0.4018	0.3972	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	GIFT	math_verifiable_rl		8	1	0.1053	0.0000	0.5322	0.2942	0.4153	0.0208	drift	110	experiments/results/variance_mitigation.tsv	0
variance_mitigation	GIFT	math_verifiable_rl		8	1	0.1176	0.0000	0.5628	0.3188	0.4081	0.4019	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	GIFT	math_verifiable_rl		8	1	0.1157	0.0000	0.5379	0.3170	0.4112	0.4031	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	GIFT	math_verifiable_rl		8	1	0.1151	0.0000	0.5447	0.3195	0.4100	0.4027	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	GIFT	math_verifiable_rl		8	1	0.1173	0.0000	0.5789	0.3211	0.4047	0.4012	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	AREAL	math_verifiable_rl		8	1	0.1118	0.0000	0.5316	0.2943	0.4083	0.0229	drift	110	experiments/results/variance_mitigation.tsv	0
variance_mitigation	AREAL	math_verifiable_rl		8	1	0.1232	0.0000	0.5149	0.3181	0.4107	0.4057	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	AREAL	math_verifiable_rl		8	1	0.1215	0.0000	0.5809	0.3207	0.4113	0.4042	plateau	100	experiments/results/variance_mitigation.tsv	2
variance_mitigation	AREAL	math_verifiable_rl		8	1	0.1239	0.0000	0.5826	0.3210	0.4092	0.4046	plateau	100	experiments/results/variance_mitigation.tsv	3
variance_mitigation	AREAL	math_verifiable_rl		8	1	0.1241	0.0000	0.5733	0.3199	0.4109	0.4038	plateau	100	experiments/results/variance_mitigation.tsv	4
variance_mitigation	ES	math_verifiable_rl		8	1	0.1056	0.0000	0.3027	0.2893	0.3966	0.0215	drift	110	experiments/results/variance_mitigation.tsv	0
variance_mitigation	ES	math_verifiable_rl		8	1	0.1150	0.0000	0.2919	0.3099	0.3978	0.3906	plateau	100	experiments/results/variance_mitigation.tsv	1
variance_mitigation	ES	math_verifiable_rl		8	1	0.1163	0.0000	0.3139	0.3107	0.3954	0.3895	plateau	100	experiments/results/variance_mitigation.tsv	2
